Object	Action	Position	Time
Alien1	FingerDown	(525.0, 279.0, -3.0)	14:30:41.917
Alien1	DragBegin	(525.0, 279.0, -3.0)	14:30:42.289
Alien1	DragMove	(519.2, 297.8, -3.0)	14:30:42.304
Alien1	DragMove	(517.3, 295.8, -3.0)	14:30:42.321
Alien1	DragMove	(516.0, 293.2, -3.0)	14:30:42.340
Alien1	DragMove	(514.0, 289.4, -3.0)	14:30:42.357
Alien1	DragMove	(509.6, 283.0, -3.0)	14:30:42.399
Alien1	DragMove	(509.6, 279.1, -3.0)	14:30:42.419
Alien1	DragMove	(507.6, 275.2, -3.0)	14:30:42.440
Alien1	DragMove	(505.7, 273.2, -3.0)	14:30:42.456
Alien1	DragMove	(502.4, 268.7, -3.0)	14:30:42.486
Alien1	DragMove	(502.4, 266.9, -3.0)	14:30:42.509
Alien1	DragMove	(500.5, 264.9, -3.0)	14:30:42.524
Alien1	DragMove	(496.8, 255.6, -3.0)	14:30:42.568
Alien1	DragMove	(494.8, 255.6, -3.0)	14:30:42.588
Alien1	DragMove	(494.8, 253.7, -3.0)	14:30:42.605
Alien1	DragMove	(494.8, 251.8, -3.0)	14:30:42.624
Alien1	DragMove	(492.9, 249.9, -3.0)	14:30:42.640
Alien1	DragMove	(492.9, 247.9, -3.0)	14:30:42.657
Alien1	DragMove	(490.9, 246.0, -3.0)	14:30:42.672
Alien1	DragMove	(490.9, 244.0, -3.0)	14:30:42.688
Alien1	DragMove	(487.7, 236.9, -3.0)	14:30:42.732
Alien1	DragMove	(487.7, 233.0, -3.0)	14:30:42.761
Alien1	DragMove	(487.7, 231.1, -3.0)	14:30:42.772
Alien1	DragMove	(485.8, 229.1, -3.0)	14:30:42.788
Alien1	DragMove	(485.8, 226.5, -3.0)	14:30:42.803
Alien1	DragMove	(483.8, 224.6, -3.0)	14:30:42.824
Alien1	DragMove	(481.9, 219.4, -3.0)	14:30:42.884
Alien1	DragMove	(481.9, 217.5, -3.0)	14:30:42.908
Alien1	DragMove	(479.9, 215.5, -3.0)	14:30:42.924
Alien1	DragMove	(479.9, 210.0, -3.0)	14:30:42.941
Alien1	DragMove	(478.1, 210.0, -3.0)	14:30:42.956
Alien1	DragMove	(478.1, 207.4, -3.0)	14:30:42.972
Alien1	DragMove	(478.1, 205.5, -3.0)	14:30:42.988
Alien1	DragMove	(478.1, 203.6, -3.0)	14:30:43.5
Alien1	DragMove	(476.1, 201.6, -3.0)	14:30:43.24
Alien1	DragMove	(476.1, 199.7, -3.0)	14:30:43.41
Alien1	DragMove	(476.1, 198.4, -3.0)	14:30:43.56
Alien1	DragMove	(476.1, 197.1, -3.0)	14:30:43.88
Alien1	DragMove	(474.8, 195.8, -3.0)	14:30:43.108
Alien1	DragMove	(474.8, 193.8, -3.0)	14:30:43.125
Alien1	DragMove	(472.9, 193.8, -3.0)	14:30:43.140
Alien1	DragMove	(472.9, 188.3, -3.0)	14:30:43.199
Alien1	DragMove	(471.6, 187.0, -3.0)	14:30:43.240
Alien1	DragMove	(471.6, 185.7, -3.0)	14:30:43.272
Alien1	DragMove	(471.6, 184.4, -3.0)	14:30:43.308
Alien1	DragMove	(471.6, 182.5, -3.0)	14:30:43.372
Alien1	DragEnd	(471.6, 182.5, -3.0)	14:30:43.520
Alien3	FingerDown	(274.6, 71.3, -3.0)	14:30:44.241
Alien3	DragBegin	(274.6, 71.3, -3.0)	14:30:44.390
Alien3	DragMove	(267.5, 79.1, -3.0)	14:30:44.413
Alien3	DragMove	(267.5, 82.9, -3.0)	14:30:44.424
Alien3	DragMove	(267.5, 88.5, -3.0)	14:30:44.471
Alien3	DragMove	(267.5, 84.8, -3.0)	14:30:44.545
Alien3	DragMove	(267.5, 79.0, -3.0)	14:30:44.561
Alien3	DragMove	(267.5, 71.2, -3.0)	14:30:44.588
Alien3	DragMove	(267.5, 67.3, -3.0)	14:30:44.619
Alien3	DragMove	(267.5, 69.2, -3.0)	14:30:44.693
Alien3	DragMove	(267.5, 75.0, -3.0)	14:30:44.708
Alien3	DragMove	(267.5, 78.9, -3.0)	14:30:44.728
Alien3	DragMove	(267.5, 85.4, -3.0)	14:30:44.744
Alien3	DragMove	(267.5, 91.2, -3.0)	14:30:44.761
Alien3	DragMove	(267.5, 93.1, -3.0)	14:30:44.776
Alien3	DragMove	(267.5, 95.7, -3.0)	14:30:44.792
Alien3	DragMove	(267.5, 97.0, -3.0)	14:30:44.827
Alien3	DragMove	(269.4, 97.0, -3.0)	14:30:44.844
Alien3	DragMove	(270.7, 97.0, -3.0)	14:30:44.877
Alien3	DragMove	(270.7, 95.1, -3.0)	14:30:44.912
Alien3	DragMove	(270.7, 88.6, -3.0)	14:30:44.956
Alien3	DragMove	(270.7, 87.3, -3.0)	14:30:44.991
Alien3	DragMove	(270.7, 89.3, -3.0)	14:30:45.60
Alien3	DragMove	(270.7, 91.1, -3.0)	14:30:45.76
Alien3	DragMove	(272.6, 106.0, -3.0)	14:30:45.120
Alien3	DragMove	(274.6, 108.0, -3.0)	14:30:45.139
Alien3	DragMove	(274.6, 110.5, -3.0)	14:30:45.165
Alien3	DragMove	(274.6, 108.7, -3.0)	14:30:45.271
Alien3	DragMove	(274.6, 106.8, -3.0)	14:30:45.299
Alien3	DragMove	(274.6, 102.9, -3.0)	14:30:45.316
Alien3	DragMove	(274.6, 99.1, -3.0)	14:30:45.328
Alien3	DragMove	(274.6, 93.2, -3.0)	14:30:45.345
Alien3	DragMove	(274.6, 89.3, -3.0)	14:30:45.359
Alien3	DragMove	(274.6, 87.5, -3.0)	14:30:45.380
Alien3	DragMove	(274.6, 79.1, -3.0)	14:30:45.425
Alien3	DragMove	(274.6, 77.2, -3.0)	14:30:45.444
Alien3	DragMove	(274.6, 73.5, -3.0)	14:30:45.476
Alien3	DragMove	(274.6, 72.2, -3.0)	14:30:45.496
Alien3	DragMove	(274.6, 70.9, -3.0)	14:30:45.529
Alien3	DragMove	(274.6, 68.3, -3.0)	14:30:45.587
Alien3	DragMove	(274.6, 67.0, -3.0)	14:30:45.607
Alien3	DragMove	(274.6, 65.1, -3.0)	14:30:45.628
Alien3	DragMove	(274.6, 63.1, -3.0)	14:30:45.644
Alien3	DragMove	(274.6, 61.8, -3.0)	14:30:45.664
Alien3	DragMove	(274.6, 60.0, -3.0)	14:30:45.675
Alien3	DragMove	(274.6, 58.0, -3.0)	14:30:45.696
Alien3	DragMove	(274.6, 56.1, -3.0)	14:30:45.712
Alien3	DragMove	(274.6, 54.1, -3.0)	14:30:45.728
Alien3	DragMove	(274.6, 51.5, -3.0)	14:30:45.743
Alien3	DragMove	(274.6, 49.7, -3.0)	14:30:45.760
Alien3	DragMove	(272.6, 45.8, -3.0)	14:30:45.780
Alien3	DragMove	(272.6, 41.9, -3.0)	14:30:45.796
Alien3	DragMove	(272.6, 40.0, -3.0)	14:30:45.812
Alien3	DragMove	(272.6, 38.0, -3.0)	14:30:45.827
Alien3	DragMove	(272.6, 36.7, -3.0)	14:30:45.844
Alien3	DragEnd	(272.6, 36.7, -3.0)	14:30:45.944
Alien2	FingerDown	(103.1, 152.6, -3.0)	14:30:46.733
Alien2	DragBegin	(103.1, 152.6, -3.0)	14:30:46.916
Alien2	DragMove	(91.0, 87.4, -3.0)	14:30:46.932
Alien2	DragMove	(91.0, 73.8, -3.0)	14:30:46.948
Alien2	DragMove	(91.0, 60.2, -3.0)	14:30:46.964
Alien2	DragMove	(91.0, 15.5, -3.0)	14:30:47.7
Alien2	DragMove	(91.0, 5.8, -3.0)	14:30:47.37
Alien2	DragMove	(92.9, -3.9, -3.0)	14:30:47.48
Alien2	DragMove	(94.9, -11.7, -3.0)	14:30:47.65
Alien2	DragMove	(96.2, -25.3, -3.0)	14:30:47.91
Alien2	DragMove	(98.1, -29.2, -3.0)	14:30:47.116
Alien2	DragMove	(100.1, -40.8, -3.0)	14:30:47.160
Alien2	DragMove	(100.1, -42.8, -3.0)	14:30:47.180
Alien2	DragMove	(100.1, -44.6, -3.0)	14:30:47.196
Alien2	DragMove	(100.1, -47.2, -3.0)	14:30:47.216
Alien2	DragMove	(100.1, -49.2, -3.0)	14:30:47.233
Alien2	DragMove	(100.1, -51.1, -3.0)	14:30:47.250
Alien2	DragMove	(100.1, -52.4, -3.0)	14:30:47.280
Alien2	DragMove	(100.1, -50.5, -3.0)	14:30:47.380
Alien2	DragMove	(100.1, -47.9, -3.0)	14:30:47.400
Alien2	DragMove	(100.1, -46.1, -3.0)	14:30:47.417
Alien2	DragMove	(100.1, -44.1, -3.0)	14:30:47.432
Alien2	DragMove	(100.1, -40.3, -3.0)	14:30:47.449
Alien2	DragMove	(100.1, -34.4, -3.0)	14:30:47.463
Alien2	DragMove	(98.1, -26.6, -3.0)	14:30:47.480
Alien2	DragMove	(96.2, -20.8, -3.0)	14:30:47.500
Alien2	DragMove	(94.2, -11.1, -3.0)	14:30:47.516
Alien2	DragMove	(92.3, -5.3, -3.0)	14:30:47.533
Alien2	DragMove	(88.4, 8.3, -3.0)	14:30:47.548
Alien2	DragMove	(88.4, 18.0, -3.0)	14:30:47.564
Alien2	DragMove	(86.5, 31.6, -3.0)	14:30:47.579
Alien2	DragMove	(86.5, 41.3, -3.0)	14:30:47.600
Alien2	DragMove	(86.5, 59.3, -3.0)	14:30:47.644
Alien2	DragMove	(86.5, 65.8, -3.0)	14:30:47.669
Alien2	DragMove	(86.5, 71.6, -3.0)	14:30:47.684
Alien2	DragMove	(86.5, 77.4, -3.0)	14:30:47.700
Alien2	DragMove	(86.5, 79.4, -3.0)	14:30:47.717
Alien2	DragMove	(86.5, 82.0, -3.0)	14:30:47.732
Alien2	DragMove	(86.5, 78.3, -3.0)	14:30:47.812
Alien2	DragMove	(86.5, 76.4, -3.0)	14:30:47.831
Alien2	DragMove	(86.5, 68.6, -3.0)	14:30:47.848
Alien2	DragMove	(88.4, 62.8, -3.0)	14:30:47.868
Alien2	DragMove	(88.4, 57.0, -3.0)	14:30:47.884
Alien2	DragMove	(90.3, 53.1, -3.0)	14:30:47.900
Alien2	DragMove	(92.3, 45.3, -3.0)	14:30:47.917
Alien2	DragMove	(92.3, 41.4, -3.0)	14:30:47.932
Alien2	DragMove	(97.5, 9.0, -3.0)	14:30:47.975
Alien2	DragMove	(97.5, 1.3, -3.0)	14:30:48.5
Alien2	DragMove	(99.4, -6.5, -3.0)	14:30:48.15
Alien2	DragMove	(99.4, -12.3, -3.0)	14:30:48.32
Alien2	DragMove	(99.4, -16.2, -3.0)	14:30:48.47
Alien2	DragMove	(99.4, -20.1, -3.0)	14:30:48.64
Alien2	DragMove	(99.4, -22.7, -3.0)	14:30:48.84
Alien2	DragMove	(99.4, -24.0, -3.0)	14:30:48.128
Alien2	DragEnd	(99.4, -24.0, -3.0)	14:30:48.184
Alien2	FingerDown	(99.4, -24.0, -3.0)	14:30:48.569
Alien2	DragBegin	(99.4, -24.0, -3.0)	14:30:48.718
Alien2	DragMove	(117.4, -41.9, -3.0)	14:30:48.736
Alien2	DragMove	(131.0, -36.0, -3.0)	14:30:48.780
Alien2	DragMove	(132.9, -34.1, -3.0)	14:30:48.800
Alien2	DragMove	(136.8, -34.1, -3.0)	14:30:48.817
Alien2	DragMove	(139.4, -34.1, -3.0)	14:30:48.832
Alien2	DragMove	(141.3, -34.1, -3.0)	14:30:48.852
Alien2	DragMove	(143.2, -34.1, -3.0)	14:30:48.868
Alien2	DragMove	(145.8, -35.4, -3.0)	14:30:48.884
Alien2	DragMove	(147.7, -41.2, -3.0)	14:30:48.899
Alien2	DragMove	(154.2, -58.1, -3.0)	14:30:48.944
Alien2	DragMove	(156.2, -60.0, -3.0)	14:30:48.973
Alien2	DragMove	(156.2, -61.9, -3.0)	14:30:48.983
Alien2	DragMove	(158.1, -61.9, -3.0)	14:30:49.0
Alien2	DragMove	(158.1, -63.8, -3.0)	14:30:49.15
