Object	Action	Position	Time
Kid1	FingerDown	(-20.2, 137.5, -5.0)	10:52:31.583
Kid1	DragBegin	(-20.2, 137.5, -5.0)	10:52:31.990
Kid1	DragMove	(-19.1, 131.9, -5.0)	10:52:32.11
Kid1	DragMove	(-19.1, 147.4, -5.0)	10:52:32.46
Kid1	DragMove	(-19.1, 162.9, -5.0)	10:52:32.74
Kid1	DragMove	(-19.1, 166.8, -5.0)	10:52:32.94
Kid1	DragMove	(-19.1, 172.7, -5.0)	10:52:32.110
Kid1	DragMove	(-19.1, 180.4, -5.0)	10:52:32.142
Kid1	DragMove	(-19.1, 185.0, -5.0)	10:52:32.174
Kid1	DragMove	(-19.1, 186.9, -5.0)	10:52:32.214
Kid1	DragMove	(-19.1, 188.2, -5.0)	10:52:32.258
Kid1	DragMove	(-22.8, 184.5, -5.0)	10:52:32.342
Kid1	DragMove	(-30.6, 167.0, -5.0)	10:52:32.379
Kid1	DragMove	(-46.1, 135.9, -5.0)	10:52:32.412
Kid1	DragMove	(-55.8, 118.4, -5.0)	10:52:32.428
Kid1	DragMove	(-59.7, 106.8, -5.0)	10:52:32.445
Kid1	DragMove	(-64.9, 91.2, -5.0)	10:52:32.458
Kid1	DragMove	(-66.8, 77.6, -5.0)	10:52:32.478
Kid1	DragMove	(-70.7, 64.0, -5.0)	10:52:32.494
Kid1	DragMove	(-72.7, 40.7, -5.0)	10:52:32.534
Kid1	DragMove	(-72.7, 32.9, -5.0)	10:52:32.542
Kid1	DragMove	(-72.7, 25.2, -5.0)	10:52:32.558
Kid1	DragMove	(-72.7, 21.3, -5.0)	10:52:32.578
Kid1	DragMove	(-72.7, 14.8, -5.0)	10:52:32.610
Kid1	DragMove	(-72.7, 10.9, -5.0)	10:52:32.641
Kid1	DragMove	(-72.7, 9.0, -5.0)	10:52:32.658
Kid1	DragMove	(-72.7, 5.1, -5.0)	10:52:32.698
Kid1	DragMove	(-72.7, 1.2, -5.0)	10:52:32.726
Kid1	DragMove	(-72.7, -0.1, -5.0)	10:52:32.741
Kid1	DragMove	(-72.7, -1.4, -5.0)	10:52:32.775
Kid1	DragMove	(-74.5, -1.4, -5.0)	10:52:32.852
Kid1	DragMove	(-76.4, 0.5, -5.0)	10:52:32.858
Kid1	DragMove	(-76.4, 4.4, -5.0)	10:52:32.879
Kid1	DragMove	(-76.4, 10.2, -5.0)	10:52:32.895
Kid1	DragMove	(-76.4, 31.6, -5.0)	10:52:32.926
Kid1	DragMove	(-76.4, 41.3, -5.0)	10:52:32.951
Kid1	DragMove	(-76.4, 51.0, -5.0)	10:52:32.962
Kid1	DragMove	(-76.4, 62.7, -5.0)	10:52:33.2
Kid1	DragMove	(-76.4, 60.8, -5.0)	10:52:33.62
Kid1	DragMove	(-76.4, 51.2, -5.0)	10:52:33.94
Kid1	DragMove	(-76.4, 35.7, -5.0)	10:52:33.126
Kid1	DragMove	(-76.4, 24.0, -5.0)	10:52:33.166
Kid1	DragMove	(-76.4, 20.2, -5.0)	10:52:33.194
Kid1	DragMove	(-76.4, 18.3, -5.0)	10:52:33.210
Kid1	DragMove	(-78.3, 25.7, -5.0)	10:52:33.294
Kid1	DragMove	(-78.3, 47.1, -5.0)	10:52:33.331
Kid1	DragMove	(-78.3, 60.1, -5.0)	10:52:33.364
Kid1	DragMove	(-78.3, 63.9, -5.0)	10:52:33.380
Kid1	DragMove	(-78.3, 62.1, -5.0)	10:52:33.446
Kid1	DragMove	(-78.3, 54.5, -5.0)	10:52:33.485
Kid1	DragMove	(-78.3, 48.6, -5.0)	10:52:33.493
Kid1	DragMove	(-78.3, 42.8, -5.0)	10:52:33.514
Kid1	DragMove	(-78.3, 38.9, -5.0)	10:52:33.531
Kid1	DragMove	(-78.3, 31.2, -5.0)	10:52:33.562
Kid1	DragMove	(-78.3, 25.3, -5.0)	10:52:33.594
Kid1	DragMove	(-78.3, 24.0, -5.0)	10:52:33.614
Kid1	DragMove	(-78.3, 22.2, -5.0)	10:52:33.650
Kid1	DragEnd	(-78.3, 22.2, -5.0)	10:52:33.729
Box	FingerDown	(498.8, -261.1, -6.0)	10:52:34.715
Box	DragBegin	(498.8, -261.1, -6.0)	10:52:35.15
Box	DragMove	(523.5, -275.7, -6.0)	10:52:35.31
Box	DragMove	(539.0, -260.2, -6.0)	10:52:35.46
Box	DragMove	(568.2, -223.3, -6.0)	10:52:35.86
Box	DragMove	(585.7, -198.0, -6.0)	10:52:35.113
Box	DragMove	(587.6, -190.2, -6.0)	10:52:35.130
Box	DragMove	(589.6, -182.5, -6.0)	10:52:35.145
Box	DragMove	(589.6, -172.7, -6.0)	10:52:35.166
Box	DragMove	(587.6, -161.1, -6.0)	10:52:35.182
Box	DragMove	(577.9, -139.7, -6.0)	10:52:35.199
Box	DragMove	(547.5, -84.0, -6.0)	10:52:35.242
Box	DragMove	(518.3, -18.0, -6.0)	10:52:35.260
Box	DragMove	(502.8, 13.1, -6.0)	10:52:35.270
Box	DragMove	(452.3, 81.1, -6.0)	10:52:35.298
Box	DragMove	(430.9, 100.5, -6.0)	10:52:35.323
Box	DragMove	(419.2, 104.4, -6.0)	10:52:35.329
Box	DragMove	(401.8, 110.2, -6.0)	10:52:35.350
Box	DragMove	(370.7, 112.2, -6.0)	10:52:35.386
Box	DragMove	(361.0, 112.2, -6.0)	10:52:35.413
Box	DragMove	(353.2, 112.2, -6.0)	10:52:35.734
Box	DragMove	(319.5, 132.3, -6.0)	10:52:35.766
Box	DragMove	(267.1, 149.8, -6.0)	10:52:35.797
Box	DragMove	(230.2, 161.4, -6.0)	10:52:35.814
Box	DragMove	(195.2, 169.2, -6.0)	10:52:35.834
Box	DragMove	(140.8, 176.9, -6.0)	10:52:35.870
Box	DragMove	(111.6, 178.9, -6.0)	10:52:35.898
Box	DragMove	(103.9, 180.2, -6.0)	10:52:36.186
Box	DragMove	(92.3, 180.2, -6.0)	10:52:36.218
Box	DragMove	(74.8, 180.2, -6.0)	10:52:36.250
Box	DragMove	(63.2, 180.2, -6.0)	10:52:36.266
Box	DragMove	(59.3, 178.2, -6.0)	10:52:36.282
Box	DragMove	(49.6, 176.3, -6.0)	10:52:36.302
Box	DragMove	(37.3, 175.0, -6.0)	10:52:36.338
Box	DragMove	(27.5, 175.0, -6.0)	10:52:36.365
Box	DragMove	(23.7, 175.0, -6.0)	10:52:36.382
Box	DragMove	(18.0, 175.0, -6.0)	10:52:36.414
Box	DragMove	(14.3, 175.0, -6.0)	10:52:36.450
Box	DragMove	(12.3, 175.0, -6.0)	10:52:36.466
Box	DragMove	(11.0, 175.0, -6.0)	10:52:36.510
Box	DragMove	(9.7, 175.0, -6.0)	10:52:36.518
Box	DragMove	(8.4, 175.0, -6.0)	10:52:36.535
Box	DragMove	(5.2, 175.0, -6.0)	10:52:36.566
Box	DragMove	(3.3, 173.1, -6.0)	10:52:36.581
Box	DragMove	(1.3, 173.1, -6.0)	10:52:36.603
Box	DragMove	(0.0, 171.8, -6.0)	10:52:36.655
Box	DragMove	(0.0, 169.9, -6.0)	10:52:36.686
Box	DragMove	(-1.3, 168.6, -6.0)	10:52:36.718
Box	DragMove	(-1.3, 167.3, -6.0)	10:52:36.749
Box	DragMove	(-1.3, 166.0, -6.0)	10:52:36.786
Box	DragMove	(-1.3, 164.7, -6.0)	10:52:36.826
Box	DragMove	(-1.3, 163.4, -6.0)	10:52:36.849
Box	DragMove	(-1.3, 162.1, -6.0)	10:52:36.870
Box	DragMove	(-1.3, 160.8, -6.0)	10:52:36.887
Box	DragMove	(-1.3, 159.5, -6.0)	10:52:36.904
Box	DragMove	(-1.3, 157.6, -6.0)	10:52:36.918
Box	DragMove	(-1.3, 156.3, -6.0)	10:52:36.950
Box	DragEnd	(-1.3, 156.3, -6.0)	10:52:37.87
Kid1	FingerDown	(-78.3, 22.2, -5.0)	10:52:37.639
Kid1	DragBegin	(-78.3, 22.2, -5.0)	10:52:37.835
Kid1	DragMove	(-74.4, 1.8, -5.0)	10:52:37.858
Kid1	DragMove	(-74.4, 3.7, -5.0)	10:52:37.869
Kid1	DragMove	(-74.4, 6.3, -5.0)	10:52:37.901
Kid1	DragMove	(-74.4, 7.6, -5.0)	10:52:37.945
Kid1	DragMove	(-74.4, 5.8, -5.0)	10:52:38.2
Kid1	DragMove	(-72.5, 3.9, -5.0)	10:52:38.18
Kid1	DragMove	(-72.5, 0.0, -5.0)	10:52:38.40
Kid1	DragMove	(-72.5, -1.9, -5.0)	10:52:38.56
Kid1	DragMove	(-70.6, -9.6, -5.0)	10:52:38.94
Kid1	DragMove	(-70.6, -11.6, -5.0)	10:52:38.102
Kid1	DragMove	(-70.6, -13.5, -5.0)	10:52:38.122
Kid1	DragMove	(-70.6, -11.7, -5.0)	10:52:38.185
Kid1	DragMove	(-70.6, -9.8, -5.0)	10:52:38.206
Kid1	DragMove	(-70.6, -2.0, -5.0)	10:52:38.242
Kid1	DragMove	(-70.6, 7.7, -5.0)	10:52:38.270
Kid1	DragMove	(-70.6, 11.6, -5.0)	10:52:38.286
Kid1	DragMove	(-70.6, 14.2, -5.0)	10:52:38.321
Kid1	DragMove	(-71.9, 15.5, -5.0)	10:52:38.354
Kid1	DragMove	(-71.9, 11.6, -5.0)	10:52:38.507
Kid1	DragMove	(-71.9, 9.0, -5.0)	10:52:38.523
Kid1	DragMove	(-71.9, 3.2, -5.0)	10:52:38.558
Kid1	DragMove	(-75.1, -1.3, -5.0)	10:52:38.590
Kid1	DragMove	(-75.1, -5.2, -5.0)	10:52:38.622
Kid1	DragMove	(-77.0, -5.2, -5.0)	10:52:38.690
