Object	Action	Position	Time
Penguin1	FingerDown	(53.1, -136.1, -4.0)	15:33:08.45
Penguin1	DragBegin	(53.1, -136.1, -4.0)	15:33:08.546
Penguin1	DragMove	(59.4, -135.0, -4.0)	15:33:08.576
Penguin1	DragMove	(59.4, -126.8, -4.0)	15:33:08.636
Penguin1	DragMove	(59.4, -124.7, -4.0)	15:33:08.670
Penguin1	DragMove	(59.4, -122.6, -4.0)	15:33:08.679
Penguin1	DragMove	(59.4, -121.2, -4.0)	15:33:08.719
Penguin1	DragMove	(59.4, -117.0, -4.0)	15:33:08.784
Penguin1	DragMove	(59.4, -112.8, -4.0)	15:33:08.825
Penguin1	DragMove	(59.4, -110.7, -4.0)	15:33:08.847
Penguin1	DragMove	(59.4, -108.7, -4.0)	15:33:08.865
Penguin1	DragMove	(59.4, -105.9, -4.0)	15:33:08.881
Penguin1	DragMove	(59.4, -103.9, -4.0)	15:33:08.897
Penguin1	DragMove	(59.4, -91.3, -4.0)	15:33:08.953
Penguin1	DragMove	(59.4, -89.2, -4.0)	15:33:08.979
Penguin1	DragMove	(59.4, -83.2, -4.0)	15:33:08.996
Penguin1	DragMove	(59.4, -81.2, -4.0)	15:33:09.12
Penguin1	DragMove	(59.4, -79.1, -4.0)	15:33:09.29
Penguin1	DragMove	(59.4, -74.9, -4.0)	15:33:09.44
Penguin1	DragMove	(59.4, -67.2, -4.0)	15:33:09.111
Penguin1	DragMove	(59.4, -65.2, -4.0)	15:33:09.132
Penguin1	DragMove	(59.4, -63.1, -4.0)	15:33:09.149
Penguin1	DragMove	(59.4, -61.7, -4.0)	15:33:09.182
Penguin1	DragMove	(59.4, -63.7, -4.0)	15:33:09.361
Penguin1	DragMove	(59.4, -67.1, -4.0)	15:33:09.419
Penguin1	DragMove	(59.4, -68.5, -4.0)	15:33:09.443
Penguin1	DragMove	(59.4, -70.6, -4.0)	15:33:09.460
Penguin1	DragMove	(59.4, -72.0, -4.0)	15:33:09.476
Penguin1	DragMove	(59.4, -73.4, -4.0)	15:33:09.511
Penguin1	DragMove	(59.4, -80.4, -4.0)	15:33:09.569
Penguin1	DragMove	(59.4, -81.8, -4.0)	15:33:09.622
Penguin1	DragMove	(59.4, -83.2, -4.0)	15:33:09.655
Penguin1	DragMove	(59.4, -84.6, -4.0)	15:33:09.659
Penguin1	DragMove	(59.4, -88.8, -4.0)	15:33:09.737
Penguin1	DragMove	(59.4, -90.9, -4.0)	15:33:09.772
Penguin1	DragMove	(59.4, -92.3, -4.0)	15:33:09.795
Penguin1	DragMove	(59.4, -96.3, -4.0)	15:33:09.829
Penguin1	DragEnd	(59.4, -96.3, -4.0)	15:33:10.39
Penguin1	FingerDown	(59.4, -96.3, -4.0)	15:33:10.748
Penguin1	DragBegin	(59.4, -96.3, -4.0)	15:33:11.9
Penguin1	DragMove	(53.8, -113.4, -4.0)	15:33:11.25
Penguin1	DragMove	(49.8, -109.4, -4.0)	15:33:11.59
Penguin1	DragMove	(47.7, -107.3, -4.0)	15:33:11.75
Penguin1	DragMove	(45.6, -105.2, -4.0)	15:33:11.91
Penguin1	DragMove	(37.4, -96.9, -4.0)	15:33:11.139
Penguin1	DragMove	(36.0, -95.5, -4.0)	15:33:11.167
Penguin1	DragMove	(34.6, -92.7, -4.0)	15:33:11.185
Penguin1	DragMove	(32.5, -92.7, -4.0)	15:33:11.201
Penguin1	DragMove	(32.5, -90.7, -4.0)	15:33:11.211
Penguin1	DragMove	(30.4, -90.7, -4.0)	15:33:11.232
Penguin1	DragMove	(25.5, -85.1, -4.0)	15:33:11.287
Penguin1	DragMove	(23.4, -85.1, -4.0)	15:33:11.291
Penguin1	DragMove	(21.3, -83.0, -4.0)	15:33:11.325
Penguin1	DragMove	(19.3, -80.9, -4.0)	15:33:11.341
Penguin1	DragMove	(15.1, -80.9, -4.0)	15:33:11.347
Penguin1	DragMove	(13.0, -78.8, -4.0)	15:33:11.364
Penguin1	DragMove	(10.9, -78.8, -4.0)	15:33:11.380
Penguin1	DragMove	(8.8, -76.7, -4.0)	15:33:11.399
Penguin1	DragMove	(-0.3, -75.3, -4.0)	15:33:11.459
Penguin1	DragMove	(-1.7, -75.3, -4.0)	15:33:11.497
Penguin1	DragMove	(-3.1, -75.3, -4.0)	15:33:11.519
Penguin1	DragMove	(-4.5, -75.3, -4.0)	15:33:11.536
Penguin1	DragMove	(-5.9, -75.3, -4.0)	15:33:11.569
Penguin1	DragMove	(-8.6, -82.1, -4.0)	15:33:11.631
Penguin1	DragMove	(-8.6, -84.2, -4.0)	15:33:11.652
Penguin1	DragMove	(-10.0, -85.6, -4.0)	15:33:11.669
Penguin1	DragMove	(-10.0, -87.0, -4.0)	15:33:11.702
Penguin1	DragMove	(-11.4, -87.0, -4.0)	15:33:11.842
Penguin1	DragMove	(-12.8, -87.0, -4.0)	15:33:11.864
Penguin1	DragMove	(-17.7, -78.0, -4.0)	15:33:11.940
Penguin1	DragMove	(-19.8, -73.8, -4.0)	15:33:11.977
