Object	Action	Position	Time
Alien3	FingerDown	(-236.4, -62.2, -3.0)	14:49:23.985
Alien3	DragBegin	(-236.4, -62.2, -3.0)	14:49:24.272
Alien3	DragMove	(-244.6, -2.7, -3.0)	14:49:24.285
Alien3	DragMove	(-244.6, 3.1, -3.0)	14:49:24.300
Alien3	DragMove	(-246.6, 13.5, -3.0)	14:49:24.352
Alien3	DragMove	(-246.6, 11.6, -3.0)	14:49:24.420
Alien3	DragMove	(-244.7, 7.9, -3.0)	14:49:24.437
Alien3	DragMove	(-244.7, 0.2, -3.0)	14:49:24.452
Alien3	DragMove	(-240.2, -16.0, -3.0)	14:49:24.508
Alien3	DragMove	(-238.2, -19.9, -3.0)	14:49:24.511
Alien3	DragMove	(-236.3, -21.9, -3.0)	14:49:24.541
Alien3	DragMove	(-236.3, -23.8, -3.0)	14:49:24.552
Alien3	DragMove	(-234.3, -23.8, -3.0)	14:49:24.569
Alien3	DragMove	(-234.3, -3.7, -3.0)	14:49:24.676
Alien3	DragMove	(-234.3, 7.9, -3.0)	14:49:24.679
Alien3	DragMove	(-234.3, 19.6, -3.0)	14:49:24.704
Alien3	DragMove	(-232.4, 31.2, -3.0)	14:49:24.721
Alien3	DragMove	(-230.4, 39.0, -3.0)	14:49:24.736
Alien3	DragMove	(-230.4, 44.8, -3.0)	14:49:24.753
Alien3	DragMove	(-229.1, 47.4, -3.0)	14:49:24.767
Alien3	DragMove	(-229.1, 43.7, -3.0)	14:49:24.840
Alien3	DragMove	(-227.2, 28.2, -3.0)	14:49:24.864
Alien3	DragMove	(-227.2, 20.4, -3.0)	14:49:24.884
Alien3	DragMove	(-227.2, 12.6, -3.0)	14:49:24.904
Alien3	DragMove	(-227.2, 6.8, -3.0)	14:49:24.920
Alien3	DragMove	(-225.9, 1.6, -3.0)	14:49:24.937
Alien3	DragMove	(-225.9, -2.3, -3.0)	14:49:24.952
Alien3	DragMove	(-222.0, -13.9, -3.0)	14:49:25.8
Alien3	DragMove	(-222.0, -17.8, -3.0)	14:49:25.12
Alien3	DragMove	(-222.0, -21.7, -3.0)	14:49:25.41
Alien3	DragMove	(-220.1, -25.6, -3.0)	14:49:25.52
Alien3	DragMove	(-218.8, -30.8, -3.0)	14:49:25.68
Alien3	DragMove	(-218.8, -34.6, -3.0)	14:49:25.88
Alien3	DragMove	(-218.8, -38.5, -3.0)	14:49:25.105
Alien3	DragMove	(-216.8, -47.0, -3.0)	14:49:25.157
Alien3	DragMove	(-216.8, -48.9, -3.0)	14:49:25.172
Alien3	DragMove	(-216.8, -50.8, -3.0)	14:49:25.188
Alien3	DragMove	(-216.8, -54.6, -3.0)	14:49:25.204
Alien3	DragMove	(-216.8, -56.6, -3.0)	14:49:25.221
Alien3	DragMove	(-216.8, -59.2, -3.0)	14:49:25.236
Alien3	DragMove	(-216.8, -60.5, -3.0)	14:49:25.272
Alien3	DragMove	(-216.8, -66.9, -3.0)	14:49:25.320
Alien3	DragMove	(-216.8, -68.9, -3.0)	14:49:25.344
Alien3	DragMove	(-216.8, -70.2, -3.0)	14:49:25.356
Alien3	DragMove	(-216.8, -71.5, -3.0)	14:49:25.388
Alien3	DragMove	(-216.8, -72.8, -3.0)	14:49:25.420
Alien3	DragEnd	(-216.8, -72.8, -3.0)	14:49:25.520
