Object	Action	Position	Time
Butterfly	FingerDown	(-179.8, 71.2, -4.0)	12:57:31.901
Butterfly	DragBegin	(-179.8, 71.2, -4.0)	12:57:32.85
Butterfly	DragMove	(-177.0, 101.3, -4.0)	12:57:32.118
Butterfly	DragMove	(-177.0, 112.9, -4.0)	12:57:32.134
Butterfly	DragMove	(-177.0, 122.6, -4.0)	12:57:32.151
Butterfly	DragMove	(-177.0, 134.3, -4.0)	12:57:32.168
Butterfly	DragMove	(-177.0, 142.1, -4.0)	12:57:32.184
Butterfly	DragMove	(-177.0, 149.8, -4.0)	12:57:32.200
Butterfly	DragMove	(-177.0, 155.0, -4.0)	12:57:32.218
Butterfly	DragMove	(-171.2, 162.8, -4.0)	12:57:32.235
Butterfly	DragMove	(-167.3, 164.7, -4.0)	12:57:32.252
Butterfly	DragMove	(-163.4, 166.7, -4.0)	12:57:32.286
Butterfly	DragMove	(-159.5, 166.7, -4.0)	12:57:32.302
Butterfly	DragMove	(-155.6, 166.7, -4.0)	12:57:32.319
Butterfly	DragMove	(-147.8, 166.7, -4.0)	12:57:32.335
Butterfly	DragMove	(-144.0, 164.7, -4.0)	12:57:32.352
Butterfly	DragMove	(-142.0, 160.8, -4.0)	12:57:32.369
Butterfly	DragMove	(-138.1, 155.0, -4.0)	12:57:32.385
Butterfly	DragMove	(-136.2, 149.2, -4.0)	12:57:32.402
Butterfly	DragMove	(-134.2, 135.6, -4.0)	12:57:32.419
Butterfly	DragMove	(-132.3, 127.8, -4.0)	12:57:32.453
Butterfly	DragMove	(-132.3, 120.0, -4.0)	12:57:32.470
Butterfly	DragMove	(-132.3, 112.3, -4.0)	12:57:32.486
Butterfly	DragMove	(-132.3, 102.5, -4.0)	12:57:32.503
Butterfly	DragMove	(-132.3, 98.7, -4.0)	12:57:32.519
Butterfly	DragMove	(-137.5, 93.5, -4.0)	12:57:32.535
Butterfly	DragMove	(-139.3, 91.6, -4.0)	12:57:32.553
Butterfly	DragMove	(-147.1, 87.7, -4.0)	12:57:32.569
Butterfly	DragMove	(-156.8, 85.8, -4.0)	12:57:32.586
Butterfly	DragMove	(-166.5, 83.9, -4.0)	12:57:32.602
Butterfly	DragMove	(-174.3, 83.9, -4.0)	12:57:32.618
Butterfly	DragMove	(-180.1, 83.9, -4.0)	12:57:32.635
Butterfly	DragMove	(-184.0, 86.4, -4.0)	12:57:32.651
Butterfly	DragMove	(-187.9, 92.3, -4.0)	12:57:32.669
Butterfly	DragMove	(-189.9, 98.1, -4.0)	12:57:32.685
Butterfly	DragMove	(-191.8, 105.9, -4.0)	12:57:32.701
Butterfly	DragMove	(-191.8, 111.7, -4.0)	12:57:32.717
Butterfly	DragMove	(-191.8, 117.5, -4.0)	12:57:32.735
Butterfly	DragMove	(-191.8, 121.4, -4.0)	12:57:32.751
Butterfly	DragMove	(-191.8, 125.3, -4.0)	12:57:32.768
Butterfly	DragMove	(-189.9, 127.2, -4.0)	12:57:32.784
Butterfly	DragMove	(-187.9, 129.2, -4.0)	12:57:32.800
Butterfly	DragMove	(-186.0, 131.1, -4.0)	12:57:32.817
Butterfly	DragMove	(-183.4, 132.4, -4.0)	12:57:32.834
Butterfly	DragMove	(-181.5, 132.4, -4.0)	12:57:32.851
Butterfly	DragMove	(-179.6, 132.4, -4.0)	12:57:32.867
Butterfly	DragMove	(-177.6, 130.5, -4.0)	12:57:32.884
Butterfly	DragMove	(-171.8, 122.7, -4.0)	12:57:32.903
Butterfly	DragMove	(-169.9, 118.8, -4.0)	12:57:32.937
Butterfly	DragMove	(-166.0, 113.0, -4.0)	12:57:32.954
Butterfly	DragMove	(-164.0, 107.2, -4.0)	12:57:32.970
Butterfly	DragMove	(-162.1, 103.3, -4.0)	12:57:32.986
Butterfly	DragMove	(-160.1, 99.4, -4.0)	12:57:33.3
Butterfly	DragMove	(-160.1, 95.5, -4.0)	12:57:33.19
Butterfly	DragMove	(-160.1, 91.6, -4.0)	12:57:33.36
Butterfly	DragMove	(-160.1, 89.7, -4.0)	12:57:33.53
Butterfly	DragMove	(-160.1, 85.2, -4.0)	12:57:33.70
Butterfly	DragMove	(-164.0, 83.2, -4.0)	12:57:33.104
Butterfly	DragMove	(-167.9, 83.2, -4.0)	12:57:33.121
Butterfly	DragMove	(-173.7, 81.3, -4.0)	12:57:33.137
Butterfly	DragMove	(-179.6, 81.3, -4.0)	12:57:33.154
Butterfly	DragMove	(-185.4, 81.3, -4.0)	12:57:33.170
Butterfly	DragMove	(-191.2, 81.3, -4.0)	12:57:33.187
Butterfly	DragMove	(-197.1, 81.3, -4.0)	12:57:33.204
Butterfly	DragMove	(-206.8, 85.2, -4.0)	12:57:33.219
Butterfly	DragMove	(-210.7, 89.0, -4.0)	12:57:33.253
Butterfly	DragMove	(-214.5, 92.9, -4.0)	12:57:33.269
Butterfly	DragMove	(-215.8, 100.7, -4.0)	12:57:33.287
Butterfly	DragMove	(-217.8, 108.5, -4.0)	12:57:33.303
