Object	Action	Position	Time
Penguin2	FingerDown	(-108.0, -229.1, -4.0)	15:33:25.773
Penguin2	DragBegin	(-108.0, -229.1, -4.0)	15:33:26.387
Penguin2	DragMove	(-107.4, -231.8, -4.0)	15:33:26.421
Penguin2	DragMove	(-107.4, -227.6, -4.0)	15:33:26.431
Penguin2	DragMove	(-109.5, -223.4, -4.0)	15:33:26.448
Penguin2	DragMove	(-109.5, -219.2, -4.0)	15:33:26.465
Penguin2	DragMove	(-109.5, -215.0, -4.0)	15:33:26.481
Penguin2	DragMove	(-109.5, -208.1, -4.0)	15:33:26.509
Penguin2	DragMove	(-111.6, -201.9, -4.0)	15:33:26.555
Penguin2	DragMove	(-111.6, -197.7, -4.0)	15:33:26.593
Penguin2	DragMove	(-111.6, -195.6, -4.0)	15:33:26.598
Penguin2	DragMove	(-111.6, -192.8, -4.0)	15:33:26.615
Penguin2	DragMove	(-111.6, -190.8, -4.0)	15:33:26.632
Penguin2	DragMove	(-111.6, -186.6, -4.0)	15:33:26.649
Penguin2	DragMove	(-111.6, -184.5, -4.0)	15:33:26.665
Penguin2	DragMove	(-111.6, -180.3, -4.0)	15:33:26.682
Penguin2	DragMove	(-111.6, -171.4, -4.0)	15:33:26.739
Penguin2	DragMove	(-111.6, -168.6, -4.0)	15:33:26.764
Penguin2	DragMove	(-111.6, -166.5, -4.0)	15:33:26.780
Penguin2	DragMove	(-111.6, -164.5, -4.0)	15:33:26.797
Penguin2	DragMove	(-111.6, -161.7, -4.0)	15:33:26.813
Penguin2	DragMove	(-114.3, -152.7, -4.0)	15:33:26.887
Penguin2	DragMove	(-114.3, -148.5, -4.0)	15:33:26.921
Penguin2	DragMove	(-114.3, -146.4, -4.0)	15:33:26.930
Penguin2	DragMove	(-114.3, -144.3, -4.0)	15:33:26.947
Penguin2	DragMove	(-115.7, -141.5, -4.0)	15:33:26.964
Penguin2	DragMove	(-115.7, -139.5, -4.0)	15:33:26.981
Penguin2	DragMove	(-117.1, -132.5, -4.0)	15:33:27.36
Penguin2	DragMove	(-117.1, -128.4, -4.0)	15:33:27.38
Penguin2	DragMove	(-119.2, -124.2, -4.0)	15:33:27.72
Penguin2	DragMove	(-119.2, -122.1, -4.0)	15:33:27.89
Penguin2	DragMove	(-121.3, -117.9, -4.0)	15:33:27.106
Penguin2	DragMove	(-121.3, -113.7, -4.0)	15:33:27.122
Penguin2	DragMove	(-123.4, -109.5, -4.0)	15:33:27.138
Penguin2	DragMove	(-125.5, -103.2, -4.0)	15:33:27.143
Penguin2	DragMove	(-130.9, -90.3, -4.0)	15:33:27.207
Penguin2	DragMove	(-132.9, -90.3, -4.0)	15:33:27.226
Penguin2	DragMove	(-132.9, -88.2, -4.0)	15:33:27.246
Penguin2	DragMove	(-135.7, -88.2, -4.0)	15:33:27.263
Penguin2	DragMove	(-137.8, -86.1, -4.0)	15:33:27.280
Penguin2	DragMove	(-142.7, -84.1, -4.0)	15:33:27.362
Penguin2	DragMove	(-146.7, -84.1, -4.0)	15:33:27.401
Penguin2	DragMove	(-150.7, -82.1, -4.0)	15:33:27.434
Penguin2	DragMove	(-152.1, -82.1, -4.0)	15:33:27.450
Penguin2	DragMove	(-154.2, -82.1, -4.0)	15:33:27.466
Penguin2	DragMove	(-158.4, -80.0, -4.0)	15:33:27.528
Penguin2	DragMove	(-162.4, -80.0, -4.0)	15:33:27.568
Penguin2	DragMove	(-163.8, -80.0, -4.0)	15:33:27.601
Penguin2	DragMove	(-165.2, -80.0, -4.0)	15:33:27.634
Penguin2	DragMove	(-168.0, -80.0, -4.0)	15:33:27.687
Penguin2	DragEnd	(-168.0, -80.0, -4.0)	15:33:27.931
Penguin2	FingerDown	(-168.0, -80.0, -4.0)	15:33:29.439
Penguin2	DragBegin	(-168.0, -80.0, -4.0)	15:33:29.777
Penguin2	DragMove	(-151.2, -71.7, -4.0)	15:33:29.810
Penguin2	DragMove	(-149.2, -69.7, -4.0)	15:33:29.826
Penguin2	DragMove	(-147.1, -69.7, -4.0)	15:33:29.839
Penguin2	DragMove	(-144.3, -68.3, -4.0)	15:33:29.856
Penguin2	DragMove	(-140.2, -68.3, -4.0)	15:33:29.872
Penguin2	DragMove	(-131.1, -68.3, -4.0)	15:33:29.927
Penguin2	DragMove	(-129.0, -68.3, -4.0)	15:33:29.965
Penguin2	DragMove	(-124.8, -68.3, -4.0)	15:33:29.982
Penguin2	DragMove	(-122.7, -68.3, -4.0)	15:33:29.998
Penguin2	DragMove	(-119.9, -70.3, -4.0)	15:33:30.14
Penguin2	DragMove	(-110.2, -75.9, -4.0)	15:33:30.79
Penguin2	DragMove	(-110.2, -78.0, -4.0)	15:33:30.104
Penguin2	DragMove	(-108.1, -80.0, -4.0)	15:33:30.121
Penguin2	DragMove	(-106.0, -84.2, -4.0)	15:33:30.137
