Object	Action	Position	Time
Seal	FingerDown	(-246.2, 174.1, -4.0)	15:54:05.529
Seal	DragBegin	(-246.2, 174.1, -4.0)	15:54:06.18
Seal	DragMove	(-228.9, 180.4, -4.0)	15:54:06.63
Seal	DragMove	(-226.1, 185.2, -4.0)	15:54:06.100
Seal	DragMove	(-223.3, 188.0, -4.0)	15:54:06.117
Seal	DragMove	(-223.3, 190.0, -4.0)	15:54:06.135
Seal	DragMove	(-217.3, 196.0, -4.0)	15:54:06.167
Seal	DragMove	(-213.1, 201.6, -4.0)	15:54:06.184
Seal	DragMove	(-202.6, 209.9, -4.0)	15:54:06.223
Seal	DragMove	(-196.4, 214.7, -4.0)	15:54:06.247
Seal	DragMove	(-192.3, 218.9, -4.0)	15:54:06.264
Seal	DragMove	(-186.0, 221.0, -4.0)	15:54:06.280
Seal	DragMove	(-181.8, 223.1, -4.0)	15:54:06.301
Seal	DragMove	(-175.5, 225.2, -4.0)	15:54:06.318
Seal	DragMove	(-169.9, 226.6, -4.0)	15:54:06.335
Seal	DragMove	(-155.3, 230.8, -4.0)	15:54:06.375
Seal	DragMove	(-149.0, 230.8, -4.0)	15:54:06.383
Seal	DragMove	(-142.7, 232.9, -4.0)	15:54:06.400
Seal	DragMove	(-134.4, 232.9, -4.0)	15:54:06.418
Seal	DragMove	(-128.1, 232.9, -4.0)	15:54:06.435
Seal	DragMove	(-121.8, 232.9, -4.0)	15:54:06.447
Seal	DragMove	(-113.4, 232.9, -4.0)	15:54:06.464
Seal	DragMove	(-107.1, 232.9, -4.0)	15:54:06.480
Seal	DragMove	(-98.8, 232.9, -4.0)	15:54:06.499
Seal	DragMove	(-75.0, 232.9, -4.0)	15:54:06.545
Seal	DragMove	(-64.6, 232.9, -4.0)	15:54:06.568
Seal	DragMove	(-60.4, 230.8, -4.0)	15:54:06.585
Seal	DragMove	(-52.0, 228.7, -4.0)	15:54:06.601
Seal	DragMove	(-47.8, 226.6, -4.0)	15:54:06.618
Seal	DragMove	(-41.6, 222.4, -4.0)	15:54:06.636
Seal	DragMove	(-33.2, 218.2, -4.0)	15:54:06.652
Seal	DragMove	(-26.9, 214.0, -4.0)	15:54:06.668
Seal	DragMove	(-9.5, 196.6, -4.0)	15:54:06.715
Seal	DragMove	(1.0, 188.2, -4.0)	15:54:06.747
Seal	DragMove	(5.2, 186.1, -4.0)	15:54:06.769
Seal	DragMove	(9.4, 181.9, -4.0)	15:54:06.786
Seal	DragMove	(15.6, 177.8, -4.0)	15:54:06.802
Seal	DragMove	(19.8, 175.7, -4.0)	15:54:06.819
Seal	DragMove	(30.3, 169.4, -4.0)	15:54:06.864
Seal	DragMove	(33.1, 166.6, -4.0)	15:54:06.881
Seal	DragMove	(35.1, 164.6, -4.0)	15:54:06.902
Seal	DragMove	(39.3, 163.2, -4.0)	15:54:06.919
Seal	DragMove	(43.5, 159.0, -4.0)	15:54:06.936
Seal	DragMove	(45.6, 159.0, -4.0)	15:54:06.952
Seal	DragMove	(49.7, 156.9, -4.0)	15:54:06.969
Seal	DragMove	(60.2, 150.6, -4.0)	15:54:07.21
Seal	DragMove	(68.6, 148.6, -4.0)	15:54:07.52
Seal	DragMove	(72.8, 148.6, -4.0)	15:54:07.69
Seal	DragMove	(76.9, 146.5, -4.0)	15:54:07.86
Seal	DragMove	(82.5, 145.1, -4.0)	15:54:07.103
Seal	DragMove	(86.7, 145.1, -4.0)	15:54:07.119
Seal	DragMove	(90.9, 145.1, -4.0)	15:54:07.136
Seal	DragMove	(99.3, 143.0, -4.0)	15:54:07.175
