Object	Action	Position	Time
Kid2	FingerDown	(117.6, -41.0, -5.0)	19:20:53.491
Kid2	DragBegin	(117.6, -41.0, -5.0)	19:20:53.870
Kid2	DragMove	(110.8, -61.9, -5.0)	19:20:53.894
Kid2	DragMove	(110.8, -63.9, -5.0)	19:20:53.911
Kid2	DragMove	(110.8, -65.9, -5.0)	19:20:53.926
Kid2	DragMove	(108.7, -72.1, -5.0)	19:20:53.953
Kid2	DragMove	(108.7, -76.0, -5.0)	19:20:53.995
Kid2	DragMove	(108.7, -79.9, -5.0)	19:20:54.26
Kid2	DragMove	(108.7, -81.2, -5.0)	19:20:54.41
Kid2	DragMove	(106.7, -81.2, -5.0)	19:20:54.62
Kid2	DragMove	(106.7, -83.3, -5.0)	19:20:54.95
Kid2	DragMove	(106.7, -84.6, -5.0)	19:20:54.142
Kid2	DragMove	(106.7, -86.0, -5.0)	19:20:54.210
Kid2	DragMove	(106.7, -84.0, -5.0)	19:20:54.563
Kid2	DragMove	(108.6, -80.1, -5.0)	19:20:54.578
Kid2	DragMove	(110.6, -78.2, -5.0)	19:20:54.595
Kid2	DragMove	(114.7, -76.1, -5.0)	19:20:54.610
Kid2	DragMove	(131.0, -65.9, -5.0)	19:20:54.654
Kid2	DragMove	(135.1, -61.9, -5.0)	19:20:54.678
Kid2	DragMove	(137.1, -57.8, -5.0)	19:20:54.694
Kid2	DragMove	(139.1, -55.7, -5.0)	19:20:54.709
Kid2	DragMove	(143.0, -53.8, -5.0)	19:20:54.747
Kid2	DragMove	(143.0, -49.9, -5.0)	19:20:55.46
Kid2	DragMove	(141.1, -49.9, -5.0)	19:20:55.62
Kid2	DragMove	(139.0, -45.8, -5.0)	19:20:55.78
Kid2	DragMove	(132.9, -41.7, -5.0)	19:20:55.94
Kid2	DragMove	(107.8, -27.5, -5.0)	19:20:55.138
Kid2	DragMove	(101.7, -23.4, -5.0)	19:20:55.169
Kid2	DragMove	(91.5, -19.3, -5.0)	19:20:55.178
Kid2	DragMove	(85.4, -17.3, -5.0)	19:20:55.194
Kid2	DragMove	(79.3, -17.3, -5.0)	19:20:55.214
Kid2	DragMove	(75.2, -17.3, -5.0)	19:20:55.229
Kid2	DragMove	(69.1, -15.2, -5.0)	19:20:55.246
Kid2	DragMove	(56.8, -11.2, -5.0)	19:20:55.290
Kid2	DragMove	(52.7, -11.2, -5.0)	19:20:55.314
Kid2	DragMove	(50.0, -11.2, -5.0)	19:20:55.330
Kid2	DragMove	(48.1, -11.2, -5.0)	19:20:55.347
Kid2	DragMove	(45.4, -11.2, -5.0)	19:20:55.361
Kid2	DragMove	(43.3, -11.2, -5.0)	19:20:55.394
Kid2	DragMove	(45.3, -11.2, -5.0)	19:20:55.562
Kid2	DragMove	(47.2, -13.2, -5.0)	19:20:55.626
Kid2	DragMove	(51.1, -13.2, -5.0)	19:20:55.645
Kid2	DragMove	(52.5, -13.2, -5.0)	19:20:55.662
Kid2	DragMove	(54.5, -13.2, -5.0)	19:20:55.678
Kid2	DragMove	(58.6, -13.2, -5.0)	19:20:55.698
Kid2	DragMove	(61.3, -13.2, -5.0)	19:20:55.714
Kid2	DragMove	(63.3, -13.2, -5.0)	19:20:55.730
Kid2	DragMove	(67.4, -13.2, -5.0)	19:20:55.746
Kid2	DragMove	(71.4, -15.2, -5.0)	19:20:55.761
Kid2	DragMove	(75.5, -17.3, -5.0)	19:20:55.778
Kid2	DragMove	(79.6, -19.3, -5.0)	19:20:55.798
Kid2	DragMove	(83.7, -23.4, -5.0)	19:20:55.814
Kid2	DragMove	(87.7, -27.5, -5.0)	19:20:55.830
Kid2	DragMove	(91.8, -31.5, -5.0)	19:20:55.846
Kid2	DragMove	(95.9, -35.6, -5.0)	19:20:55.861
Kid2	DragMove	(97.9, -37.6, -5.0)	19:20:55.882
Kid2	DragMove	(106.0, -47.8, -5.0)	19:20:55.925
Kid2	DragMove	(108.7, -50.5, -5.0)	19:20:55.950
Kid2	DragMove	(108.7, -52.4, -5.0)	19:20:55.970
Kid2	DragMove	(110.1, -53.8, -5.0)	19:20:55.982
Kid2	DragMove	(112.0, -57.7, -5.0)	19:20:56.14
Kid2	DragMove	(114.1, -57.7, -5.0)	19:20:56.30
Kid2	DragMove	(114.1, -60.4, -5.0)	19:20:56.46
Kid2	DragMove	(116.1, -62.5, -5.0)	19:20:56.89
Kid2	DragMove	(117.5, -63.8, -5.0)	19:20:56.114
Kid2	DragMove	(115.5, -63.8, -5.0)	19:20:56.498
Kid2	DragEnd	(115.5, -63.8, -5.0)	19:20:56.514
Kid2	FingerDown	(115.5, -63.8, -5.0)	19:20:57.951
Kid2	DragBegin	(115.5, -63.8, -5.0)	19:20:58.271
Kid2	DragMove	(96.2, -52.4, -5.0)	19:20:58.314
Kid2	DragMove	(93.4, -51.0, -5.0)	19:20:58.333
Kid2	DragMove	(91.4, -49.0, -5.0)	19:20:58.350
Kid2	DragMove	(89.4, -49.0, -5.0)	19:20:58.365
Kid2	DragMove	(87.3, -46.9, -5.0)	19:20:58.385
Kid2	DragMove	(85.3, -44.9, -5.0)	19:20:58.402
Kid2	DragMove	(83.2, -44.9, -5.0)	19:20:58.418
