Object	Action	Position	Time
Kid1	FingerDown	(-58.9, -2.5, -4.0)	13:32:40.966
Kid1	DragBegin	(-58.9, -2.5, -4.0)	13:32:41.218
Kid1	DragMove	(-28.0, -2.5, -4.0)	13:32:41.234
Kid1	DragMove	(12.8, -2.5, -4.0)	13:32:41.250
Kid1	DragMove	(36.1, -2.5, -4.0)	13:32:41.284
Kid1	DragMove	(55.5, -4.5, -4.0)	13:32:41.301
Kid1	DragMove	(69.2, -14.2, -4.0)	13:32:41.317
Kid1	DragMove	(75.0, -22.0, -4.0)	13:32:41.333
Kid1	DragMove	(78.9, -29.7, -4.0)	13:32:41.350
Kid1	DragMove	(80.8, -33.6, -4.0)	13:32:41.366
Kid1	DragMove	(80.8, -29.9, -4.0)	13:32:41.449
Kid1	DragMove	(84.7, -26.0, -4.0)	13:32:41.483
Kid1	DragMove	(94.4, -22.1, -4.0)	13:32:41.499
Kid1	DragMove	(106.1, -20.2, -4.0)	13:32:41.515
Kid1	DragMove	(119.7, -20.2, -4.0)	13:32:41.533
Kid1	DragMove	(132.6, -20.2, -4.0)	13:32:41.549
Kid1	DragMove	(146.2, -20.2, -4.0)	13:32:41.565
Kid1	DragMove	(152.0, -22.1, -4.0)	13:32:41.582
Kid1	DragMove	(163.7, -28.0, -4.0)	13:32:41.601
Kid1	DragMove	(169.5, -29.9, -4.0)	13:32:41.635
Kid1	DragMove	(173.4, -29.9, -4.0)	13:32:41.651
Kid1	DragMove	(177.3, -31.8, -4.0)	13:32:41.668
Kid1	DragMove	(181.2, -33.8, -4.0)	13:32:41.685
Kid1	DragMove	(183.1, -35.7, -4.0)	13:32:41.701
Kid1	DragMove	(185.1, -35.7, -4.0)	13:32:41.718
Kid1	DragMove	(185.1, -39.5, -4.0)	13:32:41.750
Kid1	DragEnd	(185.1, -39.5, -4.0)	13:32:41.817
Ball2	FingerDown	(38.9, 91.8, -6.0)	13:32:42.486
Ball2	DragBegin	(38.9, 91.8, -6.0)	13:32:42.853
Ball2	DragMove	(95.7, 76.9, -6.0)	13:32:42.870
Ball2	DragMove	(115.1, 73.0, -6.0)	13:32:42.904
Ball2	DragMove	(132.6, 55.5, -6.0)	13:32:42.921
Ball2	DragMove	(152.0, 25.7, -6.0)	13:32:42.936
Ball2	DragMove	(157.9, 14.0, -6.0)	13:32:42.971
Ball2	DragMove	(161.8, 8.2, -6.0)	13:32:42.987
Ball2	DragMove	(165.6, 2.4, -6.0)	13:32:43.4
Ball2	DragMove	(166.9, -0.2, -6.0)	13:32:43.20
Ball2	DragMove	(166.9, -2.1, -6.0)	13:32:43.36
Ball2	DragMove	(168.9, -2.1, -6.0)	13:32:43.53
Ball2	DragMove	(170.2, -4.7, -6.0)	13:32:43.70
Ball2	DragMove	(172.1, -4.7, -6.0)	13:32:43.87
Ball2	DragMove	(174.0, -6.5, -6.0)	13:32:43.103
Ball2	DragMove	(175.9, -8.5, -6.0)	13:32:43.120
Ball2	DragMove	(177.8, -8.5, -6.0)	13:32:43.136
Ball2	DragMove	(183.0, -11.0, -6.0)	13:32:43.152
Ball2	DragMove	(186.8, -11.0, -6.0)	13:32:43.169
Ball2	DragMove	(188.8, -13.0, -6.0)	13:32:43.186
Ball2	DragMove	(190.1, -13.0, -6.0)	13:32:43.202
Ball2	DragMove	(191.4, -13.0, -6.0)	13:32:43.236
Ball2	DragMove	(193.3, -14.9, -6.0)	13:32:43.253
Ball2	DragMove	(195.3, -14.9, -6.0)	13:32:43.268
Ball2	DragMove	(197.2, -16.9, -6.0)	13:32:43.286
Ball2	DragMove	(199.2, -18.8, -6.0)	13:32:43.301
Ball2	DragMove	(200.4, -21.4, -6.0)	13:32:43.318
Ball2	DragMove	(204.3, -29.2, -6.0)	13:32:43.337
Ball2	DragMove	(204.3, -33.1, -6.0)	13:32:43.372
Ball2	DragMove	(204.3, -34.4, -6.0)	13:32:43.388
Ball2	DragMove	(205.6, -34.4, -6.0)	13:32:43.471
Ball2	DragEnd	(205.6, -34.4, -6.0)	13:32:43.555
Ball2	FingerDown	(205.6, -34.4, -6.0)	13:32:44.204
Ball2	DragBegin	(205.6, -34.4, -6.0)	13:32:44.390
Ball2	DragMove	(211.5, 2.5, -6.0)	13:32:44.407
Ball2	DragMove	(236.7, 8.3, -6.0)	13:32:44.422
Ball2	DragMove	(248.4, 10.2, -6.0)	13:32:44.439
Ball2	DragMove	(256.1, 12.2, -6.0)	13:32:44.473
