Object	Action	Position	Time
Turtle	FingerDown	(188.5, 109.3, -4.0)	13:25:39.950
Turtle	DragBegin	(188.5, 109.3, -4.0)	13:25:40.272
Turtle	DragMove	(189.5, 108.5, -4.0)	13:25:40.286
Turtle	DragMove	(185.6, 111.1, -4.0)	13:25:40.304
Turtle	DragMove	(181.8, 113.1, -4.0)	13:25:40.320
Turtle	DragMove	(175.9, 117.0, -4.0)	13:25:40.336
Turtle	DragMove	(172.0, 118.9, -4.0)	13:25:40.370
Turtle	DragMove	(166.2, 120.9, -4.0)	13:25:40.387
Turtle	DragMove	(162.3, 120.9, -4.0)	13:25:40.403
Turtle	DragMove	(160.5, 120.9, -4.0)	13:25:40.420
Turtle	DragMove	(152.7, 120.9, -4.0)	13:25:40.436
Turtle	DragMove	(148.8, 120.9, -4.0)	13:25:40.469
Turtle	DragMove	(145.1, 120.9, -4.0)	13:25:40.502
Turtle	DragMove	(143.8, 120.9, -4.0)	13:25:40.537
Turtle	DragMove	(143.8, 122.8, -4.0)	13:25:40.570
Turtle	DragMove	(141.9, 122.8, -4.0)	13:25:40.586
Turtle	DragMove	(141.9, 124.7, -4.0)	13:25:40.603
Turtle	DragMove	(140.0, 124.7, -4.0)	13:25:40.619
Turtle	DragMove	(138.1, 126.7, -4.0)	13:25:40.636
Turtle	DragMove	(136.8, 128.0, -4.0)	13:25:40.652
Turtle	DragMove	(134.8, 128.0, -4.0)	13:25:40.669
Turtle	DragMove	(133.5, 128.0, -4.0)	13:25:40.702
Turtle	DragMove	(132.2, 128.0, -4.0)	13:25:40.735
Turtle	DragMove	(130.3, 124.1, -4.0)	13:25:40.752
Turtle	DragMove	(128.3, 116.3, -4.0)	13:25:40.768
Turtle	DragMove	(124.4, 110.5, -4.0)	13:25:40.785
Turtle	DragMove	(120.6, 102.7, -4.0)	13:25:40.801
Turtle	DragMove	(120.6, 96.9, -4.0)	13:25:40.818
Turtle	DragMove	(116.7, 91.7, -4.0)	13:25:40.834
Turtle	DragMove	(114.7, 87.8, -4.0)	13:25:40.851
Turtle	DragMove	(110.9, 83.9, -4.0)	13:25:40.867
Turtle	DragMove	(108.9, 82.0, -4.0)	13:25:40.884
Turtle	DragMove	(105.0, 78.1, -4.0)	13:25:40.901
Turtle	DragMove	(99.8, 72.9, -4.0)	13:25:40.917
Turtle	DragMove	(98.0, 71.1, -4.0)	13:25:40.933
Turtle	DragMove	(92.2, 67.2, -4.0)	13:25:40.950
Turtle	DragMove	(88.3, 63.3, -4.0)	13:25:40.967
Turtle	DragMove	(84.4, 59.4, -4.0)	13:25:40.984
Turtle	DragMove	(79.2, 55.5, -4.0)	13:25:41.0
Turtle	DragMove	(77.3, 53.6, -4.0)	13:25:41.17
Turtle	DragMove	(75.4, 53.6, -4.0)	13:25:41.33
Turtle	DragMove	(74.1, 52.3, -4.0)	13:25:41.50
Turtle	DragMove	(74.1, 53.6, -4.0)	13:25:41.216
Turtle	DragMove	(76.0, 55.4, -4.0)	13:25:41.232
Turtle	DragMove	(77.9, 59.3, -4.0)	13:25:41.248
Turtle	DragMove	(81.8, 67.1, -4.0)	13:25:41.265
Turtle	DragMove	(85.7, 72.9, -4.0)	13:25:41.282
Turtle	DragMove	(90.2, 80.7, -4.0)	13:25:41.301
Turtle	DragMove	(92.8, 83.3, -4.0)	13:25:41.335
Turtle	DragMove	(94.7, 85.2, -4.0)	13:25:41.351
Turtle	DragMove	(96.6, 87.1, -4.0)	13:25:41.368
Turtle	DragMove	(98.6, 89.0, -4.0)	13:25:41.385
Turtle	DragMove	(102.4, 92.9, -4.0)	13:25:41.401
Turtle	DragMove	(106.3, 94.9, -4.0)	13:25:41.418
Turtle	DragMove	(110.2, 96.8, -4.0)	13:25:41.434
Turtle	DragMove	(114.1, 98.8, -4.0)	13:25:41.451
Turtle	DragMove	(118.0, 100.0, -4.0)	13:25:41.468
Turtle	DragMove	(121.9, 100.0, -4.0)	13:25:41.484
Turtle	DragMove	(125.7, 103.9, -4.0)	13:25:41.501
Turtle	DragMove	(129.6, 105.9, -4.0)	13:25:41.517
Turtle	DragMove	(131.6, 107.8, -4.0)	13:25:41.534
Turtle	DragMove	(135.5, 109.8, -4.0)	13:25:41.550
Turtle	DragMove	(137.4, 111.7, -4.0)	13:25:41.567
Turtle	DragMove	(140.0, 113.0, -4.0)	13:25:41.584
Turtle	DragMove	(141.3, 113.0, -4.0)	13:25:41.617
Turtle	DragMove	(142.6, 114.3, -4.0)	13:25:41.633
Turtle	DragMove	(144.4, 114.3, -4.0)	13:25:41.666
Turtle	DragMove	(145.7, 114.3, -4.0)	13:25:41.683
Turtle	DragMove	(145.7, 116.2, -4.0)	13:25:41.699
Turtle	DragMove	(147.6, 116.2, -4.0)	13:25:41.733
Turtle	DragMove	(147.6, 117.4, -4.0)	13:25:41.783
Turtle	DragMove	(149.5, 117.4, -4.0)	13:25:41.798
Turtle	DragMove	(150.8, 117.4, -4.0)	13:25:41.898
Turtle	DragMove	(152.6, 119.3, -4.0)	13:25:41.931
Turtle	DragMove	(154.6, 121.3, -4.0)	13:25:41.948
Turtle	DragMove	(156.5, 123.2, -4.0)	13:25:41.964
Turtle	DragMove	(159.1, 123.2, -4.0)	13:25:41.982
Turtle	DragMove	(159.1, 125.1, -4.0)	13:25:41.998
Turtle	DragMove	(161.0, 125.1, -4.0)	13:25:42.15
Turtle	DragMove	(162.3, 125.1, -4.0)	13:25:42.97
Turtle	DragEnd	(162.3, 125.1, -4.0)	13:25:42.122
Turtle	FingerDown	(162.3, 125.1, -4.0)	13:25:42.587
Turtle	DragBegin	(162.3, 125.1, -4.0)	13:25:42.811
Turtle	DragMove	(156.5, 150.0, -4.0)	13:25:42.828
Turtle	DragMove	(154.6, 159.7, -4.0)	13:25:42.844
Turtle	DragMove	(150.7, 163.6, -4.0)	13:25:42.861
Turtle	DragMove	(150.7, 168.8, -4.0)	13:25:42.877
Turtle	DragMove	(148.7, 168.8, -4.0)	13:25:42.894
Turtle	DragMove	(148.7, 165.0, -4.0)	13:25:42.976
Turtle	DragMove	(148.7, 161.2, -4.0)	13:25:43.10
Turtle	DragMove	(150.7, 153.4, -4.0)	13:25:43.26
Turtle	DragMove	(153.3, 149.5, -4.0)	13:25:43.43
Turtle	DragMove	(155.9, 143.0, -4.0)	13:25:43.75
Turtle	DragMove	(155.9, 141.7, -4.0)	13:25:43.109
Turtle	DragMove	(155.9, 143.6, -4.0)	13:25:43.209
Turtle	DragMove	(155.9, 145.5, -4.0)	13:25:43.225
Turtle	DragMove	(155.9, 149.4, -4.0)	13:25:43.242
Turtle	DragMove	(155.9, 151.4, -4.0)	13:25:43.258
Turtle	DragMove	(155.9, 155.3, -4.0)	13:25:43.275
Turtle	DragMove	(153.9, 159.1, -4.0)	13:25:43.292
Turtle	DragMove	(152.0, 161.1, -4.0)	13:25:43.308
Turtle	DragMove	(150.0, 163.0, -4.0)	13:25:43.325
Turtle	DragMove	(150.0, 165.0, -4.0)	13:25:43.341
Turtle	DragMove	(148.2, 165.0, -4.0)	13:25:43.358
Turtle	DragMove	(148.2, 163.1, -4.0)	13:25:43.440
Turtle	DragMove	(148.2, 159.2, -4.0)	13:25:43.457
Turtle	DragMove	(148.2, 155.3, -4.0)	13:25:43.473
Turtle	DragMove	(150.1, 151.4, -4.0)	13:25:43.490
Turtle	DragMove	(150.1, 147.6, -4.0)	13:25:43.507
Turtle	DragMove	(152.1, 141.7, -4.0)	13:25:43.523
Turtle	DragMove	(152.1, 139.8, -4.0)	13:25:43.540
Turtle	DragMove	(152.1, 135.9, -4.0)	13:25:43.557
Turtle	DragMove	(153.3, 133.3, -4.0)	13:25:43.574
Turtle	DragMove	(153.3, 131.4, -4.0)	13:25:43.589
Turtle	DragMove	(153.3, 129.5, -4.0)	13:25:43.606
Turtle	DragMove	(153.3, 125.8, -4.0)	13:25:43.639
Turtle	DragMove	(153.3, 124.5, -4.0)	13:25:43.673
Turtle	DragEnd	(153.3, 124.5, -4.0)	13:25:43.772
Bunny	FingerDown	(249.1, 261.6, -5.0)	13:25:44.658
Bunny	DragBegin	(249.1, 261.6, -5.0)	13:25:45.13
Bunny	DragMove	(240.0, 244.2, -5.0)	13:25:45.28
Bunny	DragMove	(242.0, 240.3, -5.0)	13:25:45.46
Bunny	DragMove	(243.9, 233.2, -5.0)	13:25:45.61
Bunny	DragMove	(243.9, 229.3, -5.0)	13:25:45.95
Bunny	DragMove	(245.8, 229.3, -5.0)	13:25:45.112
Bunny	DragMove	(245.8, 226.7, -5.0)	13:25:45.128
Bunny	DragMove	(245.8, 224.8, -5.0)	13:25:45.145
Bunny	DragMove	(247.7, 224.8, -5.0)	13:25:45.161
Bunny	DragMove	(247.7, 222.8, -5.0)	13:25:45.178
Bunny	DragMove	(247.7, 219.0, -5.0)	13:25:45.195
Bunny	DragMove	(247.7, 217.0, -5.0)	13:25:45.210
