Object	Action	Position	Time
Dog	FingerDown	(156.4, -159.2, -5.0)	10:52:09.47
Dog	DragBegin	(156.4, -159.2, -5.0)	10:52:09.463
Dog	DragMove	(158.8, -122.1, -5.0)	10:52:09.499
Dog	DragMove	(182.1, -114.3, -5.0)	10:52:09.530
Dog	DragMove	(193.7, -110.4, -5.0)	10:52:09.546
Dog	DragMove	(216.4, -107.8, -5.0)	10:52:09.586
Dog	DragMove	(228.1, -107.8, -5.0)	10:52:09.614
Dog	DragMove	(233.9, -111.7, -5.0)	10:52:09.646
Dog	DragMove	(237.0, -113.0, -5.0)	10:52:09.684
Dog	DragMove	(239.0, -113.0, -5.0)	10:52:09.701
Dog	DragMove	(250.0, -102.6, -5.0)	10:52:09.735
Dog	DragMove	(269.4, -89.0, -5.0)	10:52:09.767
Dog	DragMove	(292.7, -79.3, -5.0)	10:52:09.798
Dog	DragMove	(312.2, -73.5, -5.0)	10:52:09.830
Dog	DragMove	(323.8, -73.5, -5.0)	10:52:09.850
Dog	DragMove	(341.3, -73.5, -5.0)	10:52:09.886
Dog	DragMove	(354.9, -78.7, -5.0)	10:52:09.914
Dog	DragMove	(362.7, -88.4, -5.0)	10:52:09.930
Dog	DragMove	(366.6, -92.3, -5.0)	10:52:09.950
Dog	DragMove	(372.4, -100.1, -5.0)	10:52:09.967
Dog	DragMove	(376.3, -105.9, -5.0)	10:52:09.985
Dog	DragMove	(382.1, -109.8, -5.0)	10:52:10.2
Dog	DragMove	(387.9, -109.8, -5.0)	10:52:10.14
Dog	DragMove	(397.6, -98.1, -5.0)	10:52:10.59
Dog	DragMove	(405.4, -86.5, -5.0)	10:52:10.76
Dog	DragMove	(414.5, -76.1, -5.0)	10:52:10.86
Dog	DragMove	(433.9, -68.3, -5.0)	10:52:10.114
Dog	DragMove	(443.6, -68.3, -5.0)	10:52:10.135
Dog	DragMove	(455.3, -68.3, -5.0)	10:52:10.152
Dog	DragMove	(466.9, -74.2, -5.0)	10:52:10.168
Dog	DragMove	(484.4, -81.9, -5.0)	10:52:10.203
Dog	DragMove	(498.0, -83.9, -5.0)	10:52:10.235
Dog	DragMove	(503.8, -83.9, -5.0)	10:52:10.252
Dog	DragMove	(517.4, -78.0, -5.0)	10:52:10.283
Dog	DragMove	(531.0, -66.4, -5.0)	10:52:10.314
Dog	DragMove	(534.9, -62.5, -5.0)	10:52:10.335
Dog	DragMove	(546.6, -60.6, -5.0)	10:52:10.370
Dog	DragMove	(562.1, -62.5, -5.0)	10:52:10.398
Dog	DragMove	(569.9, -68.3, -5.0)	10:52:10.415
Dog	DragMove	(581.5, -80.0, -5.0)	10:52:10.451
Dog	DragMove	(589.3, -83.9, -5.0)	10:52:10.482
Dog	DragMove	(593.2, -85.8, -5.0)	10:52:10.499
Dog	DragMove	(597.7, -85.8, -5.0)	10:52:10.538
Dog	DragMove	(601.5, -78.1, -5.0)	10:52:10.566
Dog	DragMove	(606.1, -72.9, -5.0)	10:52:10.598
Dog	DragMove	(609.9, -72.9, -5.0)	10:52:10.636
Dog	DragMove	(611.2, -80.7, -5.0)	10:52:10.652
Dog	DragMove	(613.1, -104.0, -5.0)	10:52:10.687
Dog	DragMove	(613.1, -121.5, -5.0)	10:52:10.718
Dog	DragMove	(613.1, -129.3, -5.0)	10:52:10.750
Dog	DragMove	(613.1, -128.0, -5.0)	10:52:10.798
Dog	DragEnd	(613.1, -128.0, -5.0)	10:52:10.818
Kid1	FingerDown	(-22.6, 103.9, -5.0)	10:52:11.691
Kid1	DragBegin	(-22.6, 103.9, -5.0)	10:52:11.789
Kid1	DragMove	(-18.9, 106.1, -5.0)	10:52:11.803
Kid1	DragMove	(-18.9, 119.7, -5.0)	10:52:11.843
Kid1	DragMove	(-18.9, 139.1, -5.0)	10:52:11.867
Kid1	DragMove	(-18.9, 145.0, -5.0)	10:52:11.894
Kid1	DragMove	(-18.9, 146.9, -5.0)	10:52:11.918
Kid1	DragMove	(-18.9, 145.0, -5.0)	10:52:11.995
Kid1	DragMove	(-18.9, 139.2, -5.0)	10:52:12.18
Kid1	DragMove	(-18.9, 135.3, -5.0)	10:52:12.43
Kid1	DragMove	(-18.9, 132.7, -5.0)	10:52:12.55
Kid1	DragMove	(-18.9, 131.5, -5.0)	10:52:12.88
Kid1	DragMove	(-20.2, 137.3, -5.0)	10:52:12.159
Kid1	DragMove	(-20.2, 148.9, -5.0)	10:52:12.186
Kid1	DragMove	(-20.2, 152.8, -5.0)	10:52:12.202
Kid1	DragMove	(-20.2, 156.7, -5.0)	10:52:12.219
Kid1	DragMove	(-20.2, 158.7, -5.0)	10:52:12.235
Kid1	DragMove	(-20.2, 156.8, -5.0)	10:52:12.334
