Object	Action	Position	Time
Alien1	FingerDown	(202.1, 224.2, -3.0)	14:28:38.27
Alien1	DragBegin	(202.1, 224.2, -3.0)	14:28:38.280
Alien1	DragMove	(215.8, 233.2, -3.0)	14:28:38.295
Alien1	DragMove	(211.9, 248.7, -3.0)	14:28:38.339
Alien1	DragMove	(211.9, 252.6, -3.0)	14:28:38.358
Alien1	DragMove	(210.0, 254.5, -3.0)	14:28:38.384
Alien1	DragMove	(208.7, 254.5, -3.0)	14:28:38.395
Alien1	DragMove	(208.7, 256.5, -3.0)	14:28:38.427
Alien1	DragMove	(206.8, 256.5, -3.0)	14:28:38.491
Alien1	DragMove	(206.8, 255.2, -3.0)	14:28:38.519
Alien1	DragMove	(206.8, 253.3, -3.0)	14:28:38.536
Alien1	DragMove	(206.8, 249.4, -3.0)	14:28:38.547
Alien1	DragMove	(206.8, 245.6, -3.0)	14:28:38.564
Alien1	DragMove	(206.8, 241.7, -3.0)	14:28:38.579
Alien1	DragMove	(206.8, 239.7, -3.0)	14:28:38.595
Alien1	DragMove	(206.8, 235.8, -3.0)	14:28:38.611
Alien1	DragMove	(204.8, 226.1, -3.0)	14:28:38.656
Alien1	DragMove	(204.8, 224.2, -3.0)	14:28:38.679
Alien1	DragMove	(204.8, 221.6, -3.0)	14:28:38.696
Alien1	DragMove	(204.8, 219.6, -3.0)	14:28:38.711
Alien1	DragMove	(204.8, 217.7, -3.0)	14:28:38.731
Alien1	DragMove	(195.1, 217.7, -3.0)	14:28:38.975
Alien1	DragMove	(189.3, 217.7, -3.0)	14:28:38.999
Alien1	DragMove	(185.4, 217.7, -3.0)	14:28:39.15
Alien1	DragMove	(179.6, 215.8, -3.0)	14:28:39.31
Alien1	DragMove	(173.7, 215.8, -3.0)	14:28:39.47
Alien1	DragMove	(167.9, 213.8, -3.0)	14:28:39.64
Alien1	DragMove	(161.4, 213.8, -3.0)	14:28:39.79
Alien1	DragMove	(159.5, 211.9, -3.0)	14:28:39.95
Alien1	DragMove	(149.9, 211.9, -3.0)	14:28:39.143
Alien1	DragMove	(147.9, 209.9, -3.0)	14:28:39.168
Alien1	DragMove	(146.0, 209.9, -3.0)	14:28:39.183
Alien1	DragMove	(144.0, 209.9, -3.0)	14:28:39.200
Alien1	DragMove	(141.4, 209.9, -3.0)	14:28:39.215
Alien1	DragMove	(139.6, 209.9, -3.0)	14:28:39.232
Alien1	DragMove	(137.0, 209.9, -3.0)	14:28:39.248
Alien1	DragMove	(125.3, 208.0, -3.0)	14:28:39.291
Alien1	DragMove	(123.4, 208.0, -3.0)	14:28:39.320
Alien1	DragMove	(119.5, 208.0, -3.0)	14:28:39.331
Alien1	DragMove	(116.9, 206.7, -3.0)	14:28:39.347
Alien1	DragMove	(115.0, 206.7, -3.0)	14:28:39.362
Alien1	DragMove	(113.0, 206.7, -3.0)	14:28:39.379
Alien1	DragMove	(113.0, 204.8, -3.0)	14:28:39.443
Alien1	DragMove	(113.0, 203.5, -3.0)	14:28:39.463
Alien1	DragMove	(113.0, 202.2, -3.0)	14:28:39.515
Alien1	DragMove	(114.9, 202.2, -3.0)	14:28:39.732
Alien1	DragMove	(118.8, 202.2, -3.0)	14:28:39.746
Alien1	DragMove	(120.7, 204.1, -3.0)	14:28:39.767
Alien1	DragMove	(124.6, 206.1, -3.0)	14:28:39.784
Alien1	DragMove	(128.5, 208.0, -3.0)	14:28:39.799
Alien1	DragMove	(130.4, 209.9, -3.0)	14:28:39.815
Alien1	DragMove	(134.3, 211.9, -3.0)	14:28:39.831
Alien1	DragMove	(136.3, 213.8, -3.0)	14:28:39.847
Alien1	DragMove	(137.6, 216.4, -3.0)	14:28:39.867
Alien1	DragMove	(139.5, 222.2, -3.0)	14:28:39.911
Alien1	DragMove	(139.5, 224.2, -3.0)	14:28:39.931
Alien1	DragMove	(139.5, 226.1, -3.0)	14:28:39.948
Alien1	DragMove	(139.5, 228.1, -3.0)	14:28:39.967
Alien1	DragMove	(139.5, 233.7, -3.0)	14:28:39.999
Alien1	DragMove	(139.5, 237.5, -3.0)	14:28:40.15
Alien1	DragMove	(139.5, 241.4, -3.0)	14:28:40.31
Alien1	DragMove	(139.5, 253.1, -3.0)	14:28:40.75
Alien1	DragMove	(139.5, 255.7, -3.0)	14:28:40.104
Alien1	DragMove	(139.5, 257.5, -3.0)	14:28:40.114
Alien1	DragMove	(137.6, 259.5, -3.0)	14:28:40.131
Alien1	DragMove	(136.3, 260.8, -3.0)	14:28:40.151
Alien1	DragMove	(134.3, 260.8, -3.0)	14:28:40.167
Alien1	DragMove	(133.0, 262.1, -3.0)	14:28:40.183
Alien1	DragMove	(128.6, 265.8, -3.0)	14:28:40.226
Alien1	DragMove	(126.7, 265.8, -3.0)	14:28:40.267
Alien1	DragMove	(123.0, 267.6, -3.0)	14:28:40.298
Alien1	DragMove	(124.8, 267.6, -3.0)	14:28:40.535
Alien1	DragMove	(127.4, 268.9, -3.0)	14:28:40.551
Alien1	DragMove	(131.3, 270.9, -3.0)	14:28:40.568
Alien1	DragMove	(135.2, 272.8, -3.0)	14:28:40.583
Alien1	DragMove	(141.0, 272.8, -3.0)	14:28:40.599
Alien1	DragMove	(144.9, 274.8, -3.0)	14:28:40.614
Alien1	DragMove	(150.7, 276.7, -3.0)	14:28:40.631
Alien1	DragMove	(154.6, 276.7, -3.0)	14:28:40.651
Alien1	DragMove	(160.5, 276.7, -3.0)	14:28:40.667
Alien1	DragMove	(166.3, 278.7, -3.0)	14:28:40.683
Alien1	DragMove	(172.1, 280.6, -3.0)	14:28:40.699
Alien1	DragMove	(176.0, 280.6, -3.0)	14:28:40.714
Alien1	DragMove	(181.2, 281.9, -3.0)	14:28:40.735
Alien1	DragMove	(187.0, 281.9, -3.0)	14:28:40.751
Alien1	DragMove	(190.9, 281.9, -3.0)	14:28:40.767
Alien1	DragMove	(193.5, 283.2, -3.0)	14:28:40.783
Alien1	DragMove	(195.3, 283.2, -3.0)	14:28:40.798
Alien1	DragMove	(197.3, 283.2, -3.0)	14:28:40.815
Alien1	DragMove	(201.0, 285.1, -3.0)	14:28:40.863
Alien1	DragMove	(202.3, 285.1, -3.0)	14:28:40.898
Alien1	DragMove	(204.2, 285.1, -3.0)	14:28:40.934
Alien1	DragMove	(205.5, 285.1, -3.0)	14:28:40.950
Alien1	DragMove	(209.2, 286.4, -3.0)	14:28:41.10
Alien1	DragMove	(210.5, 286.4, -3.0)	14:28:41.68
Alien1	DragMove	(210.5, 284.5, -3.0)	14:28:41.219
Alien1	DragMove	(210.5, 281.9, -3.0)	14:28:41.235
Alien1	DragMove	(210.5, 280.0, -3.0)	14:28:41.252
Alien1	DragMove	(209.2, 276.1, -3.0)	14:28:41.266
Alien1	DragMove	(209.2, 270.3, -3.0)	14:28:41.289
Alien1	DragMove	(209.2, 252.8, -3.0)	14:28:41.327
Alien1	DragMove	(209.2, 245.1, -3.0)	14:28:41.356
Alien1	DragMove	(209.2, 241.2, -3.0)	14:28:41.366
Alien1	DragMove	(209.2, 237.3, -3.0)	14:28:41.383
Alien1	DragMove	(209.2, 235.4, -3.0)	14:28:41.403
Alien1	DragMove	(209.2, 233.5, -3.0)	14:28:41.419
Alien1	DragMove	(209.2, 230.9, -3.0)	14:28:41.436
Alien1	DragMove	(209.2, 227.0, -3.0)	14:28:41.451
Alien1	DragMove	(209.2, 225.7, -3.0)	14:28:41.468
Alien1	DragEnd	(209.2, 225.7, -3.0)	14:28:41.752
