Object	Action	Position	Time
Kid1	FingerDown	(230.9, 150.3, -5.0)	11:05:41.23
Kid1	DragBegin	(230.9, 150.3, -5.0)	11:05:41.602
Kid1	DragMove	(201.5, 133.1, -5.0)	11:05:41.622
Kid1	DragMove	(189.8, 135.0, -5.0)	11:05:41.654
Kid1	DragMove	(178.2, 137.0, -5.0)	11:05:41.686
Kid1	DragMove	(170.4, 137.0, -5.0)	11:05:41.702
Kid1	DragMove	(158.8, 137.0, -5.0)	11:05:41.742
Kid1	DragMove	(149.0, 137.0, -5.0)	11:05:41.769
Kid1	DragMove	(145.2, 137.0, -5.0)	11:05:41.786
Kid1	DragMove	(132.2, 135.0, -5.0)	11:05:41.818
Kid1	DragMove	(124.4, 129.2, -5.0)	11:05:41.839
Kid1	DragMove	(114.7, 121.4, -5.0)	11:05:41.859
Kid1	DragMove	(97.2, 107.8, -5.0)	11:05:41.890
Kid1	DragMove	(89.5, 102.0, -5.0)	11:05:41.902
Kid1	DragMove	(83.6, 96.2, -5.0)	11:05:41.922
Kid1	DragMove	(77.8, 90.3, -5.0)	11:05:41.938
Kid1	DragMove	(64.9, 74.8, -5.0)	11:05:41.970
Kid1	DragMove	(61.1, 69.2, -5.0)	11:05:41.986
Kid1	DragMove	(52.1, 60.2, -5.0)	11:05:42.6
Kid1	DragMove	(34.6, 36.8, -5.0)	11:05:42.42
Kid1	DragMove	(21.0, 19.4, -5.0)	11:05:42.70
Kid1	DragMove	(15.2, 9.6, -5.0)	11:05:42.86
Kid1	DragMove	(9.3, -0.1, -5.0)	11:05:42.106
Kid1	DragMove	(5.4, -9.8, -5.0)	11:05:42.138
Kid1	DragMove	(5.4, -13.7, -5.0)	11:05:42.164
Kid1	DragMove	(5.4, -17.6, -5.0)	11:05:42.170
Kid1	DragMove	(2.9, -17.6, -5.0)	11:05:42.407
Kid1	DragMove	(-3.0, -17.6, -5.0)	11:05:42.423
Kid1	DragMove	(-30.2, -19.5, -5.0)	11:05:42.454
Kid1	DragMove	(-45.7, -21.4, -5.0)	11:05:42.479
Kid1	DragMove	(-59.3, -25.3, -5.0)	11:05:42.490
Kid1	DragMove	(-77.4, -34.4, -5.0)	11:05:42.526
Kid1	DragMove	(-93.0, -48.0, -5.0)	11:05:42.554
Kid1	DragMove	(-98.8, -53.8, -5.0)	11:05:42.574
Kid1	DragMove	(-112.4, -65.5, -5.0)	11:05:42.606
Kid1	DragMove	(-118.2, -71.3, -5.0)	11:05:42.632
Kid1	DragMove	(-122.1, -75.2, -5.0)	11:05:42.638
Kid1	DragMove	(-126.0, -77.1, -5.0)	11:05:42.654
Kid1	DragMove	(-133.8, -81.0, -5.0)	11:05:42.694
Kid1	DragMove	(-140.3, -84.3, -5.0)	11:05:42.722
Kid1	DragMove	(-142.8, -85.5, -5.0)	11:05:42.738
Kid1	DragMove	(-147.3, -85.5, -5.0)	11:05:42.770
Kid1	DragMove	(-149.2, -85.5, -5.0)	11:05:42.794
Kid1	DragMove	(-151.1, -85.5, -5.0)	11:05:42.806
Kid1	DragMove	(-155.6, -85.5, -5.0)	11:05:42.842
Kid1	DragMove	(-156.9, -81.1, -5.0)	11:05:42.874
Kid1	DragMove	(-156.9, -77.2, -5.0)	11:05:42.890
