Object	Action	Position	Time
Turtle	FingerDown	(18.4, -42.7, -4.0)	17:30:28.977
Turtle	DragBegin	(18.4, -42.7, -4.0)	17:30:29.561
Turtle	DragMove	(36.5, -67.5, -4.0)	17:30:29.577
Turtle	DragMove	(40.4, -79.2, -4.0)	17:30:29.594
Turtle	DragMove	(46.2, -85.0, -4.0)	17:30:29.611
Turtle	DragMove	(50.1, -92.8, -4.0)	17:30:29.627
Turtle	DragMove	(55.9, -96.6, -4.0)	17:30:29.644
Turtle	DragMove	(59.8, -100.5, -4.0)	17:30:29.661
Turtle	DragMove	(65.6, -102.5, -4.0)	17:30:29.677
Turtle	DragMove	(69.5, -102.5, -4.0)	17:30:29.694
Turtle	DragMove	(73.4, -104.4, -4.0)	17:30:29.710
Turtle	DragMove	(79.9, -105.7, -4.0)	17:30:29.744
Turtle	DragMove	(82.5, -107.0, -4.0)	17:30:29.775
Turtle	DragMove	(86.2, -107.0, -4.0)	17:30:29.809
Turtle	DragMove	(86.2, -105.1, -4.0)	17:30:29.828
Turtle	DragMove	(86.2, -103.2, -4.0)	17:30:29.845
Turtle	DragMove	(86.2, -93.5, -4.0)	17:30:29.861
Turtle	DragMove	(86.2, -85.7, -4.0)	17:30:29.878
Turtle	DragMove	(86.2, -79.9, -4.0)	17:30:29.894
Turtle	DragMove	(86.2, -74.1, -4.0)	17:30:29.911
Turtle	DragMove	(86.2, -72.1, -4.0)	17:30:29.928
Turtle	DragMove	(88.1, -70.3, -4.0)	17:30:29.978
Turtle	DragMove	(91.9, -70.3, -4.0)	17:30:29.995
Turtle	DragMove	(95.8, -71.6, -4.0)	17:30:30.12
Turtle	DragMove	(97.7, -73.4, -4.0)	17:30:30.28
Turtle	DragMove	(101.6, -77.3, -4.0)	17:30:30.45
Turtle	DragMove	(105.5, -83.1, -4.0)	17:30:30.62
Turtle	DragMove	(109.4, -90.9, -4.0)	17:30:30.78
Turtle	DragMove	(111.3, -94.8, -4.0)	17:30:30.95
Turtle	DragMove	(115.2, -100.6, -4.0)	17:30:30.111
