Object	Action	Position	Time
Penguin2	FingerDown	(258.2, -135.1, -4.0)	15:55:14.853
Penguin2	DragBegin	(258.2, -135.1, -4.0)	15:55:15.624
Penguin2	DragMove	(254.8, -127.6, -4.0)	15:55:15.639
Penguin2	DragMove	(253.4, -126.2, -4.0)	15:55:15.649
Penguin2	DragMove	(251.4, -126.2, -4.0)	15:55:15.666
Penguin2	DragMove	(250.0, -123.5, -4.0)	15:55:15.682
Penguin2	DragMove	(245.9, -117.2, -4.0)	15:55:15.733
Penguin2	DragMove	(243.8, -115.1, -4.0)	15:55:15.759
Penguin2	DragMove	(242.4, -112.3, -4.0)	15:55:15.775
Penguin2	DragMove	(242.4, -110.3, -4.0)	15:55:15.792
Penguin2	DragMove	(240.3, -106.1, -4.0)	15:55:15.809
Penguin2	DragMove	(238.9, -103.3, -4.0)	15:55:15.825
Penguin2	DragMove	(236.9, -101.3, -4.0)	15:55:15.841
Penguin2	DragMove	(232.0, -93.6, -4.0)	15:55:15.883
Penguin2	DragMove	(230.6, -90.8, -4.0)	15:55:15.920
Penguin2	DragMove	(227.8, -88.0, -4.0)	15:55:15.933
Penguin2	DragMove	(225.7, -86.0, -4.0)	15:55:15.950
Penguin2	DragMove	(221.5, -83.9, -4.0)	15:55:15.966
Penguin2	DragMove	(217.3, -81.8, -4.0)	15:55:15.988
Penguin2	DragMove	(204.8, -77.6, -4.0)	15:55:16.42
Penguin2	DragMove	(200.6, -77.6, -4.0)	15:55:16.60
Penguin2	DragMove	(194.3, -75.5, -4.0)	15:55:16.76
Penguin2	DragMove	(190.1, -74.1, -4.0)	15:55:16.85
Penguin2	DragMove	(186.1, -74.1, -4.0)	15:55:16.102
Penguin2	DragMove	(177.7, -74.1, -4.0)	15:55:16.119
Penguin2	DragMove	(171.5, -74.1, -4.0)	15:55:16.135
Penguin2	DragMove	(163.1, -72.0, -4.0)	15:55:16.152
Penguin2	DragMove	(150.5, -72.0, -4.0)	15:55:16.197
Penguin2	DragMove	(146.4, -72.0, -4.0)	15:55:16.214
Penguin2	DragMove	(142.2, -72.0, -4.0)	15:55:16.231
Penguin2	DragMove	(138.0, -72.0, -4.0)	15:55:16.247
Penguin2	DragMove	(131.7, -72.0, -4.0)	15:55:16.269
Penguin2	DragMove	(128.9, -72.0, -4.0)	15:55:16.288
Penguin2	DragMove	(126.9, -72.0, -4.0)	15:55:16.305
Penguin2	DragMove	(119.9, -75.5, -4.0)	15:55:16.350
Penguin2	DragMove	(117.8, -77.6, -4.0)	15:55:16.367
Penguin2	DragMove	(115.7, -77.6, -4.0)	15:55:16.388
Penguin2	DragMove	(113.6, -79.7, -4.0)	15:55:16.405
Penguin2	DragMove	(111.6, -81.8, -4.0)	15:55:16.417
Penguin2	DragMove	(109.5, -83.9, -4.0)	15:55:16.434
Penguin2	DragMove	(106.7, -86.7, -4.0)	15:55:16.450
Penguin2	DragMove	(104.6, -88.8, -4.0)	15:55:16.470
Penguin2	DragMove	(102.5, -92.8, -4.0)	15:55:16.510
Penguin2	DragMove	(99.7, -97.0, -4.0)	15:55:16.527
Penguin2	DragMove	(96.9, -102.6, -4.0)	15:55:16.544
Penguin2	DragMove	(94.9, -104.6, -4.0)	15:55:16.560
Penguin2	DragMove	(92.8, -108.8, -4.0)	15:55:16.569
Penguin2	DragMove	(92.8, -113.0, -4.0)	15:55:16.588
Penguin2	DragMove	(90.7, -115.1, -4.0)	15:55:16.605
Penguin2	DragMove	(90.7, -119.3, -4.0)	15:55:16.622
Penguin2	DragMove	(88.6, -127.6, -4.0)	15:55:16.666
Penguin2	DragMove	(86.5, -129.7, -4.0)	15:55:16.699
Penguin2	DragMove	(86.5, -135.1, -4.0)	15:55:16.737
