Object	Action	Position	Time
Dino2	FingerDown	(-174.9, -234.8, -4.0)	15:08:50.310
Dino2	DragBegin	(-174.9, -234.8, -4.0)	15:08:50.615
Dino2	DragMove	(-177.9, -226.5, -4.0)	15:08:50.629
Dino2	DragMove	(-175.3, -212.2, -4.0)	15:08:50.658
Dino2	DragMove	(-175.3, -204.5, -4.0)	15:08:50.682
Dino2	DragMove	(-175.3, -200.6, -4.0)	15:08:50.693
Dino2	DragMove	(-171.4, -185.0, -4.0)	15:08:50.754
Dino2	DragMove	(-169.4, -181.1, -4.0)	15:08:50.780
Dino2	DragMove	(-169.4, -177.3, -4.0)	15:08:50.792
Dino2	DragMove	(-167.5, -173.4, -4.0)	15:08:50.813
Dino2	DragMove	(-167.5, -169.5, -4.0)	15:08:50.829
Dino2	DragMove	(-167.5, -166.9, -4.0)	15:08:50.845
Dino2	DragMove	(-163.6, -159.1, -4.0)	15:08:50.897
Dino2	DragMove	(-163.6, -157.2, -4.0)	15:08:50.917
Dino2	DragMove	(-161.7, -155.2, -4.0)	15:08:50.934
Dino2	DragMove	(-161.7, -154.0, -4.0)	15:08:50.961
Dino2	DragMove	(-159.7, -154.0, -4.0)	15:08:51.54
Dino2	DragMove	(-157.9, -154.0, -4.0)	15:08:51.82
Dino2	DragMove	(-157.9, -156.5, -4.0)	15:08:51.97
Dino2	DragMove	(-156.0, -156.5, -4.0)	15:08:51.114
Dino2	DragMove	(-154.7, -159.1, -4.0)	15:08:51.129
Dino2	DragMove	(-154.7, -161.0, -4.0)	15:08:51.146
Dino2	DragMove	(-152.8, -162.9, -4.0)	15:08:51.161
Dino2	DragMove	(-149.6, -171.9, -4.0)	15:08:51.222
Dino2	DragMove	(-147.7, -173.9, -4.0)	15:08:51.248
Dino2	DragMove	(-145.7, -177.7, -4.0)	15:08:51.265
Dino2	DragMove	(-145.7, -179.7, -4.0)	15:08:51.281
Dino2	DragMove	(-145.7, -181.6, -4.0)	15:08:51.298
Dino2	DragMove	(-145.7, -183.6, -4.0)	15:08:51.313
Dino2	DragMove	(-143.8, -185.5, -4.0)	15:08:51.869
Dino2	DragMove	(-141.9, -185.5, -4.0)	15:08:51.881
Dino2	DragMove	(-138.0, -187.5, -4.0)	15:08:51.898
Dino2	DragMove	(-135.4, -190.1, -4.0)	15:08:51.913
Dino2	DragMove	(-133.6, -190.1, -4.0)	15:08:51.929
Dino2	DragMove	(-129.7, -192.0, -4.0)	15:08:51.950
Dino2	DragMove	(-119.3, -198.5, -4.0)	15:08:52.6
Dino2	DragMove	(-117.4, -200.4, -4.0)	15:08:52.32
Dino2	DragMove	(-115.5, -202.4, -4.0)	15:08:52.50
Dino2	DragMove	(-113.5, -202.4, -4.0)	15:08:52.65
Dino2	DragMove	(-111.6, -204.3, -4.0)	15:08:52.82
Dino2	DragMove	(-107.7, -206.2, -4.0)	15:08:52.97
Dino2	DragMove	(-105.7, -206.2, -4.0)	15:08:52.114
Dino2	DragMove	(-91.8, -206.2, -4.0)	15:08:52.173
Dino2	DragMove	(-87.9, -206.2, -4.0)	15:08:52.196
Dino2	DragMove	(-86.0, -206.2, -4.0)	15:08:52.213
Dino2	DragMove	(-84.0, -206.2, -4.0)	15:08:52.229
Dino2	DragMove	(-81.5, -206.2, -4.0)	15:08:52.245
Dino2	DragMove	(-79.6, -206.2, -4.0)	15:08:52.265
Dino2	DragMove	(-73.1, -199.2, -4.0)	15:08:52.314
Dino2	DragMove	(-70.5, -196.6, -4.0)	15:08:52.337
Dino2	DragMove	(-68.6, -194.7, -4.0)	15:08:52.348
Dino2	DragMove	(-66.6, -192.7, -4.0)	15:08:52.365
Dino2	DragMove	(-66.6, -188.8, -4.0)	15:08:52.380
Dino2	DragMove	(-65.3, -187.5, -4.0)	15:08:52.397
Dino2	DragMove	(-63.5, -187.5, -4.0)	15:08:52.413
Dino2	DragMove	(-62.2, -187.5, -4.0)	15:08:52.429
Dino2	DragMove	(-59.0, -185.6, -4.0)	15:08:52.491
Dino2	DragMove	(-57.7, -185.6, -4.0)	15:08:52.518
Dino2	DragMove	(-57.7, -186.9, -4.0)	15:08:52.549
Dino2	DragMove	(-57.7, -188.8, -4.0)	15:08:52.564
Dino2	DragMove	(-57.7, -192.6, -4.0)	15:08:52.581
Dino2	DragMove	(-55.8, -208.2, -4.0)	15:08:52.641
Dino2	DragMove	(-55.8, -212.1, -4.0)	15:08:52.664
Dino2	DragMove	(-55.8, -216.0, -4.0)	15:08:52.681
Dino2	DragMove	(-53.9, -216.0, -4.0)	15:08:52.696
Dino2	DragMove	(-53.9, -218.5, -4.0)	15:08:52.713
Dino2	DragMove	(-52.6, -218.5, -4.0)	15:08:52.733
Dino2	DragMove	(-52.6, -220.4, -4.0)	15:08:52.791
Dino2	DragMove	(-50.6, -220.4, -4.0)	15:08:52.808
Dino2	DragMove	(-49.3, -220.4, -4.0)	15:08:52.838
Dino2	DragMove	(-49.3, -218.5, -4.0)	15:08:52.849
Dino2	DragMove	(-46.7, -213.3, -4.0)	15:08:52.865
Dino2	DragMove	(-44.8, -209.4, -4.0)	15:08:52.881
Dino2	DragMove	(-40.9, -205.5, -4.0)	15:08:52.901
Dino2	DragMove	(-35.7, -194.6, -4.0)	15:08:52.957
Dino2	DragMove	(-33.8, -194.6, -4.0)	15:08:52.981
Dino2	DragMove	(-33.8, -192.6, -4.0)	15:08:53.1
Dino2	DragMove	(-31.8, -192.6, -4.0)	15:08:53.32
Dino2	DragMove	(-30.5, -192.6, -4.0)	15:08:53.65
Dino2	DragMove	(-27.3, -198.4, -4.0)	15:08:53.124
Dino2	DragMove	(-27.3, -201.0, -4.0)	15:08:53.154
Dino2	DragMove	(-27.3, -202.8, -4.0)	15:08:53.164
Dino2	DragMove	(-25.4, -204.8, -4.0)	15:08:53.181
Dino2	DragMove	(-23.4, -208.7, -4.0)	15:08:53.201
Dino2	DragMove	(-22.1, -212.6, -4.0)	15:08:53.217
Dino2	DragMove	(-18.2, -222.3, -4.0)	15:08:53.269
Dino2	DragMove	(-16.3, -224.2, -4.0)	15:08:53.288
Dino2	DragMove	(-14.4, -228.1, -4.0)	15:08:53.306
Dino2	DragMove	(-12.4, -230.0, -4.0)	15:08:53.317
Dino2	DragMove	(-10.5, -232.0, -4.0)	15:08:53.334
Dino2	DragMove	(-8.5, -233.9, -4.0)	15:08:53.348
Dino2	DragMove	(-7.2, -233.9, -4.0)	15:08:53.385
Dino2	DragMove	(-5.4, -233.9, -4.0)	15:08:53.442
Dino2	DragMove	(-4.1, -231.3, -4.0)	15:08:53.444
Dino2	DragMove	(-4.1, -227.4, -4.0)	15:08:53.468
Dino2	DragMove	(-2.1, -225.5, -4.0)	15:08:53.485
Dino2	DragMove	(-0.2, -223.6, -4.0)	15:08:53.501
Dino2	DragMove	(1.8, -223.6, -4.0)	15:08:53.518
Dino2	DragMove	(4.3, -222.3, -4.0)	15:08:53.533
Dino2	DragMove	(4.3, -220.4, -4.0)	15:08:53.549
