Object	Action	Position	Time
Alien3	FingerDown	(276.8, 90.6, -3.0)	14:30:21.865
Alien3	DragBegin	(276.8, 90.6, -3.0)	14:30:22.429
Alien3	DragMove	(262.1, 100.0, -3.0)	14:30:22.456
Alien3	DragMove	(254.3, 100.0, -3.0)	14:30:22.476
Alien3	DragMove	(249.2, 100.0, -3.0)	14:30:22.501
Alien3	DragMove	(245.3, 100.0, -3.0)	14:30:22.517
Alien3	DragMove	(241.4, 100.0, -3.0)	14:30:22.533
Alien3	DragMove	(235.6, 100.0, -3.0)	14:30:22.548
Alien3	DragMove	(227.8, 103.9, -3.0)	14:30:22.593
Alien3	DragMove	(227.8, 107.8, -3.0)	14:30:22.616
Alien3	DragMove	(225.9, 111.7, -3.0)	14:30:22.633
Alien3	DragMove	(225.9, 115.6, -3.0)	14:30:22.648
Alien3	DragMove	(225.9, 119.4, -3.0)	14:30:22.665
Alien3	DragMove	(225.9, 123.3, -3.0)	14:30:22.684
Alien3	DragMove	(227.7, 127.8, -3.0)	14:30:22.744
Alien3	DragMove	(231.6, 127.8, -3.0)	14:30:22.764
Alien3	DragMove	(235.5, 127.8, -3.0)	14:30:22.785
Alien3	DragMove	(239.4, 127.8, -3.0)	14:30:22.801
Alien3	DragMove	(243.3, 127.8, -3.0)	14:30:22.817
Alien3	DragMove	(245.2, 127.8, -3.0)	14:30:22.832
Alien3	DragMove	(247.1, 127.8, -3.0)	14:30:22.849
Alien3	DragMove	(251.0, 125.8, -3.0)	14:30:22.865
Alien3	DragMove	(257.4, 121.3, -3.0)	14:30:22.901
Alien3	DragMove	(259.4, 117.4, -3.0)	14:30:22.917
Alien3	DragMove	(260.7, 114.8, -3.0)	14:30:22.932
Alien3	DragMove	(260.7, 113.0, -3.0)	14:30:22.948
Alien3	DragMove	(260.7, 109.1, -3.0)	14:30:22.968
Alien3	DragMove	(262.6, 107.1, -3.0)	14:30:22.984
Alien3	DragMove	(262.6, 104.5, -3.0)	14:30:23.1
Alien3	DragMove	(262.6, 102.7, -3.0)	14:30:23.16
Alien3	DragMove	(264.5, 96.3, -3.0)	14:30:23.60
Alien3	DragMove	(264.5, 92.6, -3.0)	14:30:23.84
Alien3	DragMove	(264.5, 91.3, -3.0)	14:30:23.116
Alien3	DragMove	(264.5, 89.3, -3.0)	14:30:23.137
Alien3	DragMove	(264.5, 88.0, -3.0)	14:30:23.168
Alien3	DragMove	(263.3, 88.0, -3.0)	14:30:23.200
Alien3	DragMove	(259.4, 88.0, -3.0)	14:30:23.217
Alien3	DragMove	(255.5, 88.0, -3.0)	14:30:23.232
Alien3	DragMove	(249.7, 88.0, -3.0)	14:30:23.253
Alien3	DragMove	(245.8, 90.6, -3.0)	14:30:23.268
Alien3	DragMove	(241.9, 92.6, -3.0)	14:30:23.285
Alien3	DragMove	(239.9, 92.6, -3.0)	14:30:23.300
Alien3	DragMove	(238.0, 94.5, -3.0)	14:30:23.317
Alien3	DragMove	(239.9, 94.5, -3.0)	14:30:23.417
Alien3	DragMove	(241.7, 94.5, -3.0)	14:30:23.436
Alien3	DragMove	(245.6, 94.5, -3.0)	14:30:23.452
Alien3	DragMove	(249.5, 94.5, -3.0)	14:30:23.469
Alien3	DragMove	(253.4, 94.5, -3.0)	14:30:23.484
Alien3	DragMove	(263.1, 93.2, -3.0)	14:30:23.528
Alien3	DragMove	(265.0, 91.4, -3.0)	14:30:23.548
Alien3	DragMove	(267.5, 91.4, -3.0)	14:30:23.573
Alien3	DragMove	(269.4, 91.4, -3.0)	14:30:23.584
Alien3	DragMove	(271.3, 89.4, -3.0)	14:30:23.601
Alien3	DragMove	(273.3, 89.4, -3.0)	14:30:23.616
Alien3	DragMove	(274.6, 89.4, -3.0)	14:30:23.636
Alien3	DragEnd	(274.6, 89.4, -3.0)	14:30:23.868
Alien3	FingerDown	(274.6, 89.4, -3.0)	14:30:24.318
Alien3	DragBegin	(274.6, 89.4, -3.0)	14:30:24.465
Alien3	DragMove	(274.6, 123.0, -3.0)	14:30:24.484
Alien3	DragMove	(274.6, 126.9, -3.0)	14:30:24.509
Alien3	DragMove	(274.6, 130.8, -3.0)	14:30:24.520
Alien3	DragMove	(274.6, 132.7, -3.0)	14:30:24.537
Alien3	DragMove	(274.6, 119.1, -3.0)	14:30:24.632
Alien3	DragMove	(274.6, 113.3, -3.0)	14:30:24.652
Alien3	DragMove	(274.6, 109.4, -3.0)	14:30:24.668
Alien3	DragMove	(274.6, 108.1, -3.0)	14:30:24.704
Alien3	DragMove	(274.6, 110.0, -3.0)	14:30:24.752
Alien3	DragMove	(274.6, 124.7, -3.0)	14:30:24.796
Alien3	DragMove	(274.6, 128.6, -3.0)	14:30:24.825
Alien3	DragMove	(274.6, 131.2, -3.0)	14:30:24.836
Alien3	DragMove	(274.6, 129.3, -3.0)	14:30:24.952
Alien3	DragMove	(274.6, 125.4, -3.0)	14:30:24.972
Alien3	DragMove	(274.6, 121.5, -3.0)	14:30:24.988
Alien3	DragMove	(274.6, 115.7, -3.0)	14:30:25.5
Alien3	DragMove	(274.6, 111.8, -3.0)	14:30:25.20
Alien3	DragMove	(274.6, 106.0, -3.0)	14:30:25.36
Alien3	DragMove	(274.6, 102.1, -3.0)	14:30:25.52
Alien3	DragMove	(274.6, 98.2, -3.0)	14:30:25.73
Alien3	DragMove	(274.6, 86.6, -3.0)	14:30:25.116
Alien3	DragMove	(274.6, 84.0, -3.0)	14:30:25.144
Alien3	DragMove	(274.6, 81.4, -3.0)	14:30:25.172
Alien3	DragMove	(274.6, 78.8, -3.0)	14:30:25.189
Alien3	DragMove	(274.6, 76.9, -3.0)	14:30:25.204
Alien3	DragMove	(274.6, 73.1, -3.0)	14:30:25.237
Alien3	DragMove	(274.6, 71.3, -3.0)	14:30:25.357
Alien3	DragEnd	(274.6, 71.3, -3.0)	14:30:25.432
Alien2	FingerDown	(76.4, 149.2, -3.0)	14:30:26.707
Alien2	DragBegin	(76.4, 149.2, -3.0)	14:30:26.857
Alien2	DragMove	(67.9, 169.2, -3.0)	14:30:26.889
Alien2	DragMove	(69.8, 177.0, -3.0)	14:30:26.913
Alien2	DragMove	(69.8, 182.8, -3.0)	14:30:26.924
Alien2	DragMove	(69.8, 186.7, -3.0)	14:30:26.941
Alien2	DragMove	(71.7, 186.7, -3.0)	14:30:27.72
Alien2	DragMove	(71.7, 184.8, -3.0)	14:30:27.92
Alien2	DragMove	(73.6, 178.9, -3.0)	14:30:27.108
Alien2	DragMove	(73.6, 173.1, -3.0)	14:30:27.125
Alien2	DragMove	(73.6, 165.3, -3.0)	14:30:27.140
Alien2	DragMove	(73.6, 144.0, -3.0)	14:30:27.185
Alien2	DragMove	(73.6, 138.1, -3.0)	14:30:27.208
Alien2	DragMove	(73.6, 133.0, -3.0)	14:30:27.225
Alien2	DragMove	(75.5, 131.0, -3.0)	14:30:27.240
Alien2	DragMove	(75.5, 129.1, -3.0)	14:30:27.257
Alien2	DragMove	(75.5, 136.2, -3.0)	14:30:27.336
Alien2	DragMove	(75.5, 140.1, -3.0)	14:30:27.356
Alien2	DragMove	(77.5, 145.9, -3.0)	14:30:27.382
Alien2	DragMove	(79.4, 151.7, -3.0)	14:30:27.392
Alien2	DragMove	(80.7, 154.3, -3.0)	14:30:27.409
Alien2	DragMove	(82.7, 154.3, -3.0)	14:30:27.424
Alien2	DragMove	(84.6, 154.3, -3.0)	14:30:27.445
Alien2	DragMove	(89.1, 144.9, -3.0)	14:30:27.488
Alien2	DragMove	(91.1, 139.0, -3.0)	14:30:27.513
Alien2	DragMove	(91.1, 135.2, -3.0)	14:30:27.529
Alien2	DragMove	(91.1, 133.2, -3.0)	14:30:27.544
Alien2	DragMove	(91.1, 135.1, -3.0)	14:30:27.608
Alien2	DragMove	(91.1, 141.5, -3.0)	14:30:27.625
Alien2	DragMove	(91.1, 155.1, -3.0)	14:30:27.644
Alien2	DragMove	(91.1, 164.9, -3.0)	14:30:27.660
Alien2	DragMove	(91.1, 172.6, -3.0)	14:30:27.676
Alien2	DragMove	(91.1, 180.4, -3.0)	14:30:27.693
Alien2	DragMove	(93.0, 186.2, -3.0)	14:30:27.708
Alien2	DragMove	(94.3, 190.1, -3.0)	14:30:27.728
Alien2	DragMove	(96.2, 192.0, -3.0)	14:30:27.744
Alien2	DragMove	(97.5, 192.0, -3.0)	14:30:27.761
Alien2	DragMove	(97.5, 190.1, -3.0)	14:30:27.808
Alien2	DragMove	(97.5, 188.3, -3.0)	14:30:27.828
Alien2	DragMove	(97.5, 184.4, -3.0)	14:30:27.845
Alien2	DragMove	(97.5, 178.5, -3.0)	14:30:27.860
Alien2	DragMove	(97.5, 172.7, -3.0)	14:30:27.877
Alien2	DragMove	(97.5, 168.8, -3.0)	14:30:27.892
Alien2	DragMove	(97.5, 165.1, -3.0)	14:30:27.924
Alien2	DragMove	(97.5, 167.0, -3.0)	14:30:27.992
Alien2	DragMove	(97.5, 176.7, -3.0)	14:30:28.9
Alien2	DragMove	(97.5, 190.3, -3.0)	14:30:28.28
Alien2	DragMove	(97.5, 205.8, -3.0)	14:30:28.44
Alien2	DragMove	(97.5, 215.5, -3.0)	14:30:28.60
Alien2	DragMove	(97.5, 227.2, -3.0)	14:30:28.76
Alien2	DragMove	(99.4, 236.9, -3.0)	14:30:28.120
Alien2	DragMove	(99.4, 235.0, -3.0)	14:30:28.176
Alien2	DragMove	(99.4, 231.3, -3.0)	14:30:28.193
Alien2	DragMove	(99.4, 223.5, -3.0)	14:30:28.212
Alien2	DragMove	(98.1, 214.5, -3.0)	14:30:28.228
Alien2	DragMove	(98.1, 189.2, -3.0)	14:30:28.272
Alien2	DragMove	(98.1, 183.4, -3.0)	14:30:28.300
Alien2	DragMove	(96.8, 178.2, -3.0)	14:30:28.308
Alien2	DragMove	(96.8, 176.4, -3.0)	14:30:28.328
Alien2	DragMove	(94.9, 172.5, -3.0)	14:30:28.345
Alien2	DragMove	(93.6, 171.2, -3.0)	14:30:28.360
Alien2	DragMove	(91.6, 171.2, -3.0)	14:30:28.377
Alien2	DragMove	(89.7, 171.2, -3.0)	14:30:28.392
Alien2	DragMove	(83.9, 182.8, -3.0)	14:30:28.440
Alien2	DragMove	(83.9, 192.5, -3.0)	14:30:28.460
Alien2	DragMove	(83.9, 202.3, -3.0)	14:30:28.477
Alien2	DragMove	(83.9, 212.0, -3.0)	14:30:28.496
Alien2	DragMove	(83.9, 219.7, -3.0)	14:30:28.513
Alien2	DragMove	(83.9, 225.6, -3.0)	14:30:28.529
Alien2	DragMove	(87.8, 227.5, -3.0)	14:30:28.544
Alien2	DragMove	(89.7, 229.5, -3.0)	14:30:28.560
Alien2	DragMove	(93.6, 229.5, -3.0)	14:30:28.576
Alien2	DragMove	(97.5, 229.5, -3.0)	14:30:28.592
Alien2	DragMove	(99.4, 229.5, -3.0)	14:30:28.612
Alien2	DragMove	(101.4, 221.7, -3.0)	14:30:28.629
Alien2	DragMove	(103.3, 217.8, -3.0)	14:30:28.644
Alien2	DragMove	(105.2, 212.0, -3.0)	14:30:28.660
Alien2	DragMove	(105.2, 206.1, -3.0)	14:30:28.676
Alien2	DragMove	(107.2, 200.3, -3.0)	14:30:28.696
Alien2	DragMove	(107.2, 188.7, -3.0)	14:30:28.740
Alien2	DragMove	(107.2, 184.9, -3.0)	14:30:28.768
Alien2	DragMove	(107.2, 183.0, -3.0)	14:30:28.776
Alien2	DragMove	(105.9, 181.7, -3.0)	14:30:28.796
Alien2	DragMove	(104.0, 179.8, -3.0)	14:30:28.813
Alien2	DragMove	(100.1, 177.8, -3.0)	14:30:28.828
Alien2	DragMove	(96.2, 177.8, -3.0)	14:30:28.844
Alien2	DragMove	(92.3, 177.8, -3.0)	14:30:28.860
Alien2	DragMove	(80.6, 181.7, -3.0)	14:30:28.904
Alien2	DragMove	(78.7, 189.5, -3.0)	14:30:28.928
Alien2	DragMove	(76.8, 199.2, -3.0)	14:30:28.945
Alien2	DragMove	(76.8, 205.0, -3.0)	14:30:28.960
Alien2	DragMove	(76.8, 211.5, -3.0)	14:30:28.980
Alien2	DragMove	(76.8, 215.4, -3.0)	14:30:28.996
Alien2	DragMove	(76.8, 217.3, -3.0)	14:30:29.13
Alien2	DragMove	(86.5, 221.2, -3.0)	14:30:29.56
Alien2	DragMove	(89.1, 221.2, -3.0)	14:30:29.76
Alien2	DragMove	(90.9, 219.3, -3.0)	14:30:29.101
Alien2	DragMove	(90.9, 211.6, -3.0)	14:30:29.112
Alien2	DragMove	(92.9, 205.7, -3.0)	14:30:29.128
Alien2	DragMove	(92.9, 196.0, -3.0)	14:30:29.144
Alien2	DragMove	(92.9, 188.3, -3.0)	14:30:29.164
Alien2	DragMove	(92.9, 166.9, -3.0)	14:30:29.208
Alien2	DragMove	(92.9, 163.0, -3.0)	14:30:29.236
Alien2	DragMove	(92.9, 159.1, -3.0)	14:30:29.244
Alien2	DragMove	(91.0, 157.3, -3.0)	14:30:29.313
Alien2	DragMove	(91.0, 161.0, -3.0)	14:30:29.328
Alien2	DragMove	(89.1, 179.1, -3.0)	14:30:29.372
Alien2	DragMove	(89.1, 184.9, -3.0)	14:30:29.396
Alien2	DragMove	(89.1, 190.8, -3.0)	14:30:29.413
Alien2	DragMove	(89.1, 194.7, -3.0)	14:30:29.428
Alien2	DragMove	(89.1, 198.5, -3.0)	14:30:29.444
Alien2	DragMove	(89.1, 200.5, -3.0)	14:30:29.460
Alien2	DragMove	(92.8, 200.5, -3.0)	14:30:29.496
Alien2	DragMove	(94.7, 200.5, -3.0)	14:30:29.513
Alien2	DragMove	(96.0, 200.5, -3.0)	14:30:29.530
Alien2	DragMove	(96.0, 194.7, -3.0)	14:30:29.548
Alien2	DragMove	(96.0, 190.8, -3.0)	14:30:29.565
Alien2	DragMove	(98.0, 183.0, -3.0)	14:30:29.580
Alien2	DragMove	(98.0, 177.2, -3.0)	14:30:29.597
Alien2	DragMove	(98.0, 173.3, -3.0)	14:30:29.612
Alien2	DragMove	(99.9, 167.5, -3.0)	14:30:29.629
Alien2	DragMove	(99.9, 163.6, -3.0)	14:30:29.648
Alien2	DragMove	(101.8, 155.2, -3.0)	14:30:29.692
Alien2	DragMove	(101.8, 151.3, -3.0)	14:30:29.712
