Object	Action	Position	Time
Kid2	FingerDown	(145.0, -36.3, -5.0)	21:31:41.17
Kid2	DragBegin	(145.0, -36.3, -5.0)	21:31:41.536
Kid2	DragMove	(160.0, -22.5, -5.0)	21:31:41.555
Kid2	DragMove	(162.1, -26.5, -5.0)	21:31:41.571
Kid2	DragMove	(163.4, -29.2, -5.0)	21:31:41.588
Kid2	DragMove	(169.4, -35.2, -5.0)	21:31:41.631
Kid2	DragMove	(170.7, -35.2, -5.0)	21:31:41.671
Kid2	DragMove	(170.7, -37.1, -5.0)	21:31:41.688
Kid2	DragMove	(172.8, -37.1, -5.0)	21:31:41.703
Kid2	DragMove	(174.1, -37.1, -5.0)	21:31:41.731
Kid2	DragMove	(175.5, -38.5, -5.0)	21:31:41.771
Kid2	DragMove	(176.8, -39.9, -5.0)	21:31:41.787
Kid2	DragMove	(178.2, -39.9, -5.0)	21:31:41.820
Kid2	DragMove	(180.2, -43.8, -5.0)	21:31:41.855
Kid2	DragMove	(180.2, -45.8, -5.0)	21:31:41.872
Kid2	DragMove	(181.5, -47.2, -5.0)	21:31:41.887
Kid2	DragMove	(183.6, -49.2, -5.0)	21:31:41.904
Kid2	DragMove	(185.6, -57.4, -5.0)	21:31:41.948
Kid2	DragMove	(187.6, -59.4, -5.0)	21:31:41.976
Kid2	DragMove	(187.6, -61.4, -5.0)	21:31:41.987
Kid2	DragMove	(189.0, -64.2, -5.0)	21:31:42.4
Kid2	DragMove	(190.9, -66.1, -5.0)	21:31:42.23
Kid2	DragMove	(192.3, -67.5, -5.0)	21:31:42.40
Kid2	DragMove	(193.7, -70.2, -5.0)	21:31:42.71
Kid2	DragMove	(195.0, -72.9, -5.0)	21:31:42.88
Kid2	DragMove	(195.0, -77.0, -5.0)	21:31:42.103
Kid2	DragMove	(197.1, -79.0, -5.0)	21:31:42.124
Kid2	DragMove	(199.1, -81.1, -5.0)	21:31:42.139
Kid2	DragMove	(200.5, -83.8, -5.0)	21:31:42.156
Kid2	DragMove	(200.5, -85.7, -5.0)	21:31:42.171
Kid2	DragMove	(202.5, -87.8, -5.0)	21:31:42.188
Kid2	DragMove	(204.5, -91.9, -5.0)	21:31:42.203
Kid2	DragMove	(204.5, -93.9, -5.0)	21:31:42.223
Kid2	DragMove	(210.5, -101.9, -5.0)	21:31:42.267
Kid2	DragMove	(212.4, -105.8, -5.0)	21:31:42.312
Kid2	DragMove	(212.4, -107.8, -5.0)	21:31:42.323
Kid2	DragMove	(213.8, -109.2, -5.0)	21:31:42.340
Kid2	DragMove	(213.8, -110.5, -5.0)	21:31:42.372
Kid2	DragMove	(215.8, -112.6, -5.0)	21:31:42.435
Kid2	DragMove	(217.2, -113.9, -5.0)	21:31:42.472
Kid2	DragMove	(217.2, -115.3, -5.0)	21:31:42.491
Kid2	DragMove	(219.1, -115.3, -5.0)	21:31:42.508
Kid2	DragMove	(220.5, -118.0, -5.0)	21:31:42.523
Kid2	DragMove	(220.5, -120.0, -5.0)	21:31:42.542
Kid2	DragMove	(223.9, -126.8, -5.0)	21:31:42.575
Kid2	DragMove	(225.9, -130.8, -5.0)	21:31:42.592
Kid2	DragMove	(225.9, -134.9, -5.0)	21:31:42.607
Kid2	DragMove	(227.3, -136.3, -5.0)	21:31:42.624
Kid2	DragMove	(227.3, -137.6, -5.0)	21:31:42.656
Kid2	DragMove	(227.3, -139.0, -5.0)	21:31:42.708
Kid2	DragMove	(231.3, -140.9, -5.0)	21:31:42.751
Kid2	DragMove	(231.3, -142.9, -5.0)	21:31:42.771
Kid2	DragMove	(232.7, -144.3, -5.0)	21:31:42.808
Kid2	DragMove	(234.7, -146.3, -5.0)	21:31:42.823
Kid2	DragMove	(236.1, -149.0, -5.0)	21:31:42.840
Kid2	DragMove	(236.1, -151.0, -5.0)	21:31:42.855
Kid2	DragMove	(238.1, -153.0, -5.0)	21:31:42.872
Kid2	DragMove	(239.4, -156.3, -5.0)	21:31:42.919
Kid2	DragMove	(240.8, -156.3, -5.0)	21:31:43.413
Kid2	DragMove	(244.9, -153.6, -5.0)	21:31:43.428
Kid2	DragMove	(251.0, -149.5, -5.0)	21:31:43.444
Kid2	DragMove	(257.1, -145.4, -5.0)	21:31:43.460
Kid2	DragMove	(261.2, -143.4, -5.0)	21:31:43.476
Kid2	DragMove	(265.3, -139.3, -5.0)	21:31:43.491
Kid2	DragMove	(271.4, -137.3, -5.0)	21:31:43.508
Kid2	DragMove	(283.6, -137.3, -5.0)	21:31:43.551
Kid2	DragMove	(287.7, -140.0, -5.0)	21:31:43.571
Kid2	DragMove	(291.8, -144.1, -5.0)	21:31:43.597
Kid2	DragMove	(297.9, -154.3, -5.0)	21:31:43.607
Kid2	DragMove	(304.0, -164.5, -5.0)	21:31:43.624
Kid2	DragMove	(306.0, -170.6, -5.0)	21:31:43.643
Kid2	DragMove	(310.1, -178.7, -5.0)	21:31:43.660
