Object	Action	Position	Time
Dragon1	FingerDown	(266.3, -160.5, -5.0)	12:51:44.20
Dragon1	DragBegin	(266.3, -160.5, -5.0)	12:51:44.238
Dragon1	DragMove	(209.1, -153.3, -5.0)	12:51:44.271
Dragon1	DragMove	(209.1, -149.4, -5.0)	12:51:44.288
Dragon1	DragMove	(209.1, -147.5, -5.0)	12:51:44.304
Dragon1	DragMove	(207.1, -143.6, -5.0)	12:51:44.321
Dragon1	DragMove	(205.2, -139.7, -5.0)	12:51:44.337
Dragon1	DragMove	(200.7, -128.7, -5.0)	12:51:44.353
Dragon1	DragMove	(196.8, -122.8, -5.0)	12:51:44.387
Dragon1	DragMove	(194.8, -117.0, -5.0)	12:51:44.403
Dragon1	DragMove	(192.9, -113.1, -5.0)	12:51:44.419
Dragon1	DragMove	(189.0, -109.2, -5.0)	12:51:44.436
Dragon1	DragMove	(184.6, -102.2, -5.0)	12:51:44.452
Dragon1	DragMove	(182.6, -98.3, -5.0)	12:51:44.486
Dragon1	DragMove	(178.7, -94.4, -5.0)	12:51:44.502
Dragon1	DragMove	(171.0, -86.7, -5.0)	12:51:44.518
Dragon1	DragMove	(167.1, -82.8, -5.0)	12:51:44.553
Dragon1	DragMove	(163.2, -78.9, -5.0)	12:51:44.568
Dragon1	DragMove	(161.2, -75.0, -5.0)	12:51:44.586
Dragon1	DragMove	(159.3, -71.1, -5.0)	12:51:44.602
Dragon1	DragMove	(157.4, -67.2, -5.0)	12:51:44.619
Dragon1	DragMove	(155.4, -63.4, -5.0)	12:51:44.635
Dragon1	DragMove	(151.5, -59.5, -5.0)	12:51:44.652
Dragon1	DragMove	(147.6, -49.7, -5.0)	12:51:44.671
Dragon1	DragMove	(143.8, -45.9, -5.0)	12:51:44.705
Dragon1	DragMove	(141.8, -42.0, -5.0)	12:51:44.722
Dragon1	DragMove	(137.9, -38.1, -5.0)	12:51:44.738
Dragon1	DragMove	(135.3, -34.2, -5.0)	12:51:44.754
Dragon1	DragMove	(133.4, -30.3, -5.0)	12:51:44.772
Dragon1	DragMove	(129.5, -28.4, -5.0)	12:51:44.788
Dragon1	DragMove	(127.6, -26.4, -5.0)	12:51:44.805
Dragon1	DragMove	(125.6, -24.5, -5.0)	12:51:44.821
Dragon1	DragMove	(124.3, -24.5, -5.0)	12:51:44.837
Dragon1	DragMove	(124.3, -22.6, -5.0)	12:51:44.855
Dragon1	DragMove	(120.6, -22.6, -5.0)	12:51:44.887
Dragon1	DragMove	(119.3, -22.6, -5.0)	12:51:44.904
Dragon1	DragMove	(118.0, -22.6, -5.0)	12:51:44.937
Dragon1	DragMove	(116.2, -24.5, -5.0)	12:51:44.953
Dragon1	DragMove	(114.3, -24.5, -5.0)	12:51:44.970
Dragon1	DragMove	(112.4, -28.4, -5.0)	12:51:44.987
Dragon1	DragMove	(112.4, -30.2, -5.0)	12:51:45.20
Dragon1	DragMove	(111.1, -31.5, -5.0)	12:51:45.37
Dragon1	DragMove	(109.1, -31.5, -5.0)	12:51:45.53
Dragon1	DragMove	(109.1, -33.4, -5.0)	12:51:45.70
Dragon1	DragMove	(107.8, -34.7, -5.0)	12:51:45.86
Dragon1	DragMove	(107.8, -36.6, -5.0)	12:51:45.103
Dragon1	DragMove	(106.5, -40.4, -5.0)	12:51:45.119
Dragon1	DragMove	(104.7, -44.2, -5.0)	12:51:45.153
Dragon1	DragEnd	(104.7, -44.2, -5.0)	12:51:45.942
Dragon1	FingerDown	(104.7, -44.2, -5.0)	12:51:46.542
Dragon1	DragBegin	(104.7, -44.2, -5.0)	12:51:46.643
Dragon1	DragMove	(40.5, -30.6, -5.0)	12:51:46.659
Dragon1	DragMove	(40.5, -20.9, -5.0)	12:51:46.675
Dragon1	DragMove	(40.5, -15.0, -5.0)	12:51:46.692
Dragon1	DragMove	(40.5, -9.2, -5.0)	12:51:46.709
Dragon1	DragMove	(40.5, 8.3, -5.0)	12:51:46.724
Dragon1	DragMove	(40.5, 19.9, -5.0)	12:51:46.741
Dragon1	DragMove	(40.5, 31.6, -5.0)	12:51:46.775
