Object	Action	Position	Time
Kid	FingerDown	(-159.9, -12.0, -4.0)	16:47:00.720
Kid	DragBegin	(-159.9, -12.0, -4.0)	16:47:01.272
Kid	DragMove	(-160.3, -21.3, -4.0)	16:47:01.288
Kid	DragMove	(-162.4, -19.3, -4.0)	16:47:01.303
Kid	DragMove	(-162.4, -15.2, -4.0)	16:47:01.320
Kid	DragMove	(-164.4, -15.2, -4.0)	16:47:01.335
Kid	DragMove	(-166.4, -9.3, -4.0)	16:47:01.395
Kid	DragMove	(-167.7, -6.6, -4.0)	16:47:01.414
Kid	DragMove	(-169.7, -4.6, -4.0)	16:47:01.435
Kid	DragMove	(-169.7, -2.5, -4.0)	16:47:01.450
Kid	DragMove	(-173.8, 3.6, -4.0)	16:47:01.499
Kid	DragMove	(-177.9, 7.7, -4.0)	16:47:01.531
Kid	DragMove	(-179.3, 9.0, -4.0)	16:47:01.555
Kid	DragMove	(-181.3, 11.0, -4.0)	16:47:01.571
Kid	DragMove	(-182.7, 12.4, -4.0)	16:47:01.603
Kid	DragMove	(-184.0, 13.8, -4.0)	16:47:01.619
Kid	DragMove	(-186.7, 15.1, -4.0)	16:47:01.634
Kid	DragMove	(-188.8, 17.2, -4.0)	16:47:01.655
Kid	DragMove	(-190.8, 17.2, -4.0)	16:47:01.671
Kid	DragMove	(-190.8, 19.1, -4.0)	16:47:01.687
Kid	DragMove	(-193.5, 20.5, -4.0)	16:47:01.703
Kid	DragMove	(-195.5, 20.5, -4.0)	16:47:01.720
Kid	DragMove	(-197.5, 22.5, -4.0)	16:47:01.735
Kid	DragMove	(-201.6, 22.5, -4.0)	16:47:01.755
Kid	DragMove	(-204.3, 23.9, -4.0)	16:47:01.771
Kid	DragMove	(-208.4, 23.9, -4.0)	16:47:01.788
Kid	DragMove	(-214.5, 23.9, -4.0)	16:47:01.803
Kid	DragMove	(-218.6, 23.9, -4.0)	16:47:01.820
Kid	DragMove	(-232.9, 25.9, -4.0)	16:47:01.863
Kid	DragMove	(-239.0, 25.9, -4.0)	16:47:01.883
Kid	DragMove	(-243.1, 25.9, -4.0)	16:47:01.908
Kid	DragMove	(-247.1, 25.9, -4.0)	16:47:01.919
Kid	DragMove	(-251.2, 25.9, -4.0)	16:47:01.936
Kid	DragMove	(-255.3, 25.9, -4.0)	16:47:01.955
Kid	DragMove	(-259.4, 25.9, -4.0)	16:47:01.972
Kid	DragMove	(-270.2, 24.6, -4.0)	16:47:02.15
Kid	DragMove	(-276.4, 22.5, -4.0)	16:47:02.39
Kid	DragMove	(-280.4, 18.4, -4.0)	16:47:02.56
Kid	DragMove	(-286.5, 16.4, -4.0)	16:47:02.70
Kid	DragMove	(-290.6, 12.3, -4.0)	16:47:02.87
Kid	DragMove	(-294.7, 8.2, -4.0)	16:47:02.103
Kid	DragMove	(-298.8, 4.2, -4.0)	16:47:02.120
Kid	DragMove	(-302.9, -2.0, -4.0)	16:47:02.135
Kid	DragMove	(-302.9, -8.1, -4.0)	16:47:02.155
Kid	DragMove	(-305.6, -4.0, -4.0)	16:47:02.571
Kid	DragMove	(-315.8, 10.3, -4.0)	16:47:02.588
Kid	DragMove	(-328.0, 30.7, -4.0)	16:47:02.603
Kid	DragMove	(-362.7, 73.5, -4.0)	16:47:02.651
Kid	DragMove	(-368.8, 79.6, -4.0)	16:47:02.671
Kid	DragMove	(-376.9, 87.7, -4.0)	16:47:02.687
