Object	Action	Position	Time
Bird	FingerDown	(-277.0, -283.7, -5.0)	12:56:40.768
Bird	DragBegin	(-277.0, -283.7, -5.0)	12:56:41.269
Bird	DragMove	(-220.2, -246.8, -5.0)	12:56:41.284
Bird	DragMove	(-220.2, -245.5, -5.0)	12:56:41.301
Bird	DragMove	(-221.5, -244.2, -5.0)	12:56:41.317
Bird	DragMove	(-221.5, -242.9, -5.0)	12:56:41.367
Bird	DragMove	(-221.5, -241.0, -5.0)	12:56:41.383
Bird	DragMove	(-221.5, -239.0, -5.0)	12:56:41.400
Bird	DragMove	(-221.5, -237.7, -5.0)	12:56:41.417
Bird	DragMove	(-223.4, -237.7, -5.0)	12:56:41.434
Bird	DragMove	(-223.4, -235.2, -5.0)	12:56:41.450
Bird	DragMove	(-223.4, -233.3, -5.0)	12:56:41.466
Bird	DragMove	(-223.4, -230.7, -5.0)	12:56:41.483
Bird	DragMove	(-223.4, -228.8, -5.0)	12:56:41.500
Bird	DragMove	(-224.7, -226.2, -5.0)	12:56:41.516
Bird	DragMove	(-224.7, -224.3, -5.0)	12:56:41.533
Bird	DragMove	(-224.7, -216.5, -5.0)	12:56:41.552
Bird	DragMove	(-226.6, -214.6, -5.0)	12:56:41.587
Bird	DragMove	(-226.6, -212.7, -5.0)	12:56:41.604
Bird	DragMove	(-226.6, -210.8, -5.0)	12:56:41.620
Bird	DragMove	(-227.9, -208.2, -5.0)	12:56:41.636
Bird	DragMove	(-227.9, -206.3, -5.0)	12:56:41.652
Bird	DragMove	(-229.2, -205.0, -5.0)	12:56:41.670
Bird	DragMove	(-229.2, -202.5, -5.0)	12:56:41.703
Bird	DragMove	(-230.5, -199.9, -5.0)	12:56:41.719
Bird	DragMove	(-231.8, -197.3, -5.0)	12:56:41.735
Bird	DragMove	(-231.8, -193.6, -5.0)	12:56:41.752
Bird	DragMove	(-231.8, -189.7, -5.0)	12:56:41.768
Bird	DragMove	(-233.7, -185.8, -5.0)	12:56:41.786
