Object	Action	Position	Time
Dino2	FingerDown	(-93.1, -232.9, -4.0)	15:08:20.938
Dino2	DragBegin	(-93.1, -232.9, -4.0)	15:08:21.455
Dino2	DragMove	(-89.3, -238.1, -4.0)	15:08:21.469
Dino2	DragMove	(-89.3, -235.6, -4.0)	15:08:21.486
Dino2	DragMove	(-87.4, -227.8, -4.0)	15:08:21.551
Dino2	DragMove	(-85.5, -225.9, -4.0)	15:08:21.573
Dino2	DragMove	(-83.6, -224.0, -4.0)	15:08:21.590
Dino2	DragMove	(-82.3, -220.1, -4.0)	15:08:21.605
Dino2	DragMove	(-80.3, -216.2, -4.0)	15:08:21.622
Dino2	DragMove	(-78.4, -212.3, -4.0)	15:08:21.637
Dino2	DragMove	(-68.7, -204.5, -4.0)	15:08:21.690
Dino2	DragMove	(-64.8, -202.6, -4.0)	15:08:21.710
Dino2	DragMove	(-60.9, -200.7, -4.0)	15:08:21.722
Dino2	DragMove	(-55.1, -198.7, -4.0)	15:08:21.738
Dino2	DragMove	(-51.2, -198.7, -4.0)	15:08:21.753
Dino2	DragMove	(-46.0, -198.7, -4.0)	15:08:21.770
Dino2	DragMove	(-42.1, -198.7, -4.0)	15:08:21.789
Dino2	DragMove	(-26.6, -198.7, -4.0)	15:08:21.842
Dino2	DragMove	(-22.7, -202.6, -4.0)	15:08:21.863
Dino2	DragMove	(-16.8, -206.5, -4.0)	15:08:21.874
Dino2	DragMove	(-13.0, -208.4, -4.0)	15:08:21.885
Dino2	DragMove	(-9.1, -210.4, -4.0)	15:08:21.905
Dino2	DragMove	(-7.1, -214.3, -4.0)	15:08:21.922
Dino2	DragMove	(-3.3, -216.2, -4.0)	15:08:21.937
Dino2	DragMove	(-1.3, -218.1, -4.0)	15:08:21.958
Dino2	DragMove	(5.2, -225.3, -4.0)	15:08:22.14
Dino2	DragMove	(6.5, -226.6, -4.0)	15:08:22.38
Dino2	DragMove	(8.3, -226.6, -4.0)	15:08:22.54
Dino2	DragMove	(9.6, -226.6, -4.0)	15:08:22.90
Dino2	DragMove	(12.9, -222.8, -4.0)	15:08:22.190
Dino2	DragMove	(16.7, -218.9, -4.0)	15:08:22.210
Dino2	DragMove	(20.5, -218.9, -4.0)	15:08:22.221
Dino2	DragMove	(24.3, -213.0, -4.0)	15:08:22.238
Dino2	DragMove	(28.2, -211.1, -4.0)	15:08:22.253
Dino2	DragMove	(30.2, -209.2, -4.0)	15:08:22.274
Dino2	DragMove	(39.8, -205.3, -4.0)	15:08:22.331
Dino2	DragMove	(43.7, -203.3, -4.0)	15:08:22.333
Dino2	DragMove	(49.5, -201.4, -4.0)	15:08:22.358
Dino2	DragMove	(51.5, -201.4, -4.0)	15:08:22.373
Dino2	DragMove	(55.4, -201.4, -4.0)	15:08:22.390
Dino2	DragMove	(59.1, -201.4, -4.0)	15:08:22.405
Dino2	DragMove	(63.0, -201.4, -4.0)	15:08:22.422
Dino2	DragMove	(64.8, -201.4, -4.0)	15:08:22.437
Dino2	DragMove	(75.7, -204.5, -4.0)	15:08:22.498
Dino2	DragMove	(79.6, -206.5, -4.0)	15:08:22.526
Dino2	DragMove	(81.6, -208.4, -4.0)	15:08:22.541
Dino2	DragMove	(85.5, -210.4, -4.0)	15:08:22.558
Dino2	DragMove	(87.4, -212.3, -4.0)	15:08:22.573
Dino2	DragMove	(89.3, -214.3, -4.0)	15:08:22.590
Dino2	DragMove	(93.2, -215.6, -4.0)	15:08:22.642
Dino2	DragMove	(104.8, -215.6, -4.0)	15:08:22.965
Dino2	DragMove	(114.5, -215.6, -4.0)	15:08:22.994
Dino2	DragMove	(122.3, -215.6, -4.0)	15:08:23.5
Dino2	DragMove	(130.1, -217.5, -4.0)	15:08:23.25
Dino2	DragMove	(137.8, -218.8, -4.0)	15:08:23.41
Dino2	DragMove	(143.7, -220.7, -4.0)	15:08:23.58
Dino2	DragMove	(168.9, -222.7, -4.0)	15:08:23.117
Dino2	DragMove	(174.7, -222.7, -4.0)	15:08:23.147
Dino2	DragMove	(178.6, -222.7, -4.0)	15:08:23.157
Dino2	DragMove	(184.5, -220.7, -4.0)	15:08:23.174
Dino2	DragMove	(188.3, -216.9, -4.0)	15:08:23.189
Dino2	DragMove	(190.3, -213.0, -4.0)	15:08:23.206
Dino2	DragMove	(194.2, -207.1, -4.0)	15:08:23.226
Dino2	DragMove	(200.7, -192.2, -4.0)	15:08:23.282
Dino2	DragMove	(200.7, -186.4, -4.0)	15:08:23.285
Dino2	DragMove	(202.6, -184.5, -4.0)	15:08:23.310
Dino2	DragMove	(202.6, -180.6, -4.0)	15:08:23.321
Dino2	DragMove	(202.6, -178.6, -4.0)	15:08:23.341
Dino2	DragMove	(202.6, -176.7, -4.0)	15:08:23.358
Dino2	DragEnd	(202.6, -176.7, -4.0)	15:08:23.618
Dino2	FingerDown	(202.6, -176.7, -4.0)	15:08:24.102
Dino2	DragBegin	(202.6, -176.7, -4.0)	15:08:24.278
Dino2	DragMove	(217.3, -181.1, -4.0)	15:08:24.293
Dino2	DragMove	(217.3, -171.4, -4.0)	15:08:24.310
Dino2	DragMove	(217.3, -165.5, -4.0)	15:08:24.327
Dino2	DragMove	(217.3, -159.7, -4.0)	15:08:24.341
Dino2	DragMove	(217.3, -153.9, -4.0)	15:08:24.358
Dino2	DragMove	(217.3, -150.0, -4.0)	15:08:24.413
Dino2	DragMove	(217.3, -151.3, -4.0)	15:08:24.494
Dino2	DragMove	(217.3, -157.1, -4.0)	15:08:24.510
Dino2	DragMove	(215.4, -180.4, -4.0)	15:08:24.569
Dino2	DragMove	(215.4, -184.3, -4.0)	15:08:24.597
Dino2	DragMove	(215.4, -188.2, -4.0)	15:08:24.615
Dino2	DragMove	(213.4, -192.1, -4.0)	15:08:24.625
Dino2	DragMove	(213.4, -194.0, -4.0)	15:08:24.642
Dino2	DragMove	(213.4, -195.3, -4.0)	15:08:24.662
Dino2	DragMove	(213.4, -193.5, -4.0)	15:08:24.777
Dino2	DragMove	(213.4, -191.6, -4.0)	15:08:24.793
Dino2	DragMove	(213.4, -187.7, -4.0)	15:08:24.810
Dino2	DragMove	(213.4, -183.8, -4.0)	15:08:24.830
Dino2	DragMove	(215.4, -172.2, -4.0)	15:08:24.886
Dino2	DragMove	(215.4, -169.6, -4.0)	15:08:24.903
Dino2	DragMove	(217.3, -169.6, -4.0)	15:08:24.910
Dino2	DragMove	(217.3, -167.7, -4.0)	15:08:24.935
Dino2	DragMove	(218.6, -167.7, -4.0)	15:08:24.994
Dino2	DragMove	(220.6, -173.5, -4.0)	15:08:25.53
Dino2	DragMove	(220.6, -175.4, -4.0)	15:08:25.57
Dino2	DragMove	(220.6, -179.3, -4.0)	15:08:25.83
Dino2	DragMove	(220.6, -181.2, -4.0)	15:08:25.93
Dino2	DragMove	(220.6, -185.1, -4.0)	15:08:25.110
Dino2	DragMove	(220.6, -187.1, -4.0)	15:08:25.130
Dino2	DragMove	(220.6, -189.0, -4.0)	15:08:25.146
Dino2	DragMove	(220.6, -193.5, -4.0)	15:08:25.204
Dino2	DragEnd	(220.6, -193.5, -4.0)	15:08:25.261
Dino2	FingerDown	(220.6, -193.5, -4.0)	15:08:25.674
Dino2	DragBegin	(220.6, -193.5, -4.0)	15:08:25.839
Dino2	DragMove	(247.8, -125.1, -4.0)	15:08:25.866
Dino2	DragMove	(255.5, -117.3, -4.0)	15:08:25.877
Dino2	DragMove	(269.8, -109.5, -4.0)	15:08:25.910
Dino2	DragMove	(277.5, -107.6, -4.0)	15:08:25.934
Dino2	DragMove	(310.6, -97.9, -4.0)	15:08:25.989
Dino2	DragMove	(320.3, -95.9, -4.0)	15:08:26.19
Dino2	DragMove	(326.1, -95.9, -4.0)	15:08:26.29
Dino2	DragMove	(331.9, -95.9, -4.0)	15:08:26.46
Dino2	DragMove	(335.8, -94.0, -4.0)	15:08:26.66
Dino2	DragMove	(341.0, -94.0, -4.0)	15:08:26.82
Dino2	DragMove	(352.7, -94.0, -4.0)	15:08:26.134
Dino2	DragMove	(358.5, -94.0, -4.0)	15:08:26.155
Dino2	DragMove	(364.3, -94.0, -4.0)	15:08:26.161
Dino2	DragMove	(370.2, -92.0, -4.0)	15:08:26.178
Dino2	DragMove	(377.9, -90.1, -4.0)	15:08:26.198
Dino2	DragMove	(385.7, -88.1, -4.0)	15:08:26.214
Dino2	DragMove	(391.5, -86.2, -4.0)	15:08:26.230
Dino2	DragMove	(397.3, -86.2, -4.0)	15:08:26.246
Dino2	DragMove	(412.2, -83.0, -4.0)	15:08:26.299
Dino2	DragMove	(416.1, -83.0, -4.0)	15:08:26.317
Dino2	DragMove	(420.0, -81.0, -4.0)	15:08:26.334
Dino2	DragMove	(423.9, -81.0, -4.0)	15:08:26.345
Dino2	DragMove	(427.8, -78.4, -4.0)	15:08:26.365
Dino2	DragMove	(431.7, -76.5, -4.0)	15:08:26.381
Dino2	DragMove	(433.6, -74.6, -4.0)	15:08:26.398
Dino2	DragMove	(452.2, -61.0, -4.0)	15:08:26.457
Dino2	DragMove	(458.1, -57.1, -4.0)	15:08:26.481
Dino2	DragMove	(461.9, -55.2, -4.0)	15:08:26.498
Dino2	DragMove	(465.8, -51.3, -4.0)	15:08:26.514
Dino2	DragMove	(469.7, -49.4, -4.0)	15:08:26.529
Dino2	DragMove	(471.7, -45.5, -4.0)	15:08:26.546
Dino2	DragMove	(475.5, -43.5, -4.0)	15:08:26.566
Dino2	DragMove	(481.3, -36.5, -4.0)	15:08:26.617
