Object	Action	Position	Time
Dino2	FingerDown	(-119.3, -196.8, -4.0)	12:46:22.867
Dino2	DragBegin	(-119.3, -196.8, -4.0)	12:46:23.529
Dino2	DragMove	(-113.8, -197.9, -4.0)	12:46:23.550
Dino2	DragMove	(-115.8, -186.3, -4.0)	12:46:23.605
Dino2	DragMove	(-117.7, -184.4, -4.0)	12:46:23.623
Dino2	DragMove	(-117.7, -180.5, -4.0)	12:46:23.629
Dino2	DragMove	(-119.6, -178.5, -4.0)	12:46:23.654
Dino2	DragMove	(-119.6, -174.6, -4.0)	12:46:23.665
Dino2	DragMove	(-121.5, -172.8, -4.0)	12:46:23.697
Dino2	DragMove	(-121.5, -174.6, -4.0)	12:46:23.866
Dino2	DragMove	(-119.6, -186.3, -4.0)	12:46:23.923
Dino2	DragMove	(-119.6, -192.1, -4.0)	12:46:23.929
Dino2	DragMove	(-117.6, -196.0, -4.0)	12:46:23.949
Dino2	DragMove	(-117.6, -199.9, -4.0)	12:46:23.966
Dino2	DragMove	(-117.6, -203.8, -4.0)	12:46:23.981
Dino2	DragMove	(-116.3, -205.1, -4.0)	12:46:23.998
Dino2	DragMove	(-116.3, -203.2, -4.0)	12:46:24.90
Dino2	DragMove	(-116.3, -201.4, -4.0)	12:46:24.93
Dino2	DragMove	(-116.3, -197.5, -4.0)	12:46:24.118
Dino2	DragMove	(-118.3, -193.6, -4.0)	12:46:24.133
Dino2	DragMove	(-120.2, -187.8, -4.0)	12:46:24.150
Dino2	DragMove	(-120.2, -183.9, -4.0)	12:46:24.165
Dino2	DragMove	(-124.1, -180.0, -4.0)	12:46:24.182
Dino2	DragMove	(-127.3, -167.8, -4.0)	12:46:24.241
Dino2	DragMove	(-129.2, -164.0, -4.0)	12:46:24.281
Dino2	DragMove	(-129.2, -165.9, -4.0)	12:46:24.390
Dino2	DragMove	(-129.2, -169.8, -4.0)	12:46:24.393
Dino2	DragMove	(-129.2, -172.4, -4.0)	12:46:24.417
Dino2	DragMove	(-129.2, -174.2, -4.0)	12:46:24.434
Dino2	DragMove	(-129.2, -179.8, -4.0)	12:46:24.466
Dino2	DragMove	(-129.2, -182.4, -4.0)	12:46:24.481
Dino2	DragMove	(-129.2, -185.0, -4.0)	12:46:24.502
Dino2	DragMove	(-129.2, -186.3, -4.0)	12:46:24.557
Dino2	DragMove	(-131.1, -186.3, -4.0)	12:46:24.597
Dino2	DragMove	(-131.1, -184.4, -4.0)	12:46:24.617
Dino2	DragMove	(-132.3, -181.8, -4.0)	12:46:24.633
Dino2	DragMove	(-134.3, -176.0, -4.0)	12:46:24.650
Dino2	DragMove	(-136.2, -172.1, -4.0)	12:46:24.665
Dino2	DragMove	(-140.1, -162.4, -4.0)	12:46:24.718
Dino2	DragMove	(-142.7, -159.8, -4.0)	12:46:24.738
Dino2	DragMove	(-144.7, -157.9, -4.0)	12:46:24.753
Dino2	DragMove	(-146.6, -157.9, -4.0)	12:46:24.771
Dino2	DragMove	(-146.6, -155.9, -4.0)	12:46:24.781
Dino2	DragMove	(-148.5, -155.9, -4.0)	12:46:24.801
Dino2	DragMove	(-148.5, -154.6, -4.0)	12:46:24.817
Dino2	DragMove	(-150.3, -156.5, -4.0)	12:46:24.934
Dino2	DragMove	(-150.3, -158.4, -4.0)	12:46:24.949
Dino2	DragMove	(-152.3, -164.2, -4.0)	12:46:24.965
Dino2	DragMove	(-152.3, -168.1, -4.0)	12:46:24.982
Dino2	DragMove	(-156.1, -181.0, -4.0)	12:46:25.37
Dino2	DragMove	(-156.1, -184.9, -4.0)	12:46:25.58
Dino2	DragMove	(-156.1, -188.8, -4.0)	12:46:25.65
Dino2	DragMove	(-158.1, -190.7, -4.0)	12:46:25.85
Dino2	DragMove	(-158.1, -194.6, -4.0)	12:46:25.101
Dino2	DragMove	(-158.1, -196.6, -4.0)	12:46:25.118
Dino2	DragMove	(-158.1, -198.5, -4.0)	12:46:25.133
Dino2	DragMove	(-159.4, -199.8, -4.0)	12:46:25.195
Dino2	DragEnd	(-159.4, -199.8, -4.0)	12:46:25.526
Dino2	FingerDown	(-159.4, -199.8, -4.0)	12:46:26.87
Dino2	DragBegin	(-159.4, -199.8, -4.0)	12:46:26.310
Dino2	DragMove	(-176.8, -208.1, -4.0)	12:46:26.312
Dino2	DragMove	(-180.7, -208.1, -4.0)	12:46:26.337
Dino2	DragMove	(-182.6, -208.1, -4.0)	12:46:26.353
Dino2	DragMove	(-185.2, -208.1, -4.0)	12:46:26.385
Dino2	DragMove	(-190.8, -208.1, -4.0)	12:46:26.401
Dino2	DragMove	(-192.7, -208.1, -4.0)	12:46:26.422
Dino2	DragMove	(-200.4, -204.3, -4.0)	12:46:26.473
