Object	Action	Position	Time
Dino2	FingerDown	(156.5, -209.9, -4.0)	12:47:22.249
Dino2	DragBegin	(156.5, -209.9, -4.0)	12:47:22.472
Dino2	DragMove	(183.6, -181.6, -4.0)	12:47:22.503
Dino2	DragMove	(183.6, -169.9, -4.0)	12:47:22.511
Dino2	DragMove	(175.8, -150.5, -4.0)	12:47:22.528
Dino2	DragMove	(164.2, -133.0, -4.0)	12:47:22.548
Dino2	DragMove	(146.7, -115.5, -4.0)	12:47:22.564
Dino2	DragMove	(96.2, -92.2, -4.0)	12:47:22.615
Dino2	DragMove	(84.5, -92.2, -4.0)	12:47:22.636
Dino2	DragMove	(74.8, -92.2, -4.0)	12:47:22.653
Dino2	DragMove	(70.9, -92.2, -4.0)	12:47:22.664
Dino2	DragMove	(67.0, -94.2, -4.0)	12:47:22.680
Dino2	DragMove	(65.1, -94.2, -4.0)	12:47:22.707
Dino2	DragMove	(63.2, -96.0, -4.0)	12:47:22.772
Dino2	DragMove	(55.8, -96.0, -4.0)	12:47:22.801
Dino2	DragMove	(50.2, -96.0, -4.0)	12:47:22.816
Dino2	DragMove	(40.5, -94.1, -4.0)	12:47:22.833
Dino2	DragMove	(26.9, -88.3, -4.0)	12:47:22.848
Dino2	DragMove	(3.6, -74.7, -4.0)	12:47:22.864
Dino2	DragMove	(-13.9, -64.9, -4.0)	12:47:22.880
Dino2	DragMove	(-50.8, -51.3, -4.0)	12:47:22.939
Dino2	DragMove	(-54.6, -51.3, -4.0)	12:47:22.979
Dino2	DragMove	(-54.6, -55.1, -4.0)	12:47:23.16
Dino2	DragMove	(-54.6, -59.0, -4.0)	12:47:23.32
Dino2	DragMove	(-56.5, -73.2, -4.0)	12:47:23.89
Dino2	DragMove	(-102.9, -59.6, -4.0)	12:47:23.407
Dino2	DragMove	(-126.2, -49.9, -4.0)	12:47:23.435
Dino2	DragMove	(-147.6, -42.1, -4.0)	12:47:23.448
Dino2	DragMove	(-163.1, -38.2, -4.0)	12:47:23.465
Dino2	DragMove	(-172.8, -36.3, -4.0)	12:47:23.479
Dino2	DragMove	(-178.6, -34.3, -4.0)	12:47:23.501
Dino2	DragMove	(-182.5, -32.4, -4.0)	12:47:23.552
Dino2	DragMove	(-184.4, -34.3, -4.0)	12:47:23.584
Dino2	DragMove	(-184.4, -38.2, -4.0)	12:47:23.600
Dino2	DragMove	(-184.4, -40.1, -4.0)	12:47:23.617
Dino2	DragMove	(-186.3, -40.1, -4.0)	12:47:23.632
Dino2	DragMove	(-188.3, -42.0, -4.0)	12:47:23.649
Dino2	DragMove	(-192.2, -44.0, -4.0)	12:47:23.664
Dino2	DragMove	(-223.2, -49.8, -4.0)	12:47:23.723
Dino2	DragMove	(-234.9, -49.8, -4.0)	12:47:23.728
Dino2	DragMove	(-244.6, -49.8, -4.0)	12:47:23.751
Dino2	DragMove	(-250.4, -47.9, -4.0)	12:47:23.768
Dino2	DragMove	(-254.3, -45.9, -4.0)	12:47:23.784
Dino2	DragMove	(-258.2, -44.0, -4.0)	12:47:23.801
Dino2	DragMove	(-258.2, -42.0, -4.0)	12:47:23.816
Dino2	DragMove	(-256.3, -42.0, -4.0)	12:47:23.875
Dino2	DragMove	(-254.3, -42.0, -4.0)	12:47:23.905
Dino2	DragMove	(-252.5, -42.0, -4.0)	12:47:23.915
Dino2	DragMove	(-248.6, -42.0, -4.0)	12:47:23.932
Dino2	DragMove	(-244.7, -40.1, -4.0)	12:47:23.947
Dino2	DragMove	(-240.8, -38.2, -4.0)	12:47:23.968
