Object	Action	Position	Time
Dino2	FingerDown	(440.3, 282.7, -4.0)	12:48:11.121
Dino2	DragBegin	(440.3, 282.7, -4.0)	12:48:11.644
Dino2	DragMove	(475.2, 283.4, -4.0)	12:48:11.658
Dino2	DragMove	(477.1, 277.6, -4.0)	12:48:11.675
Dino2	DragMove	(479.0, 273.7, -4.0)	12:48:11.691
Dino2	DragMove	(482.9, 258.1, -4.0)	12:48:11.750
Dino2	DragMove	(484.9, 252.3, -4.0)	12:48:11.758
Dino2	DragMove	(484.9, 248.4, -4.0)	12:48:11.779
Dino2	DragMove	(484.9, 242.6, -4.0)	12:48:11.790
Dino2	DragMove	(484.9, 236.1, -4.0)	12:48:11.810
Dino2	DragMove	(484.9, 234.2, -4.0)	12:48:11.827
Dino2	DragMove	(484.9, 230.3, -4.0)	12:48:11.843
Dino2	DragMove	(482.9, 223.2, -4.0)	12:48:11.902
Dino2	DragMove	(482.9, 221.3, -4.0)	12:48:11.942
Dino2	DragMove	(482.9, 223.2, -4.0)	12:48:12.248
Dino2	DragMove	(482.9, 225.1, -4.0)	12:48:12.258
Dino2	DragMove	(482.9, 229.0, -4.0)	12:48:12.278
Dino2	DragMove	(479.0, 232.9, -4.0)	12:48:12.295
Dino2	DragMove	(479.0, 238.7, -4.0)	12:48:12.310
Dino2	DragMove	(473.2, 246.5, -4.0)	12:48:12.327
Dino2	DragMove	(451.8, 265.9, -4.0)	12:48:12.379
Dino2	DragMove	(444.1, 269.8, -4.0)	12:48:12.399
Dino2	DragMove	(430.5, 273.7, -4.0)	12:48:12.410
Dino2	DragMove	(417.5, 275.0, -4.0)	12:48:12.427
Dino2	DragMove	(403.9, 275.0, -4.0)	12:48:12.442
Dino2	DragMove	(394.2, 275.0, -4.0)	12:48:12.462
Dino2	DragMove	(384.5, 273.0, -4.0)	12:48:12.479
Dino2	DragMove	(351.5, 242.0, -4.0)	12:48:12.536
Dino2	DragMove	(345.6, 228.4, -4.0)	12:48:12.566
Dino2	DragMove	(339.8, 214.7, -4.0)	12:48:12.583
Dino2	DragMove	(335.9, 199.2, -4.0)	12:48:12.594
Dino2	DragMove	(330.7, 183.7, -4.0)	12:48:12.611
Dino2	DragMove	(324.9, 170.1, -4.0)	12:48:12.626
Dino2	DragMove	(319.1, 160.4, -4.0)	12:48:12.643
Dino2	DragMove	(303.6, 135.1, -4.0)	12:48:12.703
Dino2	DragMove	(297.7, 129.3, -4.0)	12:48:12.706
Dino2	DragMove	(291.9, 125.4, -4.0)	12:48:12.726
Dino2	DragMove	(286.1, 123.4, -4.0)	12:48:12.743
Dino2	DragMove	(278.3, 119.6, -4.0)	12:48:12.762
Dino2	DragMove	(268.6, 117.6, -4.0)	12:48:12.779
Dino2	DragMove	(259.5, 117.6, -4.0)	12:48:12.796
Dino2	DragMove	(226.5, 131.2, -4.0)	12:48:12.854
Dino2	DragMove	(218.7, 133.2, -4.0)	12:48:12.874
Dino2	DragMove	(205.1, 137.0, -4.0)	12:48:12.900
Dino2	DragMove	(197.3, 139.0, -4.0)	12:48:12.910
Dino2	DragMove	(189.6, 139.0, -4.0)	12:48:12.927
