Object	Action	Position	Time
Turtle	FingerDown	(-104.3, -63.4, -4.0)	17:29:55.763
Turtle	DragBegin	(-104.3, -63.4, -4.0)	17:29:56.95
Turtle	DragMove	(-77.1, -34.3, -4.0)	17:29:56.111
Turtle	DragMove	(-69.4, -26.5, -4.0)	17:29:56.129
Turtle	DragMove	(-63.6, -18.8, -4.0)	17:29:56.145
Turtle	DragMove	(-59.7, -16.8, -4.0)	17:29:56.162
Turtle	DragMove	(-51.9, -14.9, -4.0)	17:29:56.192
Turtle	DragMove	(-46.7, -17.5, -4.0)	17:29:56.208
Turtle	DragMove	(-46.7, -19.3, -4.0)	17:29:56.229
Turtle	DragMove	(-40.9, -27.1, -4.0)	17:29:56.245
Turtle	DragMove	(-37.0, -32.3, -4.0)	17:29:56.262
Turtle	DragMove	(-31.2, -38.1, -4.0)	17:29:56.279
Turtle	DragMove	(-27.3, -42.0, -4.0)	17:29:56.295
Turtle	DragMove	(-23.4, -44.0, -4.0)	17:29:56.312
Turtle	DragMove	(-21.5, -45.9, -4.0)	17:29:56.329
Turtle	DragMove	(-17.6, -45.9, -4.0)	17:29:56.345
Turtle	DragMove	(-15.6, -45.9, -4.0)	17:29:56.362
Turtle	DragMove	(-13.7, -40.1, -4.0)	17:29:56.379
Turtle	DragMove	(-11.7, -26.5, -4.0)	17:29:56.395
Turtle	DragMove	(-9.8, -16.8, -4.0)	17:29:56.412
Turtle	DragMove	(-7.9, -7.0, -4.0)	17:29:56.429
Turtle	DragMove	(-6.6, -0.6, -4.0)	17:29:56.446
Turtle	DragMove	(-4.6, 1.4, -4.0)	17:29:56.462
Turtle	DragMove	(-2.0, 1.4, -4.0)	17:29:56.479
Turtle	DragMove	(-0.2, 1.4, -4.0)	17:29:56.496
Turtle	DragMove	(7.6, -6.4, -4.0)	17:29:56.528
Turtle	DragMove	(11.5, -14.2, -4.0)	17:29:56.545
Turtle	DragMove	(15.4, -21.9, -4.0)	17:29:56.562
Turtle	DragMove	(19.3, -31.7, -4.0)	17:29:56.579
