Object	Action	Position	Time
Turtle	FingerDown	(-240.0, -299.0, -4.0)	04:53:30.153
Turtle	DragBegin	(-240.0, -299.0, -4.0)	04:53:30.515
Turtle	DragMove	(-247.1, -289.3, -4.0)	04:53:30.531
Turtle	DragMove	(-247.1, -287.4, -4.0)	04:53:30.548
Turtle	DragMove	(-247.1, -283.5, -4.0)	04:53:30.564
Turtle	DragMove	(-247.1, -280.9, -4.0)	04:53:30.581
Turtle	DragMove	(-247.1, -279.0, -4.0)	04:53:30.597
Turtle	DragMove	(-247.1, -277.1, -4.0)	04:53:30.614
Turtle	DragMove	(-247.1, -275.2, -4.0)	04:53:30.630
Turtle	DragMove	(-244.5, -273.9, -4.0)	04:53:30.647
Turtle	DragMove	(-242.7, -272.0, -4.0)	04:53:30.663
Turtle	DragMove	(-240.1, -270.7, -4.0)	04:53:30.680
Turtle	DragMove	(-232.3, -270.7, -4.0)	04:53:30.713
Turtle	DragMove	(-228.4, -270.7, -4.0)	04:53:30.729
Turtle	DragMove	(-222.6, -270.7, -4.0)	04:53:30.746
Turtle	DragMove	(-218.7, -272.7, -4.0)	04:53:30.762
Turtle	DragMove	(-214.8, -274.6, -4.0)	04:53:30.780
Turtle	DragMove	(-211.0, -280.4, -4.0)	04:53:30.795
Turtle	DragMove	(-203.8, -289.5, -4.0)	04:53:30.829
Turtle	DragMove	(-201.9, -291.4, -4.0)	04:53:30.846
Turtle	DragMove	(-200.6, -292.7, -4.0)	04:53:30.863
Turtle	DragMove	(-200.6, -294.6, -4.0)	04:53:30.895
Turtle	DragMove	(-200.6, -292.7, -4.0)	04:53:30.945
Turtle	DragMove	(-200.6, -290.9, -4.0)	04:53:30.961
Turtle	DragMove	(-200.6, -287.0, -4.0)	04:53:30.994
Turtle	DragMove	(-200.6, -283.1, -4.0)	04:53:31.11
Turtle	DragMove	(-199.3, -279.2, -4.0)	04:53:31.28
Turtle	DragMove	(-199.3, -277.3, -4.0)	04:53:31.44
Turtle	DragMove	(-199.3, -272.8, -4.0)	04:53:31.61
Turtle	DragMove	(-199.3, -270.9, -4.0)	04:53:31.94
Turtle	DragMove	(-199.3, -267.0, -4.0)	04:53:31.111
Turtle	DragMove	(-199.3, -263.1, -4.0)	04:53:31.127
Turtle	DragMove	(-200.6, -258.6, -4.0)	04:53:31.144
Turtle	DragMove	(-200.6, -256.8, -4.0)	04:53:31.177
Turtle	DragMove	(-202.5, -254.8, -4.0)	04:53:31.193
Turtle	DragMove	(-206.4, -251.0, -4.0)	04:53:31.210
Turtle	DragMove	(-208.4, -249.0, -4.0)	04:53:31.227
Turtle	DragMove	(-212.3, -247.1, -4.0)	04:53:31.243
Turtle	DragMove	(-214.8, -244.5, -4.0)	04:53:31.260
Turtle	DragMove	(-216.7, -244.5, -4.0)	04:53:31.276
Turtle	DragMove	(-218.6, -244.5, -4.0)	04:53:31.293
Turtle	DragMove	(-222.5, -242.5, -4.0)	04:53:31.309
Turtle	DragMove	(-225.1, -242.5, -4.0)	04:53:31.325
Turtle	DragMove	(-227.0, -242.5, -4.0)	04:53:31.342
Turtle	DragMove	(-230.9, -242.5, -4.0)	04:53:31.359
Turtle	DragMove	(-234.8, -242.5, -4.0)	04:53:31.375
Turtle	DragMove	(-240.6, -242.5, -4.0)	04:53:31.392
Turtle	DragMove	(-244.5, -242.5, -4.0)	04:53:31.408
Turtle	DragMove	(-248.4, -242.5, -4.0)	04:53:31.426
Turtle	DragMove	(-256.1, -246.4, -4.0)	04:53:31.441
Turtle	DragMove	(-258.1, -248.4, -4.0)	04:53:31.474
Turtle	DragMove	(-261.9, -252.3, -4.0)	04:53:31.491
Turtle	DragMove	(-261.9, -256.1, -4.0)	04:53:31.508
Turtle	DragMove	(-265.8, -260.0, -4.0)	04:53:31.524
Turtle	DragMove	(-265.8, -265.2, -4.0)	04:53:31.541
Turtle	DragMove	(-265.8, -271.0, -4.0)	04:53:31.557
Turtle	DragMove	(-267.8, -274.9, -4.0)	04:53:31.575
