Object	Action	Position	Time
Alligator	FingerDown	(-137.0, -97.5, -4.0)	19:21:10.398
Alligator	DragBegin	(-137.0, -97.5, -4.0)	19:21:10.811
Alligator	DragMove	(-138.3, -116.5, -4.0)	19:21:10.853
Alligator	DragMove	(-138.3, -112.4, -4.0)	19:21:10.878
Alligator	DragMove	(-138.3, -106.3, -4.0)	19:21:10.893
Alligator	DragMove	(-138.3, -96.1, -4.0)	19:21:10.909
Alligator	DragMove	(-138.3, -83.9, -4.0)	19:21:10.937
Alligator	DragMove	(-138.3, -77.8, -4.0)	19:21:10.957
Alligator	DragMove	(-138.3, -71.6, -4.0)	19:21:10.977
Alligator	DragMove	(-138.3, -69.6, -4.0)	19:21:10.994
Alligator	DragMove	(-138.3, -67.6, -4.0)	19:21:11.9
Alligator	DragMove	(-138.3, -65.5, -4.0)	19:21:11.26
Alligator	DragMove	(-138.3, -66.9, -4.0)	19:21:11.94
Alligator	DragMove	(-138.3, -68.9, -4.0)	19:21:11.109
Alligator	DragMove	(-138.3, -72.8, -4.0)	19:21:11.126
Alligator	DragMove	(-136.2, -76.9, -4.0)	19:21:11.141
Alligator	DragMove	(-134.2, -83.0, -4.0)	19:21:11.161
Alligator	DragMove	(-134.2, -87.1, -4.0)	19:21:11.177
Alligator	DragMove	(-132.2, -91.2, -4.0)	19:21:11.194
Alligator	DragMove	(-132.2, -95.2, -4.0)	19:21:11.209
Alligator	DragMove	(-130.8, -96.6, -4.0)	19:21:11.226
Alligator	DragMove	(-130.8, -98.0, -4.0)	19:21:11.261
Alligator	DragMove	(-130.8, -89.1, -4.0)	19:21:11.337
Alligator	DragMove	(-132.2, -81.0, -4.0)	19:21:11.361
Alligator	DragMove	(-134.2, -74.9, -4.0)	19:21:11.378
Alligator	DragMove	(-136.2, -66.7, -4.0)	19:21:11.393
Alligator	DragMove	(-136.2, -62.6, -4.0)	19:21:11.410
Alligator	DragMove	(-138.3, -60.6, -4.0)	19:21:11.425
Alligator	DragMove	(-138.3, -62.5, -4.0)	19:21:11.530
Alligator	DragMove	(-138.3, -64.6, -4.0)	19:21:11.545
Alligator	DragMove	(-138.3, -66.6, -4.0)	19:21:11.562
Alligator	DragMove	(-138.3, -69.3, -4.0)	19:21:11.578
Alligator	DragMove	(-138.3, -71.3, -4.0)	19:21:11.595
Alligator	DragMove	(-138.3, -75.4, -4.0)	19:21:11.609
Alligator	DragMove	(-138.3, -85.6, -4.0)	19:21:11.653
Alligator	DragMove	(-138.3, -89.6, -4.0)	19:21:11.677
Alligator	DragMove	(-138.3, -91.7, -4.0)	19:21:11.694
Alligator	DragMove	(-138.3, -93.0, -4.0)	19:21:11.709
Alligator	DragMove	(-140.2, -93.0, -4.0)	19:21:11.861
Alligator	DragMove	(-140.2, -91.7, -4.0)	19:21:11.909
Alligator	DragMove	(-140.2, -87.8, -4.0)	19:21:11.929
Alligator	DragMove	(-140.2, -85.8, -4.0)	19:21:11.945
Alligator	DragMove	(-142.3, -83.8, -4.0)	19:21:11.962
Alligator	DragMove	(-142.3, -82.4, -4.0)	19:21:11.977
Alligator	DragMove	(-142.3, -80.4, -4.0)	19:21:12.9
Alligator	DragMove	(-142.3, -76.3, -4.0)	19:21:12.30
Alligator	DragMove	(-142.3, -74.3, -4.0)	19:21:12.45
Alligator	DragMove	(-144.3, -66.2, -4.0)	19:21:12.62
Alligator	DragMove	(-144.3, -54.0, -4.0)	19:21:12.77
Alligator	DragMove	(-144.3, -43.8, -4.0)	19:21:12.94
Alligator	DragMove	(-144.3, -21.3, -4.0)	19:21:12.141
Alligator	DragMove	(-144.3, -17.3, -4.0)	19:21:12.169
Alligator	DragMove	(-144.3, -15.9, -4.0)	19:21:12.346
Alligator	DragMove	(-134.1, -15.9, -4.0)	19:21:12.441
Alligator	DragMove	(-128.0, -15.9, -4.0)	19:21:12.466
Alligator	DragMove	(-119.8, -15.9, -4.0)	19:21:12.477
Alligator	DragMove	(-115.8, -15.9, -4.0)	19:21:12.497
Alligator	DragMove	(-111.7, -15.9, -4.0)	19:21:12.513
Alligator	DragMove	(-107.8, -15.9, -4.0)	19:21:12.545
Alligator	DragMove	(-109.1, -15.9, -4.0)	19:21:12.681
