Object	Action	Position	Time
Kid2	FingerDown	(-343.4, 234.2, -5.0)	19:22:09.26
Kid2	DragBegin	(-343.4, 234.2, -5.0)	19:22:09.656
Kid2	DragMove	(-340.8, 278.9, -5.0)	19:22:09.672
Kid2	DragMove	(-342.1, 283.0, -5.0)	19:22:09.692
Kid2	DragMove	(-344.2, 289.7, -5.0)	19:22:09.736
Kid2	DragMove	(-345.5, 291.1, -5.0)	19:22:09.764
Kid2	DragMove	(-345.5, 293.1, -5.0)	19:22:09.781
Kid2	DragMove	(-345.5, 295.1, -5.0)	19:22:09.792
Kid2	DragMove	(-347.6, 295.1, -5.0)	19:22:09.808
Kid2	DragMove	(-347.6, 297.1, -5.0)	19:22:09.824
Kid2	DragMove	(-347.6, 295.1, -5.0)	19:22:09.924
Kid2	DragMove	(-347.6, 291.1, -5.0)	19:22:09.940
Kid2	DragMove	(-347.6, 287.0, -5.0)	19:22:09.960
Kid2	DragMove	(-345.5, 282.9, -5.0)	19:22:09.976
Kid2	DragMove	(-345.5, 278.8, -5.0)	19:22:09.993
Kid2	DragMove	(-343.5, 274.8, -5.0)	19:22:10.8
Kid2	DragMove	(-340.1, 263.9, -5.0)	19:22:10.51
Kid2	DragMove	(-340.1, 261.8, -5.0)	19:22:10.72
Kid2	DragMove	(-340.1, 259.8, -5.0)	19:22:10.92
Kid2	DragMove	(-340.1, 258.5, -5.0)	19:22:10.124
Kid2	DragMove	(-340.1, 268.6, -5.0)	19:22:10.204
Kid2	DragMove	(-342.1, 272.7, -5.0)	19:22:10.232
Kid2	DragMove	(-346.2, 278.8, -5.0)	19:22:10.249
Kid2	DragMove	(-346.2, 280.9, -5.0)	19:22:10.260
Kid2	DragMove	(-348.2, 284.8, -5.0)	19:22:10.277
Kid2	DragMove	(-348.2, 279.4, -5.0)	19:22:10.372
Kid2	DragMove	(-348.2, 277.3, -5.0)	19:22:10.391
Kid2	DragMove	(-348.2, 275.4, -5.0)	19:22:10.408
Kid2	DragMove	(-348.2, 269.2, -5.0)	19:22:10.428
Kid2	DragMove	(-348.2, 265.2, -5.0)	19:22:10.445
Kid2	DragMove	(-348.2, 257.0, -5.0)	19:22:10.460
Kid2	DragMove	(-348.2, 248.9, -5.0)	19:22:10.476
Kid2	DragMove	(-348.2, 246.8, -5.0)	19:22:10.492
