Object	Action	Position	Time
Alligator	FingerDown	(-370.9, -194.2, -4.0)	19:33:31.746
Alligator	DragBegin	(-370.9, -194.2, -4.0)	19:33:32.323
Alligator	DragMove	(-345.7, -217.3, -4.0)	19:33:32.354
Alligator	DragMove	(-341.7, -215.9, -4.0)	19:33:32.383
Alligator	DragMove	(-339.6, -213.9, -4.0)	19:33:32.394
Alligator	DragMove	(-337.6, -211.9, -4.0)	19:33:32.411
Alligator	DragMove	(-335.5, -211.9, -4.0)	19:33:32.426
Alligator	DragMove	(-333.5, -209.8, -4.0)	19:33:32.447
Alligator	DragMove	(-331.5, -209.8, -4.0)	19:33:32.463
Alligator	DragMove	(-330.1, -209.8, -4.0)	19:33:32.478
Alligator	DragMove	(-328.1, -207.8, -4.0)	19:33:32.495
Alligator	DragMove	(-326.0, -207.8, -4.0)	19:33:32.510
Alligator	DragMove	(-324.0, -207.8, -4.0)	19:33:32.527
Alligator	DragMove	(-322.0, -207.8, -4.0)	19:33:32.546
Alligator	DragMove	(-320.1, -207.8, -4.0)	19:33:32.578
Alligator	DragMove	(-316.2, -207.8, -4.0)	19:33:32.595
Alligator	DragMove	(-310.7, -211.9, -4.0)	19:33:32.654
Alligator	DragMove	(-306.7, -214.6, -4.0)	19:33:32.678
Alligator	DragMove	(-306.7, -216.5, -4.0)	19:33:32.695
Alligator	DragMove	(-302.6, -220.6, -4.0)	19:33:32.710
Alligator	DragMove	(-300.6, -222.7, -4.0)	19:33:32.730
Alligator	DragMove	(-296.5, -224.7, -4.0)	19:33:32.746
Alligator	DragMove	(-293.8, -227.4, -4.0)	19:33:32.762
Alligator	DragMove	(-291.7, -231.5, -4.0)	19:33:32.806
Alligator	DragMove	(-287.8, -231.5, -4.0)	19:33:32.826
Alligator	DragMove	(-286.5, -231.5, -4.0)	19:33:32.862
Alligator	DragMove	(-285.1, -231.5, -4.0)	19:33:32.894
Alligator	DragMove	(-283.7, -227.4, -4.0)	19:33:32.911
Alligator	DragMove	(-281.8, -225.5, -4.0)	19:33:32.930
Alligator	DragMove	(-273.0, -213.2, -4.0)	19:33:32.974
Alligator	DragMove	(-270.9, -211.2, -4.0)	19:33:32.999
Alligator	DragMove	(-268.9, -207.1, -4.0)	19:33:33.10
Alligator	DragMove	(-266.8, -205.1, -4.0)	19:33:33.30
Alligator	DragMove	(-264.8, -203.0, -4.0)	19:33:33.46
Alligator	DragMove	(-262.8, -201.0, -4.0)	19:33:33.63
Alligator	DragMove	(-260.0, -199.6, -4.0)	19:33:33.78
Alligator	DragMove	(-258.0, -199.6, -4.0)	19:33:33.95
Alligator	DragMove	(-255.3, -199.6, -4.0)	19:33:33.138
Alligator	DragMove	(-253.9, -199.6, -4.0)	19:33:33.166
Alligator	DragMove	(-251.9, -199.6, -4.0)	19:33:33.178
Alligator	DragMove	(-249.8, -199.6, -4.0)	19:33:33.194
Alligator	DragMove	(-247.8, -199.6, -4.0)	19:33:33.214
Alligator	DragMove	(-245.8, -199.6, -4.0)	19:33:33.230
Alligator	DragMove	(-243.7, -199.6, -4.0)	19:33:33.247
Alligator	DragMove	(-241.7, -199.6, -4.0)	19:33:33.262
Alligator	DragMove	(-239.7, -199.6, -4.0)	19:33:33.278
Alligator	DragMove	(-237.7, -199.6, -4.0)	19:33:33.298
Alligator	DragMove	(-235.7, -199.6, -4.0)	19:33:33.315
Alligator	DragMove	(-233.6, -201.7, -4.0)	19:33:33.330
Alligator	DragMove	(-232.3, -203.0, -4.0)	19:33:33.347
Alligator	DragMove	(-230.9, -204.4, -4.0)	19:33:33.362
