Object	Action	Position	Time
Penguin2	FingerDown	(108.1, -167.4, -4.0)	14:40:56.266
Penguin2	DragBegin	(108.1, -167.4, -4.0)	14:40:57.494
Penguin2	DragMove	(87.3, -174.6, -4.0)	14:40:57.543
Penguin2	DragMove	(85.3, -171.2, -4.0)	14:40:57.591
Penguin2	DragMove	(85.3, -169.2, -4.0)	14:40:57.629
Penguin2	DragMove	(83.9, -167.8, -4.0)	14:40:57.671
Penguin2	DragMove	(83.9, -166.4, -4.0)	14:40:57.700
Penguin2	DragMove	(83.9, -164.4, -4.0)	14:40:57.747
Penguin2	DragMove	(81.9, -162.4, -4.0)	14:40:57.807
Penguin2	DragMove	(81.9, -161.0, -4.0)	14:40:57.825
Penguin2	DragMove	(80.5, -159.6, -4.0)	14:40:57.857
Penguin2	DragMove	(80.5, -158.2, -4.0)	14:40:57.863
Penguin2	DragMove	(80.5, -156.1, -4.0)	14:40:57.883
Penguin2	DragMove	(78.4, -154.0, -4.0)	14:40:57.900
Penguin2	DragMove	(76.3, -144.3, -4.0)	14:40:57.959
Penguin2	DragMove	(74.3, -142.3, -4.0)	14:40:57.998
Penguin2	DragMove	(74.3, -139.5, -4.0)	14:40:58.14
Penguin2	DragMove	(74.3, -137.5, -4.0)	14:40:58.19
Penguin2	DragMove	(72.2, -135.4, -4.0)	14:40:58.36
Penguin2	DragMove	(70.1, -131.2, -4.0)	14:40:58.53
Penguin2	DragMove	(70.1, -128.5, -4.0)	14:40:58.69
Penguin2	DragMove	(68.0, -120.2, -4.0)	14:40:58.123
Penguin2	DragMove	(66.0, -116.2, -4.0)	14:40:58.152
Penguin2	DragMove	(66.0, -114.1, -4.0)	14:40:58.168
Penguin2	DragMove	(66.0, -112.7, -4.0)	14:40:58.185
Penguin2	DragMove	(64.0, -112.7, -4.0)	14:40:58.199
Penguin2	DragMove	(64.0, -110.6, -4.0)	14:40:58.216
Penguin2	DragMove	(62.6, -110.6, -4.0)	14:40:58.308
Penguin2	DragMove	(61.2, -110.6, -4.0)	14:40:58.358
Penguin2	DragMove	(61.2, -112.0, -4.0)	14:40:58.367
Penguin2	DragMove	(59.1, -113.4, -4.0)	14:40:58.441
Penguin2	DragMove	(59.1, -117.4, -4.0)	14:40:58.443
Penguin2	DragMove	(59.1, -118.8, -4.0)	14:40:58.477
Penguin2	DragMove	(57.0, -118.8, -4.0)	14:40:58.494
Penguin2	DragMove	(57.0, -120.8, -4.0)	14:40:58.510
Penguin2	DragMove	(57.0, -122.2, -4.0)	14:40:58.526
Penguin2	DragMove	(57.0, -124.3, -4.0)	14:40:58.543
Penguin2	DragMove	(55.0, -125.7, -4.0)	14:40:58.591
Penguin2	DragMove	(55.0, -127.8, -4.0)	14:40:58.608
Penguin2	DragMove	(52.9, -127.8, -4.0)	14:40:58.686
Penguin2	DragMove	(50.8, -127.8, -4.0)	14:40:58.699
Penguin2	DragMove	(40.4, -123.6, -4.0)	14:40:58.760
Penguin2	DragMove	(34.1, -123.6, -4.0)	14:40:58.787
Penguin2	DragMove	(29.9, -121.5, -4.0)	14:40:58.805
Penguin2	DragMove	(25.7, -119.4, -4.0)	14:40:58.821
Penguin2	DragMove	(21.5, -119.4, -4.0)	14:40:58.838
Penguin2	DragMove	(15.2, -117.3, -4.0)	14:40:58.854
Penguin2	DragMove	(6.2, -117.3, -4.0)	14:40:58.909
