Object	Action	Position	Time
Dino2	FingerDown	(-119.3, -196.8, -4.0)	15:08:04.156
Dino2	DragBegin	(-119.3, -196.8, -4.0)	15:08:04.461
Dino2	DragMove	(-110.1, -202.9, -4.0)	15:08:04.471
Dino2	DragMove	(-112.0, -199.0, -4.0)	15:08:04.486
Dino2	DragMove	(-114.0, -195.1, -4.0)	15:08:04.506
Dino2	DragMove	(-115.3, -192.5, -4.0)	15:08:04.523
Dino2	DragMove	(-118.4, -186.0, -4.0)	15:08:04.574
Dino2	DragMove	(-118.4, -184.1, -4.0)	15:08:04.594
Dino2	DragMove	(-118.4, -182.1, -4.0)	15:08:04.602
Dino2	DragMove	(-119.7, -182.1, -4.0)	15:08:04.622
Dino2	DragMove	(-119.7, -180.3, -4.0)	15:08:04.638
Dino2	DragMove	(-121.6, -180.3, -4.0)	15:08:04.682
Dino2	DragMove	(-122.9, -180.3, -4.0)	15:08:04.706
Dino2	DragMove	(-124.2, -180.3, -4.0)	15:08:04.743
Dino2	DragMove	(-126.1, -180.3, -4.0)	15:08:04.754
Dino2	DragMove	(-128.1, -180.3, -4.0)	15:08:04.774
Dino2	DragMove	(-130.7, -180.3, -4.0)	15:08:04.785
Dino2	DragMove	(-132.6, -180.3, -4.0)	15:08:04.806
Dino2	DragMove	(-134.5, -180.3, -4.0)	15:08:04.822
Dino2	DragMove	(-138.3, -182.2, -4.0)	15:08:04.839
Dino2	DragMove	(-146.8, -187.4, -4.0)	15:08:04.898
Dino2	DragMove	(-148.7, -189.3, -4.0)	15:08:04.927
Dino2	DragMove	(-150.7, -189.3, -4.0)	15:08:04.938
Dino2	DragMove	(-152.6, -191.3, -4.0)	15:08:04.954
Dino2	DragMove	(-152.6, -193.2, -4.0)	15:08:04.970
Dino2	DragMove	(-153.9, -194.5, -4.0)	15:08:04.986
Dino2	DragMove	(-155.7, -194.5, -4.0)	15:08:05.6
Dino2	DragMove	(-157.7, -196.5, -4.0)	15:08:05.64
Dino2	DragMove	(-159.5, -200.2, -4.0)	15:08:05.70
Dino2	DragMove	(-161.4, -203.9, -4.0)	15:08:05.90
