Object	Action	Position	Time
Penguin2	FingerDown	(108.1, -167.4, -4.0)	15:32:43.934
Penguin2	DragBegin	(108.1, -167.4, -4.0)	15:32:44.639
Penguin2	DragMove	(97.7, -157.8, -4.0)	15:32:44.669
Penguin2	DragMove	(95.6, -155.8, -4.0)	15:32:44.685
Penguin2	DragMove	(95.6, -153.0, -4.0)	15:32:44.702
Penguin2	DragMove	(94.2, -150.2, -4.0)	15:32:44.711
Penguin2	DragMove	(92.1, -146.0, -4.0)	15:32:44.792
Penguin2	DragMove	(90.7, -144.6, -4.0)	15:32:44.825
Penguin2	DragMove	(90.7, -142.5, -4.0)	15:32:44.842
Penguin2	DragMove	(90.7, -140.4, -4.0)	15:32:44.847
Penguin2	DragMove	(88.6, -140.4, -4.0)	15:32:44.864
Penguin2	DragMove	(88.6, -137.6, -4.0)	15:32:44.881
Penguin2	DragMove	(86.5, -135.5, -4.0)	15:32:44.897
Penguin2	DragMove	(78.1, -123.0, -4.0)	15:32:44.956
Penguin2	DragMove	(73.9, -120.9, -4.0)	15:32:44.993
Penguin2	DragMove	(71.8, -116.7, -4.0)	15:32:44.996
Penguin2	DragMove	(65.6, -112.5, -4.0)	15:32:45.13
Penguin2	DragMove	(61.4, -112.5, -4.0)	15:32:45.29
Penguin2	DragMove	(53.0, -108.3, -4.0)	15:32:45.43
Penguin2	DragMove	(46.7, -108.3, -4.0)	15:32:45.60
Penguin2	DragMove	(16.7, -108.3, -4.0)	15:32:45.122
Penguin2	DragMove	(12.5, -108.3, -4.0)	15:32:45.144
Penguin2	DragMove	(8.4, -108.3, -4.0)	15:32:45.169
Penguin2	DragMove	(5.6, -109.7, -4.0)	15:32:45.185
Penguin2	DragMove	(3.6, -113.7, -4.0)	15:32:45.202
Penguin2	DragMove	(1.5, -115.8, -4.0)	15:32:45.212
Penguin2	DragMove	(-3.4, -138.1, -4.0)	15:32:45.272
Penguin2	DragMove	(-3.4, -140.2, -4.0)	15:32:45.310
Penguin2	DragMove	(-3.4, -144.4, -4.0)	15:32:45.326
Penguin2	DragMove	(-3.4, -148.6, -4.0)	15:32:45.343
Penguin2	DragMove	(-3.4, -150.7, -4.0)	15:32:45.348
Penguin2	DragMove	(-3.4, -152.1, -4.0)	15:32:45.365
Penguin2	DragMove	(-3.4, -150.1, -4.0)	15:32:45.480
Penguin2	DragMove	(-5.5, -145.9, -4.0)	15:32:45.497
Penguin2	DragMove	(-7.6, -141.7, -4.0)	15:32:45.513
Penguin2	DragMove	(-9.7, -137.5, -4.0)	15:32:45.532
Penguin2	DragMove	(-22.3, -118.7, -4.0)	15:32:45.589
Penguin2	DragMove	(-24.4, -114.5, -4.0)	15:32:45.622
Penguin2	DragMove	(-27.1, -113.1, -4.0)	15:32:45.639
Penguin2	DragMove	(-29.2, -111.0, -4.0)	15:32:45.644
Penguin2	DragMove	(-32.0, -109.6, -4.0)	15:32:45.665
Penguin2	DragMove	(-34.1, -107.5, -4.0)	15:32:45.681
Penguin2	DragMove	(-36.2, -107.5, -4.0)	15:32:45.698
Penguin2	DragMove	(-42.5, -105.5, -4.0)	15:32:45.756
Penguin2	DragMove	(-43.9, -105.5, -4.0)	15:32:45.793
Penguin2	DragMove	(-45.3, -105.5, -4.0)	15:32:45.826
Penguin2	DragMove	(-46.7, -105.5, -4.0)	15:32:45.848
Penguin2	DragMove	(-50.9, -122.3, -4.0)	15:32:45.908
Penguin2	DragMove	(-50.9, -128.5, -4.0)	15:32:45.932
Penguin2	DragMove	(-50.9, -134.8, -4.0)	15:32:45.949
Penguin2	DragMove	(-50.9, -141.1, -4.0)	15:32:45.965
Penguin2	DragMove	(-50.9, -146.7, -4.0)	15:32:45.982
Penguin2	DragMove	(-50.9, -150.9, -4.0)	15:32:45.996
Penguin2	DragMove	(-50.9, -155.1, -4.0)	15:32:46.13
Penguin2	DragMove	(-50.9, -171.8, -4.0)	15:32:46.73
Penguin2	DragMove	(-50.9, -173.9, -4.0)	15:32:46.108
Penguin2	DragMove	(-49.5, -176.7, -4.0)	15:32:46.124
Penguin2	DragMove	(-49.5, -178.7, -4.0)	15:32:46.136
Penguin2	DragMove	(-49.5, -182.9, -4.0)	15:32:46.153
Penguin2	DragMove	(-49.5, -194.9, -4.0)	15:32:46.220
Penguin2	DragMove	(-49.5, -197.0, -4.0)	15:32:46.223
Penguin2	DragMove	(-49.5, -199.8, -4.0)	15:32:46.257
Penguin2	DragMove	(-49.5, -201.8, -4.0)	15:32:46.274
Penguin2	DragMove	(-49.5, -205.8, -4.0)	15:32:46.307
Penguin2	DragMove	(-49.5, -207.9, -4.0)	15:32:46.323
Penguin2	DragMove	(-49.5, -209.3, -4.0)	15:32:46.340
Penguin2	DragMove	(-53.0, -212.8, -4.0)	15:32:46.392
Penguin2	DragMove	(-54.3, -214.2, -4.0)	15:32:46.430
Penguin2	DragMove	(-56.4, -214.2, -4.0)	15:32:46.446
Penguin2	DragMove	(-58.4, -214.2, -4.0)	15:32:46.463
Penguin2	DragMove	(-62.6, -214.2, -4.0)	15:32:46.479
Penguin2	DragMove	(-64.7, -214.2, -4.0)	15:32:46.495
Penguin2	DragMove	(-74.4, -214.2, -4.0)	15:32:46.544
Penguin2	DragMove	(-76.5, -214.2, -4.0)	15:32:46.564
Penguin2	DragMove	(-77.9, -212.8, -4.0)	15:32:46.589
Penguin2	DragMove	(-79.3, -212.8, -4.0)	15:32:46.622
Penguin2	DragMove	(-79.3, -210.8, -4.0)	15:32:46.639
Penguin2	DragEnd	(-79.3, -210.8, -4.0)	15:32:46.800
Penguin1	FingerDown	(273.2, -79.9, -4.0)	15:32:47.496
Penguin1	DragBegin	(273.2, -79.9, -4.0)	15:32:47.682
Penguin1	DragMove	(255.5, -94.9, -4.0)	15:32:47.698
Penguin1	DragMove	(255.5, -92.9, -4.0)	15:32:47.715
Penguin1	DragMove	(247.1, -86.6, -4.0)	15:32:47.744
