Object	Action	Position	Time
Penguin2	FingerDown	(-30.9, -128.0, -4.0)	16:05:30.64
Penguin2	DragBegin	(-30.9, -128.0, -4.0)	16:05:30.330
Penguin2	DragMove	(-24.0, -131.7, -4.0)	16:05:30.362
Penguin2	DragMove	(-24.0, -129.6, -4.0)	16:05:30.379
Penguin2	DragMove	(-24.0, -127.5, -4.0)	16:05:30.395
Penguin2	DragMove	(-24.0, -125.4, -4.0)	16:05:30.412
Penguin2	DragMove	(-21.9, -123.4, -4.0)	16:05:30.428
Penguin2	DragMove	(-19.8, -121.3, -4.0)	16:05:30.445
Penguin2	DragMove	(-17.0, -118.5, -4.0)	16:05:30.461
Penguin2	DragMove	(-17.0, -116.5, -4.0)	16:05:30.478
Penguin2	DragMove	(-12.8, -114.4, -4.0)	16:05:30.495
Penguin2	DragMove	(-10.7, -112.3, -4.0)	16:05:30.511
Penguin2	DragMove	(-6.5, -110.9, -4.0)	16:05:30.527
Penguin2	DragMove	(-4.5, -106.7, -4.0)	16:05:30.544
Penguin2	DragMove	(-2.4, -104.6, -4.0)	16:05:30.561
Penguin2	DragMove	(6.0, -102.5, -4.0)	16:05:30.594
Penguin2	DragMove	(8.8, -102.5, -4.0)	16:05:30.628
Penguin2	DragMove	(10.8, -102.5, -4.0)	16:05:30.645
Penguin2	DragMove	(15.0, -102.5, -4.0)	16:05:30.661
Penguin2	DragMove	(17.8, -102.5, -4.0)	16:05:30.678
Penguin2	DragMove	(19.8, -102.5, -4.0)	16:05:30.695
Penguin2	DragMove	(21.9, -102.5, -4.0)	16:05:30.711
Penguin2	DragMove	(24.7, -103.9, -4.0)	16:05:30.728
Penguin2	DragMove	(26.7, -103.9, -4.0)	16:05:30.747
Penguin2	DragMove	(28.7, -107.9, -4.0)	16:05:30.780
Penguin2	DragMove	(30.1, -109.3, -4.0)	16:05:30.797
Penguin2	DragMove	(30.1, -107.3, -4.0)	16:05:30.963
Penguin2	DragMove	(30.1, -101.0, -4.0)	16:05:30.979
Penguin2	DragMove	(32.2, -96.8, -4.0)	16:05:30.996
Penguin2	DragMove	(32.2, -92.7, -4.0)	16:05:31.12
Penguin2	DragMove	(34.3, -88.5, -4.0)	16:05:31.29
Penguin2	DragMove	(38.4, -82.2, -4.0)	16:05:31.46
Penguin2	DragMove	(42.6, -80.1, -4.0)	16:05:31.80
Penguin2	DragMove	(45.4, -77.3, -4.0)	16:05:31.97
Penguin2	DragMove	(47.4, -77.3, -4.0)	16:05:31.113
Penguin2	DragMove	(51.6, -75.2, -4.0)	16:05:31.134
Penguin2	DragMove	(54.4, -75.2, -4.0)	16:05:31.147
Penguin2	DragMove	(56.4, -75.2, -4.0)	16:05:31.162
Penguin2	DragMove	(58.5, -75.2, -4.0)	16:05:31.180
Penguin2	DragMove	(64.6, -75.2, -4.0)	16:05:31.214
Penguin2	DragMove	(67.4, -75.2, -4.0)	16:05:31.249
Penguin2	DragMove	(69.5, -77.3, -4.0)	16:05:31.265
Penguin2	DragMove	(71.6, -81.5, -4.0)	16:05:31.281
Penguin2	DragMove	(73.7, -83.6, -4.0)	16:05:31.298
Penguin2	DragMove	(75.8, -85.7, -4.0)	16:05:31.315
Penguin2	DragMove	(75.8, -89.9, -4.0)	16:05:31.331
Penguin2	DragMove	(79.8, -91.9, -4.0)	16:05:31.379
Penguin2	DragMove	(79.8, -95.9, -4.0)	16:05:31.413
Penguin2	DragMove	(81.9, -95.9, -4.0)	16:05:31.446
Penguin2	DragMove	(83.9, -91.8, -4.0)	16:05:31.530
Penguin2	DragMove	(85.9, -91.8, -4.0)	16:05:31.564
Penguin2	DragMove	(88.0, -87.6, -4.0)	16:05:31.580
Penguin2	DragMove	(90.1, -85.5, -4.0)	16:05:31.597
Penguin2	DragMove	(94.3, -83.4, -4.0)	16:05:31.613
Penguin2	DragMove	(98.4, -82.0, -4.0)	16:05:31.631
Penguin2	DragMove	(100.5, -79.9, -4.0)	16:05:31.648
Penguin2	DragMove	(104.7, -79.9, -4.0)	16:05:31.663
Penguin2	DragMove	(106.7, -79.9, -4.0)	16:05:31.680
Penguin2	DragMove	(111.5, -79.9, -4.0)	16:05:31.699
Penguin2	DragMove	(114.3, -79.9, -4.0)	16:05:31.733
Penguin2	DragMove	(116.3, -79.9, -4.0)	16:05:31.749
Penguin2	DragMove	(118.4, -79.9, -4.0)	16:05:31.766
Penguin2	DragMove	(119.8, -79.9, -4.0)	16:05:31.782
Penguin2	DragMove	(121.2, -79.9, -4.0)	16:05:31.815
Penguin2	DragMove	(121.2, -82.0, -4.0)	16:05:31.832
Penguin2	DragMove	(123.2, -82.0, -4.0)	16:05:31.848
Penguin2	DragMove	(123.2, -83.4, -4.0)	16:05:31.881
Penguin2	DragMove	(124.6, -84.8, -4.0)	16:05:31.915
Penguin2	DragMove	(126.0, -84.8, -4.0)	16:05:31.964
Penguin2	DragEnd	(126.0, -84.8, -4.0)	16:05:32.132
Penguin1	FingerDown	(273.2, -79.9, -4.0)	16:05:32.785
Penguin1	DragBegin	(273.2, -79.9, -4.0)	16:05:33.53
Penguin1	DragMove	(259.8, -94.1, -4.0)	16:05:33.68
Penguin1	DragMove	(259.8, -87.9, -4.0)	16:05:33.103
Penguin1	DragMove	(259.8, -85.8, -4.0)	16:05:33.137
Penguin1	DragMove	(259.8, -83.7, -4.0)	16:05:33.153
Penguin1	DragMove	(259.8, -80.9, -4.0)	16:05:33.169
Penguin1	DragMove	(259.8, -78.1, -4.0)	16:05:33.187
Penguin1	DragMove	(259.8, -76.1, -4.0)	16:05:33.203
Penguin1	DragMove	(259.8, -70.5, -4.0)	16:05:33.235
Penguin1	DragMove	(259.8, -68.4, -4.0)	16:05:33.251
Penguin1	DragMove	(259.8, -67.0, -4.0)	16:05:33.318
Penguin1	DragMove	(261.9, -67.0, -4.0)	16:05:33.453
Penguin1	DragMove	(261.9, -69.1, -4.0)	16:05:33.469
Penguin1	DragMove	(264.0, -71.2, -4.0)	16:05:33.485
Penguin1	DragMove	(266.1, -71.2, -4.0)	16:05:33.502
Penguin1	DragMove	(267.4, -72.6, -4.0)	16:05:33.535
Penguin1	DragMove	(267.4, -70.6, -4.0)	16:05:33.670
Penguin1	DragMove	(267.4, -66.4, -4.0)	16:05:33.686
Penguin1	DragMove	(267.4, -62.2, -4.0)	16:05:33.703
Penguin1	DragMove	(267.4, -58.0, -4.0)	16:05:33.719
Penguin1	DragMove	(267.4, -45.5, -4.0)	16:05:33.751
Penguin1	DragMove	(266.1, -42.7, -4.0)	16:05:33.784
Penguin1	DragMove	(266.1, -40.6, -4.0)	16:05:33.818
Penguin1	DragMove	(266.1, -36.6, -4.0)	16:05:33.851
Penguin1	DragMove	(266.1, -38.6, -4.0)	16:05:34.19
Penguin1	DragMove	(266.1, -40.7, -4.0)	16:05:34.36
Penguin1	DragMove	(268.1, -45.6, -4.0)	16:05:34.52
Penguin1	DragMove	(269.5, -48.4, -4.0)	16:05:34.86
Penguin1	DragMove	(271.6, -50.5, -4.0)	16:05:34.102
Penguin1	DragMove	(271.6, -52.5, -4.0)	16:05:34.118
Penguin1	DragMove	(273.6, -54.6, -4.0)	16:05:34.135
Penguin1	DragMove	(273.6, -57.3, -4.0)	16:05:34.152
Penguin1	DragMove	(273.6, -59.4, -4.0)	16:05:34.168
Penguin1	DragMove	(275.7, -61.5, -4.0)	16:05:34.184
Penguin1	DragMove	(275.7, -62.9, -4.0)	16:05:34.202
Penguin1	DragMove	(275.7, -64.3, -4.0)	16:05:34.237
Penguin1	DragMove	(275.7, -65.7, -4.0)	16:05:34.287
Penguin1	DragEnd	(275.7, -65.7, -4.0)	16:05:34.421
Penguin2	FingerDown	(126.0, -84.8, -4.0)	16:05:35.89
Penguin2	DragBegin	(126.0, -84.8, -4.0)	16:05:35.239
Penguin2	DragMove	(128.8, -81.1, -4.0)	16:05:35.255
Penguin2	DragMove	(128.8, -79.1, -4.0)	16:05:35.271
Penguin2	DragMove	(128.8, -77.7, -4.0)	16:05:35.287
Penguin2	DragMove	(128.8, -75.7, -4.0)	16:05:35.304
Penguin2	DragMove	(128.8, -74.3, -4.0)	16:05:35.338
Penguin2	DragMove	(128.8, -72.9, -4.0)	16:05:35.372
Penguin2	DragMove	(128.8, -70.8, -4.0)	16:05:35.405
Penguin2	DragMove	(128.8, -69.4, -4.0)	16:05:35.439
Penguin2	DragMove	(128.8, -71.4, -4.0)	16:05:35.574
Penguin2	DragMove	(130.9, -75.6, -4.0)	16:05:35.591
Penguin2	DragMove	(130.9, -81.8, -4.0)	16:05:35.607
Penguin2	DragMove	(133.0, -88.1, -4.0)	16:05:35.624
Penguin2	DragMove	(135.1, -101.4, -4.0)	16:05:35.654
Penguin2	DragMove	(135.1, -103.4, -4.0)	16:05:35.688
Penguin2	DragMove	(136.5, -104.8, -4.0)	16:05:35.705
Penguin2	DragMove	(136.5, -102.8, -4.0)	16:05:35.806
Penguin2	DragMove	(136.5, -98.6, -4.0)	16:05:35.840
Penguin2	DragMove	(136.5, -94.4, -4.0)	16:05:35.857
Penguin2	DragMove	(136.5, -90.2, -4.0)	16:05:35.873
Penguin2	DragMove	(136.5, -86.0, -4.0)	16:05:35.890
Penguin2	DragMove	(136.5, -81.8, -4.0)	16:05:35.906
Penguin2	DragMove	(136.5, -77.7, -4.0)	16:05:35.923
Penguin2	DragMove	(136.5, -75.6, -4.0)	16:05:35.939
Penguin2	DragMove	(136.5, -72.8, -4.0)	16:05:35.955
Penguin2	DragMove	(136.5, -71.4, -4.0)	16:05:35.990
Penguin2	DragMove	(136.5, -73.4, -4.0)	16:05:36.141
Penguin2	DragMove	(136.5, -77.6, -4.0)	16:05:36.157
Penguin2	DragMove	(136.5, -81.8, -4.0)	16:05:36.174
Penguin2	DragMove	(138.5, -83.8, -4.0)	16:05:36.190
Penguin2	DragMove	(138.5, -87.9, -4.0)	16:05:36.206
Penguin2	DragMove	(138.5, -92.1, -4.0)	16:05:36.223
Penguin2	DragMove	(138.5, -96.3, -4.0)	16:05:36.239
Penguin2	DragMove	(138.5, -102.5, -4.0)	16:05:36.274
Penguin2	DragEnd	(138.5, -102.5, -4.0)	16:05:36.557
Penguin1	FingerDown	(275.7, -65.7, -4.0)	16:05:37.694
Penguin1	DragBegin	(275.7, -65.7, -4.0)	16:05:38.45
Penguin1	DragMove	(299.6, -108.1, -4.0)	16:05:38.78
Penguin1	DragMove	(301.7, -108.1, -4.0)	16:05:38.94
Penguin1	DragMove	(303.8, -108.1, -4.0)	16:05:38.111
Penguin1	DragMove	(305.9, -106.0, -4.0)	16:05:38.127
Penguin1	DragMove	(307.3, -106.0, -4.0)	16:05:38.143
Penguin1	DragMove	(308.7, -106.0, -4.0)	16:05:38.177
Penguin1	DragMove	(310.1, -106.0, -4.0)	16:05:38.194
Penguin1	DragMove	(316.4, -106.0, -4.0)	16:05:38.226
Penguin1	DragMove	(320.5, -106.0, -4.0)	16:05:38.260
Penguin1	DragMove	(322.6, -106.0, -4.0)	16:05:38.276
Penguin1	DragMove	(324.7, -106.0, -4.0)	16:05:38.293
Penguin1	DragMove	(326.8, -106.0, -4.0)	16:05:38.309
Penguin1	DragMove	(328.9, -106.0, -4.0)	16:05:38.327
Penguin1	DragMove	(330.3, -106.0, -4.0)	16:05:38.343
Penguin1	DragMove	(331.7, -108.1, -4.0)	16:05:38.378
Penguin1	DragMove	(333.8, -108.1, -4.0)	16:05:38.478
Penguin1	DragMove	(333.8, -106.7, -4.0)	16:05:38.544
Penguin1	DragMove	(333.8, -104.7, -4.0)	16:05:38.561
Penguin1	DragMove	(333.8, -102.6, -4.0)	16:05:38.578
Penguin1	DragMove	(335.9, -98.4, -4.0)	16:05:38.594
Penguin1	DragMove	(337.9, -92.4, -4.0)	16:05:38.627
Penguin1	DragMove	(339.9, -88.4, -4.0)	16:05:38.644
Penguin1	DragMove	(341.9, -88.4, -4.0)	16:05:38.660
Penguin1	DragMove	(344.7, -84.9, -4.0)	16:05:38.678
Penguin1	DragMove	(346.1, -84.9, -4.0)	16:05:38.729
Penguin1	DragMove	(347.5, -84.9, -4.0)	16:05:38.745
Penguin1	DragMove	(348.9, -84.9, -4.0)	16:05:38.778
Penguin1	DragMove	(348.9, -83.5, -4.0)	16:05:38.847
Penguin1	DragMove	(350.9, -81.5, -4.0)	16:05:38.946
Penguin1	DragMove	(350.9, -79.4, -4.0)	16:05:38.963
Penguin1	DragMove	(350.9, -77.3, -4.0)	16:05:38.979
Penguin1	DragMove	(355.1, -71.0, -4.0)	16:05:39.11
Penguin1	DragMove	(355.1, -68.9, -4.0)	16:05:39.44
Penguin1	DragMove	(356.5, -67.5, -4.0)	16:05:39.62
Penguin1	DragMove	(358.5, -67.5, -4.0)	16:05:39.78
Penguin1	DragMove	(359.9, -66.2, -4.0)	16:05:39.94
Penguin1	DragMove	(362.0, -66.2, -4.0)	16:05:39.111
Penguin1	DragMove	(364.1, -64.1, -4.0)	16:05:39.127
Penguin1	DragMove	(366.1, -64.1, -4.0)	16:05:39.144
Penguin1	DragMove	(367.5, -64.1, -4.0)	16:05:39.162
Penguin1	DragMove	(368.9, -64.1, -4.0)	16:05:39.196
Penguin1	DragMove	(370.3, -64.1, -4.0)	16:05:39.213
Penguin1	DragEnd	(370.3, -64.1, -4.0)	16:05:39.431
