Object	Action	Position	Time
Kid1	FingerDown	(-263.7, 119.5, -5.0)	11:20:24.645
Kid1	DragBegin	(-263.7, 119.5, -5.0)	11:20:24.945
Kid1	DragMove	(-270.0, 114.0, -5.0)	11:20:24.952
Kid1	DragMove	(-271.9, 121.7, -5.0)	11:20:24.963
Kid1	DragMove	(-273.9, 131.4, -5.0)	11:20:24.985
Kid1	DragMove	(-273.9, 141.2, -5.0)	11:20:25.1
Kid1	DragMove	(-275.1, 146.3, -5.0)	11:20:25.16
Kid1	DragMove	(-275.1, 150.2, -5.0)	11:20:25.33
Kid1	DragMove	(-276.4, 147.6, -5.0)	11:20:25.112
Kid1	DragMove	(-276.4, 139.9, -5.0)	11:20:25.119
Kid1	DragMove	(-276.4, 134.0, -5.0)	11:20:25.137
Kid1	DragMove	(-276.4, 126.3, -5.0)	11:20:25.147
Kid1	DragMove	(-276.4, 120.4, -5.0)	11:20:25.164
Kid1	DragMove	(-276.4, 116.5, -5.0)	11:20:25.184
Kid1	DragMove	(-276.4, 114.0, -5.0)	11:20:25.200
Kid1	DragMove	(-278.3, 117.8, -5.0)	11:20:25.285
Kid1	DragMove	(-280.2, 121.7, -5.0)	11:20:25.301
Kid1	DragMove	(-280.2, 129.5, -5.0)	11:20:25.318
Kid1	DragMove	(-280.2, 133.4, -5.0)	11:20:25.331
Kid1	DragMove	(-280.2, 139.2, -5.0)	11:20:25.348
Kid1	DragMove	(-280.2, 143.1, -5.0)	11:20:25.367
Kid1	DragMove	(-280.2, 147.0, -5.0)	11:20:25.386
Kid1	DragMove	(-280.2, 152.8, -5.0)	11:20:25.421
Kid1	DragMove	(-280.2, 154.1, -5.0)	11:20:25.448
Kid1	DragMove	(-280.2, 148.4, -5.0)	11:20:25.596
Kid1	DragMove	(-280.2, 140.6, -5.0)	11:20:25.603
Kid1	DragMove	(-280.2, 134.8, -5.0)	11:20:25.615
Kid1	DragMove	(-280.2, 128.9, -5.0)	11:20:25.632
Kid1	DragMove	(-280.2, 123.1, -5.0)	11:20:25.652
Kid1	DragMove	(-280.2, 119.2, -5.0)	11:20:25.668
Kid1	DragMove	(-280.2, 115.3, -5.0)	11:20:25.686
Kid1	DragMove	(-280.2, 113.4, -5.0)	11:20:25.699
Kid1	DragMove	(-282.1, 113.4, -5.0)	11:20:25.768
Kid1	DragMove	(-282.1, 115.2, -5.0)	11:20:25.785
Kid1	DragMove	(-282.1, 119.1, -5.0)	11:20:25.800
Kid1	DragMove	(-284.1, 123.0, -5.0)	11:20:25.816
Kid1	DragMove	(-284.1, 128.8, -5.0)	11:20:25.835
Kid1	DragMove	(-286.0, 134.7, -5.0)	11:20:25.852
Kid1	DragMove	(-286.0, 136.6, -5.0)	11:20:25.870
Kid1	DragMove	(-286.0, 138.6, -5.0)	11:20:25.905
Kid1	DragMove	(-286.0, 137.3, -5.0)	11:20:25.953
Kid1	DragMove	(-286.0, 135.3, -5.0)	11:20:25.969
Kid1	DragMove	(-286.0, 133.5, -5.0)	11:20:25.984
Kid1	DragMove	(-286.0, 131.5, -5.0)	11:20:26.0
Kid1	DragMove	(-286.0, 129.6, -5.0)	11:20:26.15
