Object	Action	Position	Time
Penguin1	FingerDown	(98.9, -149.0, -4.0)	15:36:01.513
Penguin1	DragBegin	(98.9, -149.0, -4.0)	15:36:01.994
Penguin1	DragMove	(92.4, -118.3, -4.0)	15:36:02.10
Penguin1	DragMove	(92.4, -114.1, -4.0)	15:36:02.26
Penguin1	DragMove	(92.4, -109.9, -4.0)	15:36:02.43
Penguin1	DragMove	(92.4, -94.5, -4.0)	15:36:02.91
Penguin1	DragMove	(92.4, -92.4, -4.0)	15:36:02.115
Penguin1	DragMove	(92.4, -90.4, -4.0)	15:36:02.132
Penguin1	DragMove	(92.4, -88.3, -4.0)	15:36:02.152
Penguin1	DragMove	(92.4, -86.2, -4.0)	15:36:02.168
Penguin1	DragMove	(92.4, -84.2, -4.0)	15:36:02.184
Penguin1	DragMove	(94.4, -84.2, -4.0)	15:36:02.243
Penguin1	DragMove	(95.8, -84.2, -4.0)	15:36:02.293
Penguin1	DragMove	(95.8, -88.4, -4.0)	15:36:02.309
Penguin1	DragMove	(97.9, -94.6, -4.0)	15:36:02.327
Penguin1	DragMove	(97.9, -100.9, -4.0)	15:36:02.331
Penguin1	DragMove	(100.0, -107.2, -4.0)	15:36:02.347
Penguin1	DragMove	(100.0, -126.0, -4.0)	15:36:02.408
Penguin1	DragMove	(100.0, -130.2, -4.0)	15:36:02.435
Penguin1	DragMove	(100.0, -131.6, -4.0)	15:36:02.452
Penguin1	DragMove	(100.0, -124.0, -4.0)	15:36:02.566
Penguin1	DragMove	(100.0, -115.7, -4.0)	15:36:02.588
Penguin1	DragMove	(100.0, -107.3, -4.0)	15:36:02.605
Penguin1	DragMove	(100.0, -101.0, -4.0)	15:36:02.622
Penguin1	DragMove	(100.0, -94.7, -4.0)	15:36:02.638
Penguin1	DragMove	(100.0, -91.9, -4.0)	15:36:02.654
Penguin1	DragMove	(100.0, -89.9, -4.0)	15:36:02.668
Penguin1	DragMove	(100.0, -88.5, -4.0)	15:36:02.724
Penguin1	DragMove	(102.0, -88.5, -4.0)	15:36:02.767
Penguin1	DragMove	(102.0, -89.9, -4.0)	15:36:02.801
Penguin1	DragMove	(102.0, -91.9, -4.0)	15:36:02.819
Penguin1	DragMove	(104.1, -106.6, -4.0)	15:36:02.874
Penguin1	DragMove	(104.1, -110.8, -4.0)	15:36:02.904
Penguin1	DragMove	(104.1, -115.0, -4.0)	15:36:02.920
Penguin1	DragMove	(104.1, -119.1, -4.0)	15:36:02.930
Penguin1	DragMove	(105.5, -124.7, -4.0)	15:36:02.947
Penguin1	DragMove	(105.5, -128.9, -4.0)	15:36:02.967
Penguin1	DragMove	(105.5, -133.1, -4.0)	15:36:02.984
Penguin1	DragMove	(107.6, -138.0, -4.0)	15:36:03.42
Penguin1	DragMove	(107.6, -136.0, -4.0)	15:36:03.375
Penguin1	DragMove	(107.6, -131.8, -4.0)	15:36:03.378
Penguin1	DragMove	(107.6, -127.6, -4.0)	15:36:03.404
Penguin1	DragMove	(107.6, -123.4, -4.0)	15:36:03.420
Penguin1	DragMove	(107.6, -119.2, -4.0)	15:36:03.436
Penguin1	DragMove	(107.6, -115.0, -4.0)	15:36:03.453
Penguin1	DragMove	(107.6, -111.0, -4.0)	15:36:03.526
Penguin1	DragMove	(107.6, -112.4, -4.0)	15:36:03.577
