Object	Action	Position	Time
Dragon1	FingerDown	(-96.9, -194.0, -5.0)	12:59:44.687
Dragon1	DragBegin	(-96.9, -194.0, -5.0)	12:59:45.161
Dragon1	DragMove	(-142.5, -203.0, -5.0)	12:59:45.177
Dragon1	DragMove	(-140.6, -197.2, -5.0)	12:59:45.194
Dragon1	DragMove	(-136.7, -189.4, -5.0)	12:59:45.211
Dragon1	DragMove	(-134.7, -185.5, -5.0)	12:59:45.227
Dragon1	DragMove	(-132.8, -179.7, -5.0)	12:59:45.244
Dragon1	DragMove	(-128.9, -175.8, -5.0)	12:59:45.260
Dragon1	DragMove	(-125.0, -171.9, -5.0)	12:59:45.277
Dragon1	DragMove	(-123.1, -170.0, -5.0)	12:59:45.293
Dragon1	DragMove	(-119.2, -168.0, -5.0)	12:59:45.310
Dragon1	DragMove	(-113.4, -164.1, -5.0)	12:59:45.326
Dragon1	DragMove	(-109.5, -162.2, -5.0)	12:59:45.360
Dragon1	DragMove	(-104.3, -159.6, -5.0)	12:59:45.377
Dragon1	DragMove	(-98.5, -155.7, -5.0)	12:59:45.393
Dragon1	DragMove	(-92.7, -153.8, -5.0)	12:59:45.410
Dragon1	DragMove	(-88.8, -149.9, -5.0)	12:59:45.426
Dragon1	DragMove	(-84.9, -148.0, -5.0)	12:59:45.443
Dragon1	DragMove	(-79.1, -146.0, -5.0)	12:59:45.459
Dragon1	DragMove	(-75.2, -146.0, -5.0)	12:59:45.476
Dragon1	DragMove	(-72.6, -144.7, -5.0)	12:59:45.493
Dragon1	DragMove	(-68.9, -144.7, -5.0)	12:59:45.510
Dragon1	DragMove	(-65.0, -142.8, -5.0)	12:59:45.526
Dragon1	DragMove	(-59.1, -140.8, -5.0)	12:59:45.542
Dragon1	DragMove	(-54.0, -138.2, -5.0)	12:59:45.558
Dragon1	DragMove	(-48.1, -134.3, -5.0)	12:59:45.576
Dragon1	DragMove	(-30.6, -128.5, -5.0)	12:59:45.596
Dragon1	DragMove	(-22.9, -126.6, -5.0)	12:59:45.630
Dragon1	DragMove	(-15.1, -122.7, -5.0)	12:59:45.647
Dragon1	DragMove	(-3.4, -120.8, -5.0)	12:59:45.663
Dragon1	DragMove	(2.4, -120.8, -5.0)	12:59:45.680
Dragon1	DragMove	(8.2, -118.8, -5.0)	12:59:45.697
Dragon1	DragMove	(14.0, -118.8, -5.0)	12:59:45.713
Dragon1	DragMove	(19.9, -118.8, -5.0)	12:59:45.729
Dragon1	DragMove	(27.6, -116.9, -5.0)	12:59:45.746
Dragon1	DragMove	(31.5, -116.9, -5.0)	12:59:45.779
Dragon1	DragMove	(35.4, -116.9, -5.0)	12:59:45.796
Dragon1	DragMove	(39.3, -116.9, -5.0)	12:59:45.812
Dragon1	DragMove	(43.2, -118.8, -5.0)	12:59:45.828
Dragon1	DragMove	(45.1, -122.7, -5.0)	12:59:45.846
Dragon1	DragMove	(49.0, -124.0, -5.0)	12:59:45.862
Dragon1	DragMove	(50.9, -124.0, -5.0)	12:59:45.878
Dragon1	DragMove	(54.7, -124.0, -5.0)	12:59:45.895
Dragon1	DragMove	(60.5, -124.0, -5.0)	12:59:45.911
Dragon1	DragMove	(64.4, -124.0, -5.0)	12:59:45.945
Dragon1	DragMove	(70.2, -120.1, -5.0)	12:59:45.961
Dragon1	DragMove	(76.0, -118.2, -5.0)	12:59:45.977
Dragon1	DragMove	(82.5, -115.6, -5.0)	12:59:45.995
Dragon1	DragMove	(88.3, -113.6, -5.0)	12:59:46.11
Dragon1	DragMove	(98.1, -113.6, -5.0)	12:59:46.28
Dragon1	DragMove	(107.8, -113.6, -5.0)	12:59:46.44
Dragon1	DragMove	(115.5, -113.6, -5.0)	12:59:46.61
Dragon1	DragMove	(125.2, -113.6, -5.0)	12:59:46.77
Dragon1	DragMove	(135.0, -113.6, -5.0)	12:59:46.94
Dragon1	DragMove	(140.8, -113.6, -5.0)	12:59:46.111
Dragon1	DragMove	(146.6, -113.6, -5.0)	12:59:46.127
Dragon1	DragMove	(152.5, -115.6, -5.0)	12:59:46.143
Dragon1	DragMove	(160.2, -117.5, -5.0)	12:59:46.160
Dragon1	DragMove	(168.0, -118.8, -5.0)	12:59:46.177
Dragon1	DragMove	(173.8, -120.8, -5.0)	12:59:46.194
Dragon1	DragMove	(181.6, -122.7, -5.0)	12:59:46.210
Dragon1	DragMove	(191.3, -122.7, -5.0)	12:59:46.226
Dragon1	DragMove	(201.0, -122.7, -5.0)	12:59:46.243
Dragon1	DragMove	(210.7, -122.7, -5.0)	12:59:46.259
Dragon1	DragMove	(220.4, -122.7, -5.0)	12:59:46.276
Dragon1	DragMove	(234.0, -118.8, -5.0)	12:59:46.293
Dragon1	DragMove	(243.8, -113.0, -5.0)	12:59:46.310
Dragon1	DragMove	(255.4, -109.1, -5.0)	12:59:46.326
Dragon1	DragMove	(265.1, -103.3, -5.0)	12:59:46.342
Dragon1	DragMove	(271.0, -99.4, -5.0)	12:59:46.359
Dragon1	DragMove	(278.7, -96.8, -5.0)	12:59:46.376
Dragon1	DragMove	(286.5, -92.9, -5.0)	12:59:46.392
Dragon1	DragMove	(290.4, -91.0, -5.0)	12:59:46.408
Dragon1	DragMove	(296.2, -91.0, -5.0)	12:59:46.425
Dragon1	DragMove	(300.1, -89.7, -5.0)	12:59:46.442
Dragon1	DragMove	(302.0, -89.7, -5.0)	12:59:46.458
Dragon1	DragMove	(307.8, -89.7, -5.0)	12:59:46.475
Dragon1	DragMove	(311.7, -89.7, -5.0)	12:59:46.492
Dragon1	DragMove	(315.6, -89.7, -5.0)	12:59:46.507
Dragon1	DragMove	(319.4, -89.7, -5.0)	12:59:46.525
Dragon1	DragMove	(323.3, -89.7, -5.0)	12:59:46.550
Dragon1	DragMove	(325.9, -91.0, -5.0)	12:59:46.567
Dragon1	DragMove	(328.5, -92.3, -5.0)	12:59:46.586
Dragon1	DragMove	(330.5, -92.3, -5.0)	12:59:46.603
Dragon1	DragMove	(331.7, -93.6, -5.0)	12:59:46.620
Dragon1	DragMove	(333.7, -95.5, -5.0)	12:59:46.636
Dragon1	DragMove	(335.6, -95.5, -5.0)	12:59:46.653
Dragon1	DragMove	(337.5, -95.5, -5.0)	12:59:46.669
Dragon1	DragMove	(339.4, -97.4, -5.0)	12:59:46.686
Dragon1	DragMove	(342.7, -97.4, -5.0)	12:59:46.718
Dragon1	DragMove	(342.7, -99.4, -5.0)	12:59:46.784
Dragon1	DragMove	(344.6, -99.4, -5.0)	12:59:46.819
Dragon1	DragMove	(345.9, -99.4, -5.0)	12:59:46.835
Dragon1	DragMove	(349.8, -99.4, -5.0)	12:59:46.852
Dragon1	DragMove	(357.6, -99.4, -5.0)	12:59:46.869
Dragon1	DragMove	(361.5, -97.4, -5.0)	12:59:46.886
Dragon1	DragMove	(367.3, -95.5, -5.0)	12:59:46.903
Dragon1	DragMove	(372.5, -95.5, -5.0)	12:59:46.920
Dragon1	DragMove	(372.5, -93.6, -5.0)	12:59:46.936
Dragon1	DragMove	(376.2, -93.6, -5.0)	12:59:46.970
Dragon1	DragMove	(377.5, -93.6, -5.0)	12:59:47.3
Dragon1	DragMove	(378.8, -93.6, -5.0)	12:59:47.86
Dragon1	DragMove	(380.7, -93.6, -5.0)	12:59:47.103
Dragon1	DragMove	(382.7, -93.6, -5.0)	12:59:47.119
Dragon1	DragMove	(386.5, -93.6, -5.0)	12:59:47.136
Dragon1	DragMove	(393.0, -92.3, -5.0)	12:59:47.153
Dragon1	DragMove	(402.7, -92.3, -5.0)	12:59:47.170
Dragon1	DragMove	(410.5, -88.5, -5.0)	12:59:47.187
Dragon1	DragMove	(416.3, -86.5, -5.0)	12:59:47.204
Dragon1	DragMove	(422.2, -84.6, -5.0)	12:59:47.220
Dragon1	DragMove	(424.1, -82.6, -5.0)	12:59:47.237
Dragon1	DragMove	(426.0, -82.6, -5.0)	12:59:47.254
Dragon1	DragEnd	(426.0, -82.6, -5.0)	12:59:47.270
Butterfly	FingerDown	(140.4, -85.7, -4.0)	12:59:48.416
Butterfly	DragBegin	(140.4, -85.7, -4.0)	12:59:48.733
Butterfly	DragMove	(136.1, -76.7, -4.0)	12:59:48.748
Butterfly	DragMove	(132.2, -68.9, -4.0)	12:59:48.765
Butterfly	DragMove	(130.3, -61.2, -4.0)	12:59:48.782
Butterfly	DragMove	(126.4, -53.4, -4.0)	12:59:48.798
Butterfly	DragMove	(122.5, -45.6, -4.0)	12:59:48.814
Butterfly	DragMove	(120.6, -37.9, -4.0)	12:59:48.831
Butterfly	DragMove	(118.6, -32.0, -4.0)	12:59:48.848
Butterfly	DragMove	(113.4, -23.7, -4.0)	12:59:48.882
Butterfly	DragMove	(111.5, -21.8, -4.0)	12:59:48.916
Butterfly	DragMove	(108.9, -20.5, -4.0)	12:59:48.933
Butterfly	DragMove	(107.0, -20.5, -4.0)	12:59:48.949
Butterfly	DragMove	(105.1, -18.6, -4.0)	12:59:48.966
Butterfly	DragMove	(102.5, -18.6, -4.0)	12:59:48.982
Butterfly	DragMove	(100.6, -18.6, -4.0)	12:59:48.999
Butterfly	DragMove	(96.8, -16.7, -4.0)	12:59:49.15
Butterfly	DragMove	(92.9, -14.7, -4.0)	12:59:49.32
Butterfly	DragMove	(87.7, -13.4, -4.0)	12:59:49.48
Butterfly	DragMove	(83.8, -13.4, -4.0)	12:59:49.65
Butterfly	DragMove	(78.0, -13.4, -4.0)	12:59:49.81
Butterfly	DragMove	(70.2, -13.4, -4.0)	12:59:49.98
Butterfly	DragMove	(64.4, -13.4, -4.0)	12:59:49.114
Butterfly	DragMove	(58.6, -15.4, -4.0)	12:59:49.131
Butterfly	DragMove	(52.7, -15.4, -4.0)	12:59:49.148
Butterfly	DragMove	(45.0, -19.2, -4.0)	12:59:49.164
Butterfly	DragMove	(41.1, -19.2, -4.0)	12:59:49.181
Butterfly	DragMove	(35.2, -23.1, -4.0)	12:59:49.197
Butterfly	DragMove	(29.4, -23.1, -4.0)	12:59:49.214
Butterfly	DragMove	(24.2, -25.7, -4.0)	12:59:49.231
Butterfly	DragMove	(18.4, -27.7, -4.0)	12:59:49.247
Butterfly	DragMove	(12.6, -27.7, -4.0)	12:59:49.264
Butterfly	DragMove	(10.6, -27.7, -4.0)	12:59:49.280
Butterfly	DragMove	(6.7, -27.7, -4.0)	12:59:49.297
Butterfly	DragMove	(4.2, -23.8, -4.0)	12:59:49.313
Butterfly	DragMove	(4.2, -21.9, -4.0)	12:59:49.330
Butterfly	DragMove	(2.2, -18.0, -4.0)	12:59:49.347
Butterfly	DragMove	(2.2, -14.2, -4.0)	12:59:49.363
Butterfly	DragMove	(2.2, -8.3, -4.0)	12:59:49.380
Butterfly	DragMove	(2.2, -3.1, -4.0)	12:59:49.397
Butterfly	DragMove	(2.2, 0.7, -4.0)	12:59:49.413
Butterfly	DragMove	(4.2, 8.5, -4.0)	12:59:49.430
Butterfly	DragMove	(6.1, 10.5, -4.0)	12:59:49.446
Butterfly	DragMove	(10.0, 14.3, -4.0)	12:59:49.463
Butterfly	DragMove	(11.9, 18.2, -4.0)	12:59:49.479
Butterfly	DragMove	(15.8, 22.1, -4.0)	12:59:49.495
Butterfly	DragMove	(25.5, 26.0, -4.0)	12:59:49.528
Butterfly	DragMove	(33.3, 26.0, -4.0)	12:59:49.545
Butterfly	DragMove	(39.1, 26.0, -4.0)	12:59:49.562
Butterfly	DragMove	(43.0, 26.0, -4.0)	12:59:49.578
Butterfly	DragMove	(48.8, 26.0, -4.0)	12:59:49.595
Butterfly	DragMove	(55.3, 24.7, -4.0)	12:59:49.629
Butterfly	DragMove	(61.1, 20.9, -4.0)	12:59:49.645
Butterfly	DragMove	(65.0, 18.3, -4.0)	12:59:49.662
Butterfly	DragMove	(67.0, 18.3, -4.0)	12:59:49.678
Butterfly	DragMove	(72.8, 16.4, -4.0)	12:59:49.695
Butterfly	DragMove	(76.7, 14.4, -4.0)	12:59:49.728
Butterfly	DragMove	(88.3, 14.4, -4.0)	12:59:49.745
Butterfly	DragMove	(92.2, 14.4, -4.0)	12:59:49.761
Butterfly	DragMove	(96.1, 14.4, -4.0)	12:59:49.778
Butterfly	DragMove	(100.0, 16.4, -4.0)	12:59:49.811
Butterfly	DragMove	(103.9, 18.3, -4.0)	12:59:49.827
Butterfly	DragMove	(107.8, 18.3, -4.0)	12:59:49.843
Butterfly	DragMove	(109.7, 22.2, -4.0)	12:59:49.861
Butterfly	DragMove	(113.4, 25.9, -4.0)	12:59:49.877
Butterfly	DragMove	(114.7, 28.5, -4.0)	12:59:49.910
Butterfly	DragMove	(116.0, 31.1, -4.0)	12:59:49.927
Butterfly	DragMove	(116.0, 33.0, -4.0)	12:59:49.943
Butterfly	DragMove	(116.0, 35.6, -4.0)	12:59:49.960
Butterfly	DragMove	(116.0, 37.4, -4.0)	12:59:49.976
Butterfly	DragMove	(116.0, 41.3, -4.0)	12:59:49.993
Butterfly	DragMove	(116.0, 43.2, -4.0)	12:59:50.10
Butterfly	DragMove	(116.0, 47.1, -4.0)	12:59:50.26
