Object	Action	Position	Time
Seal	FingerDown	(-392.4, -42.6, -4.0)	15:34:35.406
Seal	DragBegin	(-392.4, -42.6, -4.0)	15:34:35.920
Seal	DragMove	(-372.4, -52.1, -4.0)	15:34:35.936
Seal	DragMove	(-370.3, -45.8, -4.0)	15:34:35.945
Seal	DragMove	(-368.2, -43.7, -4.0)	15:34:35.966
Seal	DragMove	(-366.1, -37.4, -4.0)	15:34:35.982
Seal	DragMove	(-351.5, -22.8, -4.0)	15:34:36.41
Seal	DragMove	(-349.4, -20.7, -4.0)	15:34:36.75
Seal	DragMove	(-347.3, -16.5, -4.0)	15:34:36.91
Seal	DragMove	(-343.1, -14.4, -4.0)	15:34:36.108
Seal	DragMove	(-341.0, -10.2, -4.0)	15:34:36.113
Seal	DragMove	(-338.9, -8.1, -4.0)	15:34:36.130
Seal	DragMove	(-327.7, 3.0, -4.0)	15:34:36.197
Seal	DragMove	(-325.6, 5.1, -4.0)	15:34:36.231
Seal	DragMove	(-319.4, 9.3, -4.0)	15:34:36.246
Seal	DragMove	(-316.6, 12.1, -4.0)	15:34:36.268
Seal	DragMove	(-314.6, 12.1, -4.0)	15:34:36.286
Seal	DragMove	(-303.5, 21.2, -4.0)	15:34:36.341
Seal	DragMove	(-299.3, 23.3, -4.0)	15:34:36.361
Seal	DragMove	(-296.5, 24.7, -4.0)	15:34:36.386
Seal	DragMove	(-294.4, 26.8, -4.0)	15:34:36.402
Seal	DragMove	(-291.6, 28.2, -4.0)	15:34:36.418
Seal	DragMove	(-289.6, 30.2, -4.0)	15:34:36.435
Seal	DragMove	(-287.5, 32.3, -4.0)	15:34:36.445
Seal	DragMove	(-278.6, 37.8, -4.0)	15:34:36.506
Seal	DragMove	(-274.4, 37.8, -4.0)	15:34:36.540
Seal	DragMove	(-270.4, 39.8, -4.0)	15:34:36.556
Seal	DragMove	(-268.3, 39.8, -4.0)	15:34:36.573
Seal	DragMove	(-266.3, 39.8, -4.0)	15:34:36.590
Seal	DragMove	(-263.5, 39.8, -4.0)	15:34:36.606
Seal	DragMove	(-255.2, 39.8, -4.0)	15:34:36.657
Seal	DragMove	(-253.1, 39.8, -4.0)	15:34:36.686
Seal	DragMove	(-248.9, 39.8, -4.0)	15:34:36.697
Seal	DragMove	(-246.8, 37.8, -4.0)	15:34:36.713
Seal	DragMove	(-244.0, 36.4, -4.0)	15:34:36.730
Seal	DragMove	(-241.9, 34.3, -4.0)	15:34:36.749
Seal	DragMove	(-232.9, 25.2, -4.0)	15:34:36.807
Seal	DragMove	(-230.8, 23.1, -4.0)	15:34:36.841
Seal	DragMove	(-229.4, 21.7, -4.0)	15:34:36.869
Seal	DragMove	(-227.3, 21.7, -4.0)	15:34:36.886
Seal	DragMove	(-225.9, 18.9, -4.0)	15:34:36.903
