Object	Action	Position	Time
Hat	FingerDown	(-336.2, -84.8, -6.0)	15:34:11.15
Hat	FingerDown	(-336.2, -84.8, -6.0)	15:34:13.264
Hat	DragBegin	(-336.2, -84.8, -6.0)	15:34:13.416
Hat	DragMove	(-318.6, -50.3, -6.0)	15:34:13.432
Hat	DragMove	(-297.6, -23.1, -6.0)	15:34:13.449
Hat	DragMove	(-268.3, 7.6, -6.0)	15:34:13.465
Hat	DragMove	(-236.9, 32.7, -6.0)	15:34:13.481
Hat	DragMove	(-170.0, 68.3, -6.0)	15:34:13.517
Hat	DragEnd	(-170.0, 68.3, -6.0)	15:34:13.613
Penguin2	FingerDown	(-372.6, -118.6, -4.0)	15:34:14.217
Penguin2	DragBegin	(-372.6, -118.6, -4.0)	15:34:14.314
Penguin2	DragMove	(-387.7, -157.2, -4.0)	15:34:14.351
Penguin2	DragMove	(-387.7, -165.6, -4.0)	15:34:14.368
Penguin2	DragMove	(-387.7, -174.0, -4.0)	15:34:14.384
Penguin2	DragMove	(-387.7, -182.4, -4.0)	15:34:14.401
Penguin2	DragMove	(-387.7, -190.7, -4.0)	15:34:14.417
Penguin2	DragMove	(-379.4, -215.8, -4.0)	15:34:14.453
Penguin2	DragMove	(-375.2, -224.2, -4.0)	15:34:14.478
Penguin2	DragMove	(-366.8, -230.5, -4.0)	15:34:14.496
Penguin2	DragMove	(-360.5, -238.9, -4.0)	15:34:14.512
Penguin2	DragMove	(-348.0, -247.2, -4.0)	15:34:14.529
Penguin2	DragMove	(-337.5, -255.6, -4.0)	15:34:14.545
Penguin2	DragMove	(-324.9, -264.0, -4.0)	15:34:14.554
Penguin2	DragMove	(-314.5, -272.3, -4.0)	15:34:14.570
Penguin2	DragMove	(-274.7, -295.4, -4.0)	15:34:14.630
Penguin2	DragMove	(-270.5, -297.5, -4.0)	15:34:14.667
Penguin2	DragMove	(-262.1, -299.6, -4.0)	15:34:14.684
Penguin2	DragMove	(-255.9, -301.6, -4.0)	15:34:14.700
Penguin2	DragMove	(-251.7, -301.6, -4.0)	15:34:14.717
Penguin2	DragMove	(-245.4, -301.6, -4.0)	15:34:14.722
Penguin2	DragMove	(-224.5, -301.6, -4.0)	15:34:14.782
Penguin2	DragEnd	(-224.5, -301.6, -4.0)	15:34:14.949
Penguin2	FingerDown	(-224.5, -301.6, -4.0)	15:34:16.862
Penguin2	DragBegin	(-224.5, -301.6, -4.0)	15:34:17.2
Penguin2	DragMove	(-251.0, -315.5, -4.0)	15:34:17.39
Penguin2	DragMove	(-253.8, -315.5, -4.0)	15:34:17.55
Penguin2	DragMove	(-255.8, -315.5, -4.0)	15:34:17.73
Penguin2	DragMove	(-264.1, -311.3, -4.0)	15:34:17.89
Penguin2	DragMove	(-269.6, -307.9, -4.0)	15:34:17.145
Penguin2	DragMove	(-272.4, -307.9, -4.0)	15:34:17.183
Penguin2	DragMove	(-275.2, -306.5, -4.0)	15:34:17.199
Penguin2	DragMove	(-277.3, -304.4, -4.0)	15:34:17.216
Penguin2	DragMove	(-279.4, -304.4, -4.0)	15:34:17.233
Penguin2	DragMove	(-281.5, -302.3, -4.0)	15:34:17.241
Penguin2	DragMove	(-283.6, -302.3, -4.0)	15:34:17.258
Penguin2	DragMove	(-290.6, -296.8, -4.0)	15:34:17.318
Penguin2	DragMove	(-292.7, -296.8, -4.0)	15:34:17.355
Penguin2	DragMove	(-292.7, -292.6, -4.0)	15:34:17.371
Penguin2	DragMove	(-296.9, -290.5, -4.0)	15:34:17.388
Penguin2	DragMove	(-296.9, -288.4, -4.0)	15:34:17.405
Penguin2	DragMove	(-299.6, -285.6, -4.0)	15:34:17.410
Penguin2	DragMove	(-308.7, -276.6, -4.0)	15:34:17.469
Penguin2	DragMove	(-310.7, -274.6, -4.0)	15:34:17.498
Penguin2	DragMove	(-312.8, -274.6, -4.0)	15:34:17.510
Penguin2	DragEnd	(-312.8, -274.6, -4.0)	15:34:17.578
Seal	FingerDown	(-526.1, -95.2, -4.0)	15:34:19.730
Seal	DragBegin	(-526.1, -95.2, -4.0)	15:34:20.171
Seal	DragMove	(-493.2, -112.1, -4.0)	15:34:20.177
Seal	DragMove	(-491.2, -112.1, -4.0)	15:34:20.211
Seal	DragMove	(-487.1, -112.1, -4.0)	15:34:20.228
Seal	DragMove	(-484.3, -112.1, -4.0)	15:34:20.244
Seal	DragMove	(-482.3, -112.1, -4.0)	15:34:20.261
Seal	DragMove	(-478.1, -112.1, -4.0)	15:34:20.278
Seal	DragMove	(-471.1, -112.1, -4.0)	15:34:20.323
Seal	DragMove	(-467.0, -110.1, -4.0)	15:34:20.357
Seal	DragMove	(-463.0, -108.1, -4.0)	15:34:20.386
Seal	DragMove	(-460.2, -106.7, -4.0)	15:34:20.403
Seal	DragMove	(-458.1, -106.7, -4.0)	15:34:20.419
Seal	DragMove	(-456.0, -104.7, -4.0)	15:34:20.436
Seal	DragMove	(-445.5, -96.3, -4.0)	15:34:20.493
Seal	DragMove	(-443.5, -96.3, -4.0)	15:34:20.523
Seal	DragMove	(-439.4, -92.3, -4.0)	15:34:20.556
Seal	DragMove	(-438.0, -90.9, -4.0)	15:34:20.573
Seal	DragMove	(-435.9, -90.9, -4.0)	15:34:20.589
Seal	DragMove	(-434.6, -89.5, -4.0)	15:34:20.606
Seal	DragMove	(-431.2, -86.1, -4.0)	15:34:20.657
Seal	DragMove	(-431.2, -84.0, -4.0)	15:34:20.661
Seal	DragMove	(-427.1, -84.0, -4.0)	15:34:20.712
Seal	DragMove	(-427.1, -81.9, -4.0)	15:34:20.728
Seal	DragMove	(-423.1, -79.9, -4.0)	15:34:20.761
Seal	DragMove	(-419.6, -77.1, -4.0)	15:34:20.806
Seal	DragMove	(-419.6, -75.1, -4.0)	15:34:20.809
Seal	DragMove	(-417.6, -73.0, -4.0)	15:34:20.833
Seal	DragMove	(-417.6, -71.6, -4.0)	15:34:20.850
Seal	DragMove	(-415.5, -71.6, -4.0)	15:34:20.866
Seal	DragMove	(-415.5, -68.8, -4.0)	15:34:20.883
Seal	DragMove	(-413.5, -66.7, -4.0)	15:34:20.900
Seal	DragMove	(-411.4, -64.6, -4.0)	15:34:20.918
Seal	DragMove	(-409.4, -59.2, -4.0)	15:34:20.973
Seal	DragMove	(-407.3, -59.2, -4.0)	15:34:20.977
Seal	DragMove	(-407.3, -57.8, -4.0)	15:34:21.11
Seal	DragMove	(-405.3, -55.7, -4.0)	15:34:21.27
Seal	DragMove	(-405.3, -54.3, -4.0)	15:34:21.61
Seal	DragMove	(-403.9, -51.5, -4.0)	15:34:21.65
Seal	DragMove	(-402.5, -48.8, -4.0)	15:34:21.86
Seal	DragMove	(-398.4, -44.6, -4.0)	15:34:21.145
Seal	DragMove	(-394.4, -44.6, -4.0)	15:34:21.171
Seal	DragMove	(-392.4, -42.6, -4.0)	15:34:21.217
Seal	DragEnd	(-392.4, -42.6, -4.0)	15:34:21.617
