Object	Action	Position	Time
Alien1	FingerDown	(209.2, 225.7, -3.0)	14:28:56.432
Alien1	DragBegin	(209.2, 225.7, -3.0)	14:28:56.647
Alien1	DragMove	(207.2, 210.3, -3.0)	14:28:56.663
Alien1	DragMove	(205.2, 204.5, -3.0)	14:28:56.683
Alien1	DragMove	(205.2, 200.6, -3.0)	14:28:56.699
Alien1	DragMove	(205.2, 198.0, -3.0)	14:28:56.714
Alien1	DragMove	(205.2, 194.3, -3.0)	14:28:56.731
Alien1	DragMove	(203.3, 186.5, -3.0)	14:28:56.758
Alien1	DragMove	(203.3, 182.7, -3.0)	14:28:56.783
Alien1	DragMove	(201.3, 180.7, -3.0)	14:28:56.798
Alien1	DragMove	(201.3, 176.8, -3.0)	14:28:56.815
Alien1	DragMove	(201.3, 174.9, -3.0)	14:28:56.830
Alien1	DragMove	(199.4, 172.9, -3.0)	14:28:56.847
Alien1	DragMove	(197.5, 171.0, -3.0)	14:28:56.867
Alien1	DragMove	(197.5, 169.7, -3.0)	14:28:56.884
Alien1	DragMove	(197.5, 168.4, -3.0)	14:28:56.915
Alien1	DragMove	(197.5, 167.1, -3.0)	14:28:56.947
Alien1	DragMove	(195.5, 167.1, -3.0)	14:28:57.14
Alien1	DragMove	(195.5, 171.0, -3.0)	14:28:57.31
Alien1	DragMove	(193.6, 194.3, -3.0)	14:28:57.75
Alien1	DragMove	(191.6, 204.0, -3.0)	14:28:57.104
Alien1	DragMove	(191.6, 209.9, -3.0)	14:28:57.114
Alien1	DragMove	(191.6, 213.7, -3.0)	14:28:57.131
Alien1	DragMove	(189.7, 215.7, -3.0)	14:28:57.146
Alien1	DragMove	(189.7, 210.1, -3.0)	14:28:57.226
Alien1	DragMove	(187.7, 200.4, -3.0)	14:28:57.251
Alien1	DragMove	(187.7, 194.6, -3.0)	14:28:57.266
Alien1	DragMove	(187.7, 186.8, -3.0)	14:28:57.283
Alien1	DragMove	(187.7, 181.6, -3.0)	14:28:57.298
Alien1	DragMove	(185.9, 181.6, -3.0)	14:28:57.315
Alien1	DragMove	(184.6, 177.9, -3.0)	14:28:57.379
Alien1	DragMove	(183.3, 179.2, -3.0)	14:28:57.415
Alien1	DragMove	(183.3, 181.0, -3.0)	14:28:57.435
Alien1	DragMove	(181.3, 192.7, -3.0)	14:28:57.451
Alien1	DragMove	(181.3, 200.5, -3.0)	14:28:57.467
Alien1	DragMove	(181.3, 208.2, -3.0)	14:28:57.482
Alien1	DragMove	(179.4, 214.1, -3.0)	14:28:57.499
Alien1	DragMove	(177.5, 219.9, -3.0)	14:28:57.542
Alien1	DragMove	(173.7, 219.9, -3.0)	14:28:58.40
Alien1	DragMove	(171.8, 219.9, -3.0)	14:28:58.51
Alien1	DragMove	(169.2, 219.9, -3.0)	14:28:58.67
Alien1	DragMove	(167.3, 219.9, -3.0)	14:28:58.82
Alien1	DragMove	(165.4, 219.9, -3.0)	14:28:58.99
Alien1	DragMove	(164.1, 218.6, -3.0)	14:28:58.119
Alien1	DragMove	(159.6, 215.4, -3.0)	14:28:58.162
Alien1	DragMove	(159.6, 214.1, -3.0)	14:28:58.187
Alien1	DragMove	(157.7, 214.1, -3.0)	14:28:58.202
Alien1	DragMove	(157.7, 212.2, -3.0)	14:28:58.219
Alien1	DragMove	(155.8, 210.3, -3.0)	14:28:58.235
Alien1	DragMove	(155.8, 208.3, -3.0)	14:28:58.251
Alien1	DragMove	(151.9, 206.4, -3.0)	14:28:58.266
Alien1	DragMove	(151.9, 205.1, -3.0)	14:28:58.283
Alien1	DragMove	(149.9, 203.2, -3.0)	14:28:58.331
Alien1	DragMove	(151.9, 209.0, -3.0)	14:28:58.478
Alien1	DragMove	(153.8, 212.9, -3.0)	14:28:58.508
Alien1	DragMove	(157.7, 216.7, -3.0)	14:28:58.518
Alien1	DragMove	(159.6, 218.7, -3.0)	14:28:58.535
Alien1	DragMove	(162.2, 220.0, -3.0)	14:28:58.550
Alien1	DragMove	(164.2, 223.9, -3.0)	14:28:58.567
Alien1	DragMove	(166.1, 223.9, -3.0)	14:28:58.587
Alien1	DragMove	(168.1, 225.8, -3.0)	14:28:58.604
Alien1	DragMove	(168.1, 227.7, -3.0)	14:28:58.619
Alien1	DragMove	(170.7, 227.7, -3.0)	14:28:58.635
Alien1	DragMove	(172.5, 229.6, -3.0)	14:28:58.650
Alien1	DragMove	(174.5, 231.6, -3.0)	14:28:58.671
Alien1	DragMove	(176.4, 231.6, -3.0)	14:28:58.687
Alien1	DragMove	(178.3, 233.5, -3.0)	14:28:58.702
Alien1	DragMove	(179.6, 234.8, -3.0)	14:28:58.719
Alien1	DragEnd	(179.6, 234.8, -3.0)	14:28:58.946
Alien1	FingerDown	(179.6, 234.8, -3.0)	14:28:59.472
Alien1	DragBegin	(179.6, 234.8, -3.0)	14:28:59.768
Alien1	DragMove	(168.0, 227.1, -3.0)	14:28:59.791
Alien1	DragMove	(162.2, 227.1, -3.0)	14:28:59.802
Alien1	DragMove	(158.3, 227.1, -3.0)	14:28:59.823
Alien1	DragMove	(154.4, 227.1, -3.0)	14:28:59.838
Alien1	DragMove	(150.5, 227.1, -3.0)	14:28:59.855
Alien1	DragMove	(142.1, 227.1, -3.0)	14:28:59.898
Alien1	DragMove	(140.1, 227.1, -3.0)	14:28:59.918
Alien1	DragMove	(138.3, 227.1, -3.0)	14:28:59.943
Alien1	DragMove	(140.1, 227.1, -3.0)	14:29:00.86
Alien1	DragMove	(142.1, 227.1, -3.0)	14:29:00.106
Alien1	DragMove	(144.0, 227.1, -3.0)	14:29:00.123
Alien1	DragMove	(145.9, 227.1, -3.0)	14:29:00.138
Alien1	DragMove	(149.8, 227.1, -3.0)	14:29:00.155
Alien1	DragMove	(155.6, 227.1, -3.0)	14:29:00.170
Alien1	DragMove	(165.3, 225.2, -3.0)	14:29:00.214
Alien1	DragMove	(169.2, 225.2, -3.0)	14:29:00.234
Alien1	DragMove	(173.1, 223.2, -3.0)	14:29:00.255
Alien1	DragMove	(175.7, 223.2, -3.0)	14:29:00.270
Alien1	DragMove	(179.6, 223.2, -3.0)	14:29:00.287
Alien1	DragMove	(183.4, 223.2, -3.0)	14:29:00.306
Alien1	DragMove	(187.3, 223.2, -3.0)	14:29:00.323
Alien1	DragMove	(189.3, 223.2, -3.0)	14:29:00.338
Alien1	DragMove	(191.9, 223.2, -3.0)	14:29:00.355
Alien1	DragMove	(193.7, 223.2, -3.0)	14:29:00.370
Alien1	DragMove	(196.3, 223.2, -3.0)	14:29:00.387
Alien1	DragMove	(198.3, 223.2, -3.0)	14:29:00.406
