Object	Action	Position	Time
Bird	FingerDown	(-301.4, -258.0, -5.0)	12:52:05.44
Bird	DragBegin	(-301.4, -258.0, -5.0)	12:52:05.497
Bird	DragMove	(-257.0, -193.9, -5.0)	12:52:05.513
Bird	DragMove	(-253.1, -190.0, -5.0)	12:52:05.529
Bird	DragMove	(-251.2, -184.2, -5.0)	12:52:05.545
Bird	DragMove	(-249.2, -178.4, -5.0)	12:52:05.563
Bird	DragMove	(-247.9, -174.5, -5.0)	12:52:05.579
Bird	DragMove	(-247.9, -172.5, -5.0)	12:52:05.596
Bird	DragMove	(-247.9, -170.6, -5.0)	12:52:05.612
Bird	DragMove	(-246.1, -166.8, -5.0)	12:52:05.633
Bird	DragMove	(-246.1, -164.2, -5.0)	12:52:05.667
Bird	DragMove	(-246.1, -159.8, -5.0)	12:52:05.684
Bird	DragMove	(-244.1, -155.9, -5.0)	12:52:05.717
Bird	DragMove	(-244.1, -152.0, -5.0)	12:52:05.734
Bird	DragMove	(-242.8, -146.8, -5.0)	12:52:05.750
Bird	DragMove	(-242.8, -144.9, -5.0)	12:52:05.767
Bird	DragMove	(-240.9, -137.2, -5.0)	12:52:05.783
Bird	DragMove	(-240.9, -135.2, -5.0)	12:52:05.817
Bird	DragMove	(-240.9, -132.6, -5.0)	12:52:05.850
Bird	DragMove	(-240.9, -134.6, -5.0)	12:52:05.899
Bird	DragMove	(-240.9, -136.4, -5.0)	12:52:05.916
Bird	DragMove	(-240.9, -142.3, -5.0)	12:52:05.933
Bird	DragMove	(-244.8, -148.1, -5.0)	12:52:05.949
Bird	DragMove	(-244.8, -152.0, -5.0)	12:52:05.966
Bird	DragMove	(-246.7, -155.9, -5.0)	12:52:05.982
Bird	DragMove	(-248.7, -159.8, -5.0)	12:52:05.998
Bird	DragMove	(-250.6, -163.6, -5.0)	12:52:06.16
Bird	DragMove	(-251.9, -168.8, -5.0)	12:52:06.32
Bird	DragMove	(-251.9, -172.7, -5.0)	12:52:06.49
Bird	DragMove	(-251.9, -174.7, -5.0)	12:52:06.65
Bird	DragMove	(-251.9, -175.9, -5.0)	12:52:06.82
Bird	DragEnd	(-251.9, -175.9, -5.0)	12:52:06.680
Bird	FingerDown	(-251.9, -175.9, -5.0)	12:52:07.564
Bird	DragBegin	(-251.9, -175.9, -5.0)	12:52:07.854
Bird	DragMove	(-248.1, -173.0, -5.0)	12:52:07.870
Bird	DragMove	(-244.2, -157.5, -5.0)	12:52:07.888
Bird	DragMove	(-242.3, -147.8, -5.0)	12:52:07.904
Bird	DragMove	(-238.4, -138.1, -5.0)	12:52:07.920
Bird	DragMove	(-236.4, -132.2, -5.0)	12:52:07.937
Bird	DragMove	(-234.6, -130.4, -5.0)	12:52:07.970
