Object	Action	Position	Time
Kid1	FingerDown	(227.1, 144.6, -5.0)	11:07:37.672
Kid1	DragBegin	(227.1, 144.6, -5.0)	11:07:38.53
Kid1	DragMove	(213.2, 168.1, -5.0)	11:07:38.83
Kid1	DragMove	(213.2, 186.9, -5.0)	11:07:38.115
Kid1	DragMove	(213.2, 198.6, -5.0)	11:07:38.147
Kid1	DragMove	(213.2, 202.5, -5.0)	11:07:38.163
Kid1	DragMove	(213.2, 206.4, -5.0)	11:07:38.183
Kid1	DragMove	(213.2, 210.2, -5.0)	11:07:38.223
Kid1	DragMove	(213.2, 214.0, -5.0)	11:07:38.247
Kid1	DragMove	(213.2, 215.3, -5.0)	11:07:38.280
Kid1	DragMove	(213.2, 216.6, -5.0)	11:07:38.299
Kid1	DragMove	(215.0, 216.6, -5.0)	11:07:38.447
Kid1	DragMove	(215.0, 210.7, -5.0)	11:07:38.467
Kid1	DragMove	(215.0, 206.8, -5.0)	11:07:38.485
Kid1	DragMove	(215.0, 199.1, -5.0)	11:07:38.502
Kid1	DragMove	(215.0, 185.5, -5.0)	11:07:38.536
Kid1	DragMove	(215.0, 175.8, -5.0)	11:07:38.567
Kid1	DragMove	(213.1, 173.8, -5.0)	11:07:38.599
Kid1	DragMove	(213.1, 175.1, -5.0)	11:07:38.647
Kid1	DragMove	(211.1, 182.9, -5.0)	11:07:38.667
Kid1	DragMove	(209.8, 195.2, -5.0)	11:07:38.707
Kid1	DragMove	(207.9, 201.0, -5.0)	11:07:38.715
Kid1	DragMove	(207.9, 204.9, -5.0)	11:07:38.732
Kid1	DragMove	(207.9, 207.5, -5.0)	11:07:38.767
Kid1	DragMove	(206.0, 205.6, -5.0)	11:07:38.816
Kid1	DragMove	(206.0, 203.8, -5.0)	11:07:38.831
Kid1	DragMove	(206.0, 196.0, -5.0)	11:07:38.875
Kid1	DragMove	(204.1, 192.1, -5.0)	11:07:38.883
Kid1	DragMove	(204.1, 186.3, -5.0)	11:07:38.915
Kid1	DragMove	(204.1, 182.6, -5.0)	11:07:38.952
Kid1	DragMove	(204.1, 181.3, -5.0)	11:07:38.983
Kid1	DragEnd	(204.1, 181.3, -5.0)	11:07:39.42
Dog	FingerDown	(393.3, 40.4, -5.0)	11:07:39.640
Dog	DragBegin	(393.3, 40.4, -5.0)	11:07:39.768
Dog	DragMove	(350.8, 69.6, -5.0)	11:07:39.807
Dog	DragMove	(350.8, 79.3, -5.0)	11:07:39.824
Dog	DragMove	(350.8, 87.1, -5.0)	11:07:39.837
Dog	DragMove	(350.8, 93.0, -5.0)	11:07:39.855
Dog	DragMove	(350.8, 98.8, -5.0)	11:07:39.867
Dog	DragMove	(350.8, 107.8, -5.0)	11:07:39.903
Dog	DragMove	(350.8, 113.7, -5.0)	11:07:39.935
Dog	DragMove	(354.5, 113.7, -5.0)	11:07:40.21
Dog	DragMove	(354.5, 112.4, -5.0)	11:07:40.51
Dog	DragMove	(354.5, 110.5, -5.0)	11:07:40.76
Dog	DragMove	(356.4, 104.7, -5.0)	11:07:40.87
Dog	DragMove	(358.4, 89.1, -5.0)	11:07:40.127
Dog	DragMove	(360.3, 74.3, -5.0)	11:07:40.151
Dog	DragMove	(360.3, 68.4, -5.0)	11:07:40.167
Dog	DragMove	(361.6, 65.8, -5.0)	11:07:40.187
Dog	DragMove	(361.6, 64.5, -5.0)	11:07:40.222
Dog	DragMove	(363.5, 70.1, -5.0)	11:07:40.291
Dog	DragMove	(363.5, 74.0, -5.0)	11:07:40.299
Dog	DragMove	(365.4, 79.8, -5.0)	11:07:40.319
Dog	DragMove	(366.7, 83.7, -5.0)	11:07:40.334
Dog	DragMove	(368.7, 85.7, -5.0)	11:07:40.351
Dog	DragMove	(371.9, 85.7, -5.0)	11:07:40.387
Dog	DragMove	(373.8, 85.7, -5.0)	11:07:40.419
Dog	DragMove	(375.1, 83.7, -5.0)	11:07:40.456
Dog	DragMove	(377.1, 74.0, -5.0)	11:07:40.489
Dog	DragMove	(379.0, 66.2, -5.0)	11:07:40.506
Dog	DragMove	(379.0, 52.0, -5.0)	11:07:40.535
Dog	DragMove	(381.0, 44.2, -5.0)	11:07:40.551
Dog	DragMove	(381.0, 38.4, -5.0)	11:07:40.571
Dog	DragMove	(382.9, 26.7, -5.0)	11:07:40.611
Dog	DragMove	(382.9, 20.3, -5.0)	11:07:40.635
Dog	DragMove	(382.9, 18.4, -5.0)	11:07:40.651
Dog	DragMove	(382.9, 17.1, -5.0)	11:07:40.671
Dog	DragMove	(384.9, 15.2, -5.0)	11:07:40.703
Dog	DragEnd	(384.9, 15.2, -5.0)	11:07:40.803
