Object	Action	Position	Time
Dino2	FingerDown	(-131.6, -164.4, -4.0)	12:47:02.685
Dino2	DragBegin	(-131.6, -164.4, -4.0)	12:47:03.77
Dino2	DragMove	(-96.6, -180.5, -4.0)	12:47:03.92
Dino2	DragMove	(-71.3, -178.6, -4.0)	12:47:03.150
Dino2	DragMove	(-67.4, -178.6, -4.0)	12:47:03.152
Dino2	DragMove	(-61.6, -178.6, -4.0)	12:47:03.181
Dino2	DragMove	(-56.0, -182.3, -4.0)	12:47:03.209
Dino2	DragMove	(-52.8, -188.2, -4.0)	12:47:03.236
Dino2	DragMove	(-49.5, -191.4, -4.0)	12:47:03.300
Dino2	DragMove	(-48.2, -191.4, -4.0)	12:47:03.304
Dino2	DragMove	(-47.0, -191.4, -4.0)	12:47:03.324
Dino2	DragMove	(-45.0, -191.4, -4.0)	12:47:03.341
Dino2	DragMove	(-43.1, -189.5, -4.0)	12:47:03.357
Dino2	DragMove	(-39.3, -185.6, -4.0)	12:47:03.376
Dino2	DragMove	(-34.1, -180.5, -4.0)	12:47:03.393
Dino2	DragMove	(-28.3, -178.5, -4.0)	12:47:03.408
Dino2	DragMove	(-14.7, -176.6, -4.0)	12:47:03.461
Dino2	DragMove	(-10.8, -176.6, -4.0)	12:47:03.480
Dino2	DragMove	(-8.2, -177.9, -4.0)	12:47:03.497
Dino2	DragMove	(-8.2, -179.7, -4.0)	12:47:03.508
Dino2	DragMove	(-6.2, -183.6, -4.0)	12:47:03.525
Dino2	DragMove	(-4.3, -187.5, -4.0)	12:47:03.544
Dino2	DragMove	(-4.3, -189.4, -4.0)	12:47:03.560
Dino2	DragMove	(0.8, -194.0, -4.0)	12:47:03.618
Dino2	DragMove	(3.4, -194.0, -4.0)	12:47:03.619
Dino2	DragMove	(7.3, -194.0, -4.0)	12:47:03.645
Dino2	DragMove	(11.2, -194.0, -4.0)	12:47:03.660
Dino2	DragMove	(17.0, -194.0, -4.0)	12:47:03.677
Dino2	DragMove	(20.9, -194.0, -4.0)	12:47:03.692
Dino2	DragMove	(24.8, -194.0, -4.0)	12:47:03.708
Dino2	DragMove	(30.6, -194.0, -4.0)	12:47:03.724
Dino2	DragMove	(40.3, -194.0, -4.0)	12:47:03.778
Dino2	DragMove	(42.3, -194.0, -4.0)	12:47:03.801
Dino2	DragMove	(44.8, -195.3, -4.0)	12:47:03.808
Dino2	DragMove	(48.7, -197.2, -4.0)	12:47:03.828
Dino2	DragMove	(50.7, -199.2, -4.0)	12:47:03.844
Dino2	DragMove	(53.3, -199.2, -4.0)	12:47:03.861
Dino2	DragMove	(55.1, -199.2, -4.0)	12:47:03.876
Dino2	DragMove	(66.7, -191.4, -4.0)	12:47:03.936
Dino2	DragMove	(68.6, -189.4, -4.0)	12:47:03.966
Dino2	DragMove	(69.9, -189.4, -4.0)	12:47:03.976
Dino2	DragMove	(71.2, -189.4, -4.0)	12:47:04.12
Dino2	DragMove	(72.5, -189.4, -4.0)	12:47:04.29
Dino2	DragMove	(85.4, -200.9, -4.0)	12:47:04.85
Dino2	DragMove	(89.3, -202.9, -4.0)	12:47:04.113
Dino2	DragMove	(93.2, -206.8, -4.0)	12:47:04.128
Dino2	DragMove	(95.8, -209.4, -4.0)	12:47:04.145
Dino2	DragMove	(97.6, -209.4, -4.0)	12:47:04.160
Dino2	DragMove	(99.6, -209.4, -4.0)	12:47:04.177
Dino2	DragMove	(102.1, -209.4, -4.0)	12:47:04.192
Dino2	DragMove	(113.8, -203.5, -4.0)	12:47:04.245
Dino2	DragMove	(117.7, -201.6, -4.0)	12:47:04.264
Dino2	DragMove	(121.6, -197.7, -4.0)	12:47:04.276
Dino2	DragMove	(127.4, -195.8, -4.0)	12:47:04.296
Dino2	DragMove	(131.3, -193.8, -4.0)	12:47:04.312
Dino2	DragMove	(137.1, -193.8, -4.0)	12:47:04.329
Dino2	DragMove	(141.0, -193.8, -4.0)	12:47:04.344
Dino2	DragMove	(153.2, -205.4, -4.0)	12:47:04.404
Dino2	DragMove	(155.2, -207.3, -4.0)	12:47:04.433
Dino2	DragMove	(156.5, -209.9, -4.0)	12:47:04.444
Dino2	DragEnd	(156.5, -209.9, -4.0)	12:47:04.476
Dino1	FingerDown	(338.8, -82.0, -4.0)	12:47:05.129
Dino1	DragBegin	(338.8, -82.0, -4.0)	12:47:05.297
Dino1	DragMove	(152.7, -61.9, -4.0)	12:47:05.356
Dino1	DragMove	(125.5, -56.0, -4.0)	12:47:05.376
Dino1	DragMove	(112.5, -54.8, -4.0)	12:47:05.402
Dino1	DragMove	(104.7, -52.8, -4.0)	12:47:05.412
Dino1	DragMove	(98.9, -52.8, -4.0)	12:47:05.440
Dino1	DragMove	(97.6, -52.8, -4.0)	12:47:05.506
Dino1	DragMove	(95.7, -52.8, -4.0)	12:47:05.528
Dino1	DragMove	(93.8, -52.8, -4.0)	12:47:05.553
Dino1	DragMove	(84.1, -52.8, -4.0)	12:47:05.564
Dino1	DragMove	(69.9, -48.9, -4.0)	12:47:05.581
Dino1	DragMove	(48.5, -48.9, -4.0)	12:47:05.596
Dino1	DragMove	(25.2, -48.9, -4.0)	12:47:05.613
Dino1	DragMove	(-35.1, -50.9, -4.0)	12:47:05.672
Dino1	DragMove	(-38.9, -56.7, -4.0)	12:47:05.696
Dino1	DragMove	(-42.8, -62.5, -4.0)	12:47:05.713
Dino1	DragMove	(-46.7, -70.3, -4.0)	12:47:05.728
Dino1	DragMove	(-48.7, -76.1, -4.0)	12:47:05.748
Dino1	DragMove	(-48.7, -83.9, -4.0)	12:47:05.765
Dino1	DragMove	(-50.0, -97.4, -4.0)	12:47:05.828
Dino1	DragMove	(-52.5, -97.4, -4.0)	12:47:05.852
Dino1	DragMove	(-54.5, -99.4, -4.0)	12:47:05.869
Dino1	DragMove	(-58.4, -101.3, -4.0)	12:47:05.880
Dino1	DragMove	(-58.4, -103.2, -4.0)	12:47:05.897
Dino1	DragMove	(-64.2, -109.0, -4.0)	12:47:05.912
Dino1	DragMove	(-68.1, -114.8, -4.0)	12:47:05.932
Dino1	DragMove	(-79.7, -138.1, -4.0)	12:47:05.988
Dino1	DragMove	(-81.7, -142.0, -4.0)	12:47:05.992
Dino1	DragMove	(-83.0, -144.6, -4.0)	12:47:06.11
Dino1	DragMove	(-86.7, -146.5, -4.0)	12:47:06.48
Dino1	DragMove	(-88.6, -146.5, -4.0)	12:47:06.64
Dino1	DragMove	(-91.2, -146.5, -4.0)	12:47:06.81
Dino1	DragMove	(-93.0, -146.5, -4.0)	12:47:06.96
Dino1	DragMove	(-106.6, -136.8, -4.0)	12:47:06.149
Dino1	DragMove	(-112.4, -134.8, -4.0)	12:47:06.168
Dino1	DragMove	(-118.3, -132.9, -4.0)	12:47:06.184
Dino1	DragMove	(-124.7, -132.9, -4.0)	12:47:06.196
Dino1	DragMove	(-128.6, -132.9, -4.0)	12:47:06.216
Dino1	DragMove	(-132.5, -136.8, -4.0)	12:47:06.233
Dino1	DragMove	(-136.4, -142.6, -4.0)	12:47:06.248
Dino1	DragMove	(-148.1, -165.9, -4.0)	12:47:06.308
Dino1	DragMove	(-149.3, -168.5, -4.0)	12:47:06.338
Dino1	DragMove	(-151.2, -168.5, -4.0)	12:47:06.348
Dino1	DragMove	(-153.2, -170.4, -4.0)	12:47:06.365
Dino1	DragMove	(-157.0, -170.4, -4.0)	12:47:06.380
Dino1	DragMove	(-160.9, -170.4, -4.0)	12:47:06.397
Dino1	DragMove	(-166.8, -168.5, -4.0)	12:47:06.416
Dino1	DragMove	(-188.1, -160.7, -4.0)	12:47:06.468
Dino1	DragMove	(-193.9, -158.8, -4.0)	12:47:06.489
Dino1	DragMove	(-199.8, -158.8, -4.0)	12:47:06.500
Dino1	DragMove	(-205.6, -158.8, -4.0)	12:47:06.516
Dino1	DragMove	(-211.4, -158.8, -4.0)	12:47:06.532
Dino1	DragMove	(-215.3, -158.8, -4.0)	12:47:06.549
Dino1	DragMove	(-220.9, -158.8, -4.0)	12:47:06.580
Dino1	DragMove	(-226.7, -168.4, -4.0)	12:47:06.640
Dino1	DragMove	(-227.9, -171.0, -4.0)	12:47:06.644
Dino1	DragMove	(-229.8, -171.0, -4.0)	12:47:06.964
Dino1	DragMove	(-241.5, -171.0, -4.0)	12:47:06.984
Dino1	DragMove	(-264.8, -171.0, -4.0)	12:47:07.0
Dino1	DragMove	(-294.6, -171.0, -4.0)	12:47:07.17
Dino1	DragMove	(-319.8, -169.0, -4.0)	12:47:07.32
Dino1	DragMove	(-349.0, -167.1, -4.0)	12:47:07.49
Dino1	DragMove	(-397.5, -165.2, -4.0)	12:47:07.108
Dino1	DragMove	(-405.3, -165.2, -4.0)	12:47:07.112
Dino1	DragMove	(-407.9, -165.2, -4.0)	12:47:07.132
Dino1	DragMove	(-407.9, -163.2, -4.0)	12:47:07.149
Dino1	DragMove	(-409.8, -163.2, -4.0)	12:47:07.185
Dino1	DragMove	(-409.8, -161.3, -4.0)	12:47:07.201
Dino1	DragMove	(-409.8, -141.9, -4.0)	12:47:07.258
Dino1	DragMove	(-409.8, -126.3, -4.0)	12:47:07.260
