Object	Action	Position	Time
Penguin2	FingerDown	(-27.8, -132.5, -4.0)	16:08:04.714
Penguin2	DragBegin	(-27.8, -132.5, -4.0)	16:08:05.531
Penguin2	DragMove	(-16.0, -148.2, -4.0)	16:08:05.564
Penguin2	DragMove	(-11.8, -144.0, -4.0)	16:08:05.582
Penguin2	DragMove	(-7.6, -144.0, -4.0)	16:08:05.598
Penguin2	DragMove	(-3.5, -141.9, -4.0)	16:08:05.614
Penguin2	DragMove	(2.1, -141.9, -4.0)	16:08:05.631
Penguin2	DragMove	(6.3, -139.8, -4.0)	16:08:05.648
Penguin2	DragMove	(25.1, -139.8, -4.0)	16:08:05.683
Penguin2	DragMove	(29.3, -139.8, -4.0)	16:08:05.717
Penguin2	DragMove	(33.5, -141.2, -4.0)	16:08:05.733
Penguin2	DragMove	(35.5, -141.2, -4.0)	16:08:05.750
Penguin2	DragMove	(39.7, -145.4, -4.0)	16:08:05.766
Penguin2	DragMove	(41.8, -147.5, -4.0)	16:08:05.783
Penguin2	DragMove	(43.9, -149.6, -4.0)	16:08:05.800
Penguin2	DragMove	(45.3, -149.6, -4.0)	16:08:05.816
Penguin2	DragMove	(45.3, -148.2, -4.0)	16:08:05.932
Penguin2	DragMove	(47.4, -146.1, -4.0)	16:08:05.949
Penguin2	DragMove	(49.5, -139.8, -4.0)	16:08:05.965
Penguin2	DragMove	(51.6, -131.5, -4.0)	16:08:05.982
Penguin2	DragMove	(53.7, -127.3, -4.0)	16:08:06.16
Penguin2	DragMove	(55.8, -125.2, -4.0)	16:08:06.32
Penguin2	DragMove	(58.5, -122.4, -4.0)	16:08:06.50
Penguin2	DragMove	(62.7, -122.4, -4.0)	16:08:06.83
Penguin2	DragMove	(66.9, -121.0, -4.0)	16:08:06.99
Penguin2	DragMove	(71.1, -121.0, -4.0)	16:08:06.115
Penguin2	DragMove	(77.4, -121.0, -4.0)	16:08:06.132
Penguin2	DragMove	(85.8, -121.0, -4.0)	16:08:06.151
Penguin2	DragMove	(89.9, -121.0, -4.0)	16:08:06.185
Penguin2	DragMove	(94.1, -121.0, -4.0)	16:08:06.201
Penguin2	DragMove	(96.9, -121.0, -4.0)	16:08:06.217
Penguin2	DragMove	(98.3, -121.0, -4.0)	16:08:06.251
Penguin2	DragMove	(100.3, -119.0, -4.0)	16:08:06.353
Penguin2	DragMove	(100.3, -117.0, -4.0)	16:08:06.370
Penguin2	DragMove	(102.4, -112.8, -4.0)	16:08:06.386
Penguin2	DragMove	(102.4, -108.6, -4.0)	16:08:06.403
Penguin2	DragMove	(104.5, -102.4, -4.0)	16:08:06.419
Penguin2	DragMove	(106.6, -98.2, -4.0)	16:08:06.436
Penguin2	DragMove	(111.5, -91.2, -4.0)	16:08:06.466
Penguin2	DragMove	(114.3, -89.8, -4.0)	16:08:06.501
