Object	Action	Position	Time
Dino2	FingerDown	(484.6, -106.9, -4.0)	14:17:14.377
Dino2	DragBegin	(484.6, -106.9, -4.0)	14:17:14.529
Dino2	DragMove	(495.3, -81.6, -4.0)	14:17:14.558
Dino2	DragMove	(489.5, -56.3, -4.0)	14:17:14.569
Dino2	DragMove	(483.7, -36.9, -4.0)	14:17:14.585
Dino2	DragMove	(475.9, -21.4, -4.0)	14:17:14.612
Dino2	DragMove	(461.0, -17.5, -4.0)	14:17:14.670
Dino2	DragMove	(457.1, -17.5, -4.0)	14:17:14.689
Dino2	DragMove	(453.2, -17.5, -4.0)	14:17:14.706
Dino2	DragMove	(449.3, -17.5, -4.0)	14:17:14.716
Dino2	DragMove	(445.5, -17.5, -4.0)	14:17:14.736
Dino2	DragMove	(441.6, -17.5, -4.0)	14:17:14.753
Dino2	DragMove	(437.7, -17.5, -4.0)	14:17:14.769
Dino2	DragMove	(433.8, -17.5, -4.0)	14:17:14.784
Dino2	DragMove	(420.2, -1.3, -4.0)	14:17:14.838
Dino2	DragMove	(412.4, 8.4, -4.0)	14:17:14.856
Dino2	DragMove	(404.7, 18.1, -4.0)	14:17:14.873
Dino2	DragMove	(395.0, 22.0, -4.0)	14:17:14.884
Dino2	DragMove	(381.4, 24.0, -4.0)	14:17:14.901
Dino2	DragMove	(365.8, 25.9, -4.0)	14:17:14.916
Dino2	DragMove	(352.2, 25.9, -4.0)	14:17:14.936
Dino2	DragMove	(323.7, 25.9, -4.0)	14:17:14.988
Dino2	DragMove	(317.9, 29.8, -4.0)	14:17:15.5
Dino2	DragMove	(314.0, 37.6, -4.0)	14:17:15.22
Dino2	DragMove	(310.1, 47.3, -4.0)	14:17:15.36
Dino2	DragMove	(306.2, 58.9, -4.0)	14:17:15.53
Dino2	DragMove	(302.4, 68.6, -4.0)	14:17:15.68
Dino2	DragMove	(298.5, 76.4, -4.0)	14:17:15.85
Dino2	DragMove	(294.6, 80.3, -4.0)	14:17:15.100
Dino2	DragMove	(275.2, 84.2, -4.0)	14:17:15.155
Dino2	DragMove	(269.3, 84.2, -4.0)	14:17:15.173
Dino2	DragMove	(261.6, 84.2, -4.0)	14:17:15.185
Dino2	DragMove	(256.4, 84.2, -4.0)	14:17:15.205
Dino2	DragMove	(252.5, 90.0, -4.0)	14:17:15.221
Dino2	DragMove	(252.5, 97.8, -4.0)	14:17:15.238
Dino2	DragMove	(250.5, 107.5, -4.0)	14:17:15.253
Dino2	DragMove	(240.8, 128.9, -4.0)	14:17:15.313
Dino2	DragMove	(235.0, 128.9, -4.0)	14:17:15.342
Dino2	DragMove	(227.2, 128.9, -4.0)	14:17:15.353
Dino2	DragMove	(219.5, 125.0, -4.0)	14:17:15.373
Dino2	DragMove	(213.6, 123.0, -4.0)	14:17:15.384
Dino2	DragMove	(208.1, 119.3, -4.0)	14:17:15.405
Dino2	DragMove	(204.2, 119.3, -4.0)	14:17:15.705
Dino2	DragMove	(200.4, 119.3, -4.0)	14:17:15.721
Dino2	DragMove	(157.7, 120.6, -4.0)	14:17:15.772
Dino2	DragMove	(148.0, 122.6, -4.0)	14:17:15.792
Dino2	DragMove	(140.2, 122.6, -4.0)	14:17:15.810
Dino2	DragMove	(134.4, 122.6, -4.0)	14:17:15.821
Dino2	DragMove	(128.6, 122.6, -4.0)	14:17:15.838
Dino2	DragMove	(126.6, 122.6, -4.0)	14:17:15.853
Dino2	DragMove	(124.0, 122.6, -4.0)	14:17:15.869
Dino2	DragMove	(115.0, 111.5, -4.0)	14:17:15.940
Dino2	DragMove	(108.5, 108.9, -4.0)	14:17:15.961
Dino2	DragMove	(102.7, 107.0, -4.0)	14:17:15.969
Dino2	DragMove	(94.9, 107.0, -4.0)	14:17:15.989
Dino2	DragMove	(89.1, 107.0, -4.0)	14:17:16.4
Dino2	DragMove	(81.3, 107.0, -4.0)	14:17:16.21
Dino2	DragMove	(73.5, 107.0, -4.0)	14:17:16.36
Dino2	DragMove	(63.8, 110.9, -4.0)	14:17:16.53
