Object	Action	Position	Time
Kid	FingerDown	(-515.6, 262.3, -4.0)	21:29:17.721
Kid	DragBegin	(-515.6, 262.3, -4.0)	21:29:18.408
Kid	DragMove	(-520.4, 242.1, -4.0)	21:29:18.439
Kid	DragMove	(-520.4, 238.2, -4.0)	21:29:18.475
Kid	DragMove	(-520.4, 235.5, -4.0)	21:29:18.519
Kid	DragMove	(-520.4, 234.1, -4.0)	21:29:18.588
Kid	DragMove	(-520.4, 235.5, -4.0)	21:29:18.639
Kid	DragMove	(-521.7, 238.2, -4.0)	21:29:18.675
Kid	DragMove	(-521.7, 246.4, -4.0)	21:29:18.692
Kid	DragMove	(-521.7, 254.5, -4.0)	21:29:18.706
Kid	DragMove	(-523.8, 262.7, -4.0)	21:29:18.723
Kid	DragMove	(-525.8, 268.8, -4.0)	21:29:18.743
Kid	DragMove	(-525.8, 274.9, -4.0)	21:29:18.759
Kid	DragMove	(-525.8, 279.0, -4.0)	21:29:18.776
Kid	DragMove	(-527.8, 285.1, -4.0)	21:29:18.791
Kid	DragMove	(-529.9, 292.6, -4.0)	21:29:18.835
Kid	DragMove	(-529.9, 288.7, -4.0)	21:29:18.959
Kid	DragMove	(-529.9, 286.6, -4.0)	21:29:18.976
Kid	DragMove	(-529.9, 282.6, -4.0)	21:29:18.991
Kid	DragMove	(-529.9, 278.5, -4.0)	21:29:19.7
Kid	DragMove	(-529.9, 274.4, -4.0)	21:29:19.23
Kid	DragMove	(-527.8, 270.3, -4.0)	21:29:19.43
Kid	DragMove	(-527.8, 267.6, -4.0)	21:29:19.60
Kid	DragMove	(-525.8, 265.6, -4.0)	21:29:19.75
Kid	DragMove	(-525.8, 264.2, -4.0)	21:29:19.107
Kid	DragEnd	(-525.8, 264.2, -4.0)	21:29:19.643
Alligator	FingerDown	(-370.9, -194.2, -4.0)	21:29:20.895
Alligator	DragBegin	(-370.9, -194.2, -4.0)	21:29:21.880
Alligator	DragMove	(-376.6, -236.5, -4.0)	21:29:21.895
Alligator	DragMove	(-374.5, -236.5, -4.0)	21:29:21.915
Alligator	DragMove	(-367.8, -238.5, -4.0)	21:29:21.959
Alligator	DragMove	(-365.1, -239.8, -4.0)	21:29:21.976
Alligator	DragMove	(-363.1, -239.8, -4.0)	21:29:21.999
Alligator	DragMove	(-361.1, -239.8, -4.0)	21:29:22.15
Alligator	DragMove	(-359.1, -239.8, -4.0)	21:29:22.32
Alligator	DragMove	(-357.0, -241.9, -4.0)	21:29:22.47
Alligator	DragMove	(-355.0, -241.9, -4.0)	21:29:22.64
Alligator	DragMove	(-352.9, -241.9, -4.0)	21:29:22.83
Alligator	DragMove	(-350.2, -241.9, -4.0)	21:29:22.99
Alligator	DragMove	(-348.2, -241.9, -4.0)	21:29:22.115
