Object	Action	Position	Time
Alien1	FingerDown	(224.9, 263.0, -3.0)	14:42:14.395
Alien1	DragBegin	(224.9, 263.0, -3.0)	14:42:14.559
Alien1	DragMove	(215.2, 232.1, -3.0)	14:42:14.579
Alien1	DragMove	(215.2, 272.9, -3.0)	14:42:14.634
Alien1	DragMove	(215.2, 283.3, -3.0)	14:42:14.639
Alien1	DragMove	(215.2, 291.1, -3.0)	14:42:14.663
Alien1	DragMove	(215.2, 296.9, -3.0)	14:42:14.679
Alien1	DragMove	(215.2, 298.8, -3.0)	14:42:14.696
Alien1	DragMove	(213.2, 281.4, -3.0)	14:42:14.778
Alien1	DragMove	(213.2, 271.7, -3.0)	14:42:14.799
Alien1	DragMove	(213.2, 258.1, -3.0)	14:42:14.816
Alien1	DragMove	(213.2, 250.4, -3.0)	14:42:14.826
Alien1	DragMove	(213.2, 242.6, -3.0)	14:42:14.843
Alien1	DragMove	(213.2, 238.7, -3.0)	14:42:14.859
Alien1	DragMove	(215.2, 254.0, -3.0)	14:42:14.950
Alien1	DragMove	(217.1, 261.8, -3.0)	14:42:14.954
Alien1	DragMove	(219.0, 269.5, -3.0)	14:42:14.978
Alien1	DragMove	(219.0, 275.4, -3.0)	14:42:14.994
Alien1	DragMove	(221.0, 279.3, -3.0)	14:42:15.11
Alien1	DragMove	(222.9, 283.1, -3.0)	14:42:15.26
Alien1	DragMove	(226.6, 281.3, -3.0)	14:42:15.102
Alien1	DragMove	(226.6, 275.5, -3.0)	14:42:15.106
Alien1	DragMove	(226.6, 263.8, -3.0)	14:42:15.131
Alien1	DragMove	(226.6, 254.1, -3.0)	14:42:15.146
Alien1	DragMove	(226.6, 238.5, -3.0)	14:42:15.163
Alien1	DragMove	(226.6, 225.6, -3.0)	14:42:15.179
Alien1	DragMove	(224.7, 212.0, -3.0)	14:42:15.195
Alien1	DragMove	(224.7, 200.3, -3.0)	14:42:15.211
Alien1	DragMove	(224.7, 180.9, -3.0)	14:42:15.269
Alien1	DragMove	(224.7, 175.1, -3.0)	14:42:15.274
Alien1	DragMove	(224.7, 169.3, -3.0)	14:42:15.298
Alien1	DragMove	(224.7, 163.4, -3.0)	14:42:15.315
Alien1	DragMove	(224.7, 159.5, -3.0)	14:42:15.326
Alien1	DragMove	(224.7, 153.7, -3.0)	14:42:15.343
Alien1	DragEnd	(224.7, 153.7, -3.0)	14:42:15.363
Alien3	FingerDown	(449.7, 153.3, -3.0)	14:42:15.907
Alien3	DragBegin	(449.7, 153.3, -3.0)	14:42:15.991
Alien3	DragMove	(435.6, 158.4, -3.0)	14:42:16.54
Alien3	DragMove	(435.6, 166.2, -3.0)	14:42:16.59
Alien3	DragMove	(435.6, 181.7, -3.0)	14:42:16.82
Alien3	DragMove	(435.6, 193.4, -3.0)	14:42:16.99
Alien3	DragMove	(435.6, 199.2, -3.0)	14:42:16.115
Alien3	DragMove	(435.6, 205.0, -3.0)	14:42:16.132
Alien3	DragMove	(435.6, 203.1, -3.0)	14:42:16.163
Alien3	DragMove	(435.6, 160.5, -3.0)	14:42:16.223
Alien3	DragMove	(435.6, 150.8, -3.0)	14:42:16.246
Alien3	DragMove	(435.6, 143.0, -3.0)	14:42:16.263
Alien3	DragMove	(435.6, 139.1, -3.0)	14:42:16.280
Alien3	DragMove	(435.6, 137.2, -3.0)	14:42:16.299
Alien3	DragMove	(433.6, 158.5, -3.0)	14:42:16.372
Alien3	DragMove	(431.7, 172.1, -3.0)	14:42:16.389
Alien3	DragMove	(431.7, 189.6, -3.0)	14:42:16.394
Alien3	DragMove	(431.7, 210.9, -3.0)	14:42:16.414
Alien3	DragMove	(431.7, 221.3, -3.0)	14:42:16.431
Alien3	DragMove	(431.7, 229.1, -3.0)	14:42:16.447
Alien3	DragMove	(431.7, 233.0, -3.0)	14:42:16.463
Alien3	DragMove	(431.7, 217.4, -3.0)	14:42:16.539
Alien3	DragMove	(431.7, 205.8, -3.0)	14:42:16.542
Alien3	DragMove	(431.7, 192.8, -3.0)	14:42:16.567
Alien3	DragMove	(429.7, 185.0, -3.0)	14:42:16.582
Alien3	DragMove	(429.7, 179.2, -3.0)	14:42:16.599
Alien3	DragMove	(427.8, 173.4, -3.0)	14:42:16.615
Alien3	DragMove	(427.8, 167.6, -3.0)	14:42:16.631
Alien3	DragMove	(427.8, 148.1, -3.0)	14:42:16.690
Alien3	DragMove	(425.9, 144.2, -3.0)	14:42:16.715
Alien3	DragMove	(425.9, 140.4, -3.0)	14:42:16.731
Alien3	DragMove	(425.9, 136.5, -3.0)	14:42:16.746
Alien3	DragMove	(425.9, 135.2, -3.0)	14:42:16.767
Alien3	DragEnd	(425.9, 135.2, -3.0)	14:42:16.856
Alien3	FingerDown	(425.9, 135.2, -3.0)	14:42:17.441
Alien3	DragBegin	(425.9, 135.2, -3.0)	14:42:17.583
Alien3	DragMove	(338.5, 131.4, -3.0)	14:42:17.599
Alien3	DragMove	(326.2, 173.5, -3.0)	14:42:17.656
Alien3	DragMove	(324.3, 187.1, -3.0)	14:42:17.662
Alien3	DragMove	(322.3, 194.8, -3.0)	14:42:17.683
Alien3	DragMove	(322.3, 200.7, -3.0)	14:42:17.700
Alien3	DragMove	(322.3, 202.6, -3.0)	14:42:17.714
Alien3	DragMove	(322.3, 166.3, -3.0)	14:42:17.811
Alien3	DragMove	(322.3, 156.6, -3.0)	14:42:17.834
Alien3	DragMove	(322.3, 148.9, -3.0)	14:42:17.851
Alien3	DragMove	(322.3, 145.0, -3.0)	14:42:17.867
Alien3	DragMove	(322.3, 141.1, -3.0)	14:42:17.883
Alien3	DragMove	(320.5, 144.8, -3.0)	14:42:17.975
Alien3	DragMove	(316.6, 152.6, -3.0)	14:42:17.978
Alien3	DragMove	(314.0, 162.9, -3.0)	14:42:18.4
Alien3	DragMove	(312.0, 176.5, -3.0)	14:42:18.19
Alien3	DragMove	(312.0, 188.2, -3.0)	14:42:18.35
Alien3	DragMove	(310.1, 197.9, -3.0)	14:42:18.51
Alien3	DragMove	(310.1, 203.7, -3.0)	14:42:18.67
Alien3	DragMove	(310.1, 205.7, -3.0)	14:42:18.82
Alien3	DragMove	(310.1, 203.1, -3.0)	14:42:18.142
Alien3	DragMove	(310.1, 195.3, -3.0)	14:42:18.146
Alien3	DragMove	(312.0, 185.6, -3.0)	14:42:18.171
Alien3	DragMove	(312.0, 179.8, -3.0)	14:42:18.182
Alien3	DragMove	(314.0, 166.2, -3.0)	14:42:18.203
Alien3	DragMove	(317.9, 162.3, -3.0)	14:42:18.219
Alien3	DragMove	(321.8, 156.5, -3.0)	14:42:18.235
Alien3	DragMove	(339.2, 148.7, -3.0)	14:42:18.291
Alien3	DragMove	(347.0, 148.7, -3.0)	14:42:18.294
Alien3	DragMove	(356.7, 148.7, -3.0)	14:42:18.324
Alien3	DragMove	(367.1, 151.3, -3.0)	14:42:18.334
Alien3	DragMove	(376.8, 159.1, -3.0)	14:42:18.351
Alien3	DragMove	(388.5, 170.7, -3.0)	14:42:18.366
Alien3	DragMove	(394.3, 176.5, -3.0)	14:42:18.383
Alien3	DragMove	(405.9, 188.2, -3.0)	14:42:18.399
Alien3	DragMove	(423.4, 196.0, -3.0)	14:42:18.458
Alien3	DragMove	(429.3, 196.0, -3.0)	14:42:18.463
Alien3	DragMove	(440.9, 186.3, -3.0)	14:42:18.486
Alien3	DragMove	(448.7, 174.6, -3.0)	14:42:18.503
Alien3	DragMove	(458.4, 161.0, -3.0)	14:42:18.518
Alien3	DragMove	(464.9, 150.6, -3.0)	14:42:18.535
Alien3	DragMove	(468.8, 142.9, -3.0)	14:42:18.551
Alien3	DragMove	(474.6, 123.4, -3.0)	14:42:18.611
Alien3	DragMove	(474.6, 121.5, -3.0)	14:42:18.638
Alien3	DragMove	(474.6, 120.2, -3.0)	14:42:18.670
Alien3	DragEnd	(474.6, 120.2, -3.0)	14:42:18.767
Alien2	FingerDown	(360.9, 102.5, -3.0)	14:42:19.288
Alien2	DragBegin	(360.9, 102.5, -3.0)	14:42:19.412
Alien2	DragMove	(327.2, 83.3, -3.0)	14:42:19.423
Alien2	DragMove	(323.3, 102.7, -3.0)	14:42:19.444
Alien2	DragMove	(321.4, 114.4, -3.0)	14:42:19.455
Alien2	DragMove	(319.4, 129.9, -3.0)	14:42:19.472
Alien2	DragMove	(317.5, 147.4, -3.0)	14:42:19.487
Alien2	DragMove	(315.5, 157.1, -3.0)	14:42:19.503
Alien2	DragMove	(315.5, 162.9, -3.0)	14:42:19.519
Alien2	DragMove	(315.5, 159.1, -3.0)	14:42:19.580
Alien2	DragMove	(315.5, 149.3, -3.0)	14:42:19.606
Alien2	DragMove	(315.5, 139.6, -3.0)	14:42:19.623
Alien2	DragMove	(317.5, 114.4, -3.0)	14:42:19.651
Alien2	DragMove	(319.4, 106.6, -3.0)	14:42:19.674
Alien2	DragMove	(319.4, 100.8, -3.0)	14:42:19.726
Alien2	DragMove	(319.4, 102.6, -3.0)	14:42:19.730
Alien2	DragMove	(317.6, 108.2, -3.0)	14:42:19.760
Alien2	DragMove	(315.0, 118.6, -3.0)	14:42:19.770
Alien2	DragMove	(313.0, 128.3, -3.0)	14:42:19.787
Alien2	DragMove	(311.1, 138.0, -3.0)	14:42:19.802
Alien2	DragMove	(311.1, 143.8, -3.0)	14:42:19.823
Alien2	DragMove	(311.1, 149.7, -3.0)	14:42:19.839
Alien2	DragMove	(311.1, 151.6, -3.0)	14:42:19.888
Alien2	DragMove	(311.1, 147.7, -3.0)	14:42:19.907
Alien2	DragMove	(313.7, 138.7, -3.0)	14:42:19.918
Alien2	DragMove	(315.6, 132.8, -3.0)	14:42:19.939
Alien2	DragMove	(317.6, 128.9, -3.0)	14:42:19.955
Alien2	DragMove	(319.5, 123.1, -3.0)	14:42:19.971
Alien2	DragMove	(320.8, 123.1, -3.0)	14:42:19.986
Alien2	DragMove	(320.8, 133.9, -3.0)	14:42:20.63
Alien2	DragMove	(320.8, 139.7, -3.0)	14:42:20.66
Alien2	DragMove	(322.7, 143.6, -3.0)	14:42:20.86
Alien2	DragMove	(325.3, 146.2, -3.0)	14:42:20.103
Alien2	DragMove	(329.2, 146.2, -3.0)	14:42:20.123
Alien2	DragMove	(333.1, 146.2, -3.0)	14:42:20.138
Alien2	DragMove	(337.0, 146.2, -3.0)	14:42:20.155
