Object	Action	Position	Time
Alligator	FingerDown	(64.6, 5.8, -4.0)	19:36:31.164
Alligator	DragBegin	(64.6, 5.8, -4.0)	19:36:31.362
Alligator	DragMove	(90.6, 2.4, -4.0)	19:36:31.378
Alligator	DragMove	(90.6, 22.8, -4.0)	19:36:31.393
Alligator	DragMove	(90.6, 39.1, -4.0)	19:36:31.414
Alligator	DragMove	(90.6, 83.9, -4.0)	19:36:31.458
Alligator	DragMove	(90.6, 90.0, -4.0)	19:36:31.482
Alligator	DragMove	(90.6, 96.2, -4.0)	19:36:31.498
Alligator	DragMove	(88.5, 100.2, -4.0)	19:36:31.510
Alligator	DragMove	(88.5, 104.3, -4.0)	19:36:31.526
Alligator	DragMove	(86.5, 106.4, -4.0)	19:36:31.546
Alligator	DragMove	(84.5, 106.4, -4.0)	19:36:31.773
Alligator	DragMove	(82.5, 106.4, -4.0)	19:36:31.798
Alligator	DragMove	(78.4, 104.3, -4.0)	19:36:31.814
Alligator	DragMove	(68.2, 102.3, -4.0)	19:36:31.829
Alligator	DragMove	(56.0, 98.2, -4.0)	19:36:31.846
Alligator	DragMove	(39.7, 92.1, -4.0)	19:36:31.862
Alligator	DragMove	(21.3, 86.0, -4.0)	19:36:31.878
Alligator	DragMove	(11.2, 83.9, -4.0)	19:36:31.894
Alligator	DragMove	(-9.2, 81.9, -4.0)	19:36:31.942
Alligator	DragMove	(-9.2, 83.8, -4.0)	19:36:32.114
Alligator	DragMove	(-9.2, 87.7, -4.0)	19:36:32.130
Alligator	DragMove	(-9.2, 93.9, -4.0)	19:36:32.145
Alligator	DragMove	(-9.2, 110.2, -4.0)	19:36:32.162
Alligator	DragMove	(-3.1, 122.4, -4.0)	19:36:32.182
Alligator	DragMove	(9.1, 138.7, -4.0)	19:36:32.198
Alligator	DragMove	(32.9, 166.6, -4.0)	19:36:32.242
Alligator	DragMove	(37.0, 168.6, -4.0)	19:36:32.261
Alligator	DragMove	(41.1, 170.6, -4.0)	19:36:32.283
Alligator	DragMove	(43.1, 170.6, -4.0)	19:36:32.297
Alligator	DragMove	(47.2, 170.6, -4.0)	19:36:32.314
Alligator	DragMove	(55.3, 168.6, -4.0)	19:36:32.330
Alligator	DragMove	(61.4, 162.5, -4.0)	19:36:32.346
Alligator	DragMove	(67.6, 156.4, -4.0)	19:36:32.361
Alligator	DragMove	(77.7, 146.2, -4.0)	19:36:32.382
Alligator	DragMove	(81.8, 142.1, -4.0)	19:36:32.397
Alligator	DragMove	(85.9, 134.0, -4.0)	19:36:32.414
Alligator	DragMove	(90.0, 129.9, -4.0)	19:36:32.429
Alligator	DragMove	(92.0, 125.8, -4.0)	19:36:32.446
Alligator	DragMove	(96.1, 121.7, -4.0)	19:36:32.466
Alligator	DragMove	(96.1, 119.7, -4.0)	19:36:32.477
Alligator	DragMove	(97.5, 118.3, -4.0)	19:36:32.497
Alligator	DragMove	(99.4, 118.3, -4.0)	19:36:32.514
Alligator	DragEnd	(99.4, 118.3, -4.0)	19:36:33.65
Kid2	FingerDown	(429.9, 87.6, -5.0)	19:36:36.850
Kid2	DragBegin	(429.9, 87.6, -5.0)	19:36:36.939
Kid2	DragMove	(423.7, 140.8, -5.0)	19:36:36.969
Kid2	DragMove	(423.7, 161.2, -5.0)	19:36:37.2
Kid2	DragMove	(423.7, 169.4, -5.0)	19:36:37.21
Kid2	DragMove	(423.7, 174.8, -5.0)	19:36:37.38
Kid2	DragMove	(423.7, 176.9, -5.0)	19:36:37.57
Kid2	DragMove	(425.8, 171.4, -5.0)	19:36:37.165
Kid2	DragMove	(425.8, 169.4, -5.0)	19:36:37.194
Kid2	DragMove	(427.8, 167.3, -5.0)	19:36:37.202
Kid2	DragMove	(427.8, 163.4, -5.0)	19:36:37.237
Kid2	DragMove	(427.8, 165.4, -5.0)	19:36:37.317
Kid2	DragMove	(425.8, 171.5, -5.0)	19:36:37.342
Kid2	DragMove	(423.7, 179.7, -5.0)	19:36:37.357
Kid2	DragMove	(421.7, 185.8, -5.0)	19:36:37.374
Kid2	DragMove	(421.7, 191.9, -5.0)	19:36:37.389
Kid2	DragMove	(419.6, 196.0, -5.0)	19:36:37.406
Kid2	DragMove	(419.6, 194.0, -5.0)	19:36:37.521
Kid2	DragMove	(419.6, 192.1, -5.0)	19:36:37.542
Kid2	DragMove	(419.6, 188.0, -5.0)	19:36:37.558
Kid2	DragMove	(419.6, 183.9, -5.0)	19:36:37.573
Kid2	DragMove	(419.6, 181.9, -5.0)	19:36:37.590
Kid2	DragMove	(419.6, 177.8, -5.0)	19:36:37.606
Kid2	DragMove	(419.6, 163.5, -5.0)	19:36:37.649
Kid2	DragMove	(419.6, 161.5, -5.0)	19:36:37.673
Kid2	DragMove	(419.6, 159.5, -5.0)	19:36:37.690
Kid2	DragMove	(419.6, 157.5, -5.0)	19:36:37.705
Kid2	DragMove	(419.6, 156.1, -5.0)	19:36:37.725
Kid2	DragEnd	(419.6, 156.1, -5.0)	19:36:37.826
