Object	Action	Position	Time
Kid1	FingerDown	(215.4, 162.2, -5.0)	11:06:31.174
Kid1	DragBegin	(215.4, 162.2, -5.0)	11:06:31.818
Kid1	DragMove	(210.2, 177.5, -5.0)	11:06:31.837
Kid1	DragMove	(208.4, 179.4, -5.0)	11:06:31.854
Kid1	DragMove	(204.5, 184.6, -5.0)	11:06:31.871
Kid1	DragMove	(200.6, 192.3, -5.0)	11:06:31.888
Kid1	DragMove	(196.7, 196.2, -5.0)	11:06:31.901
Kid1	DragMove	(187.0, 205.9, -5.0)	11:06:31.921
Kid1	DragMove	(167.6, 215.7, -5.0)	11:06:31.957
Kid1	DragMove	(144.3, 225.4, -5.0)	11:06:31.985
Kid1	DragMove	(134.5, 229.3, -5.0)	11:06:32.9
Kid1	DragMove	(124.8, 233.1, -5.0)	11:06:32.21
Kid1	DragMove	(117.1, 235.1, -5.0)	11:06:32.38
Kid1	DragMove	(106.7, 236.4, -5.0)	11:06:32.54
Kid1	DragMove	(100.9, 236.4, -5.0)	11:06:32.71
Kid1	DragMove	(95.0, 236.4, -5.0)	11:06:32.85
Kid1	DragMove	(85.3, 236.4, -5.0)	11:06:32.125
Kid1	DragMove	(77.6, 226.7, -5.0)	11:06:32.153
Kid1	DragMove	(71.7, 213.1, -5.0)	11:06:32.186
Kid1	DragMove	(69.8, 207.2, -5.0)	11:06:32.201
Kid1	DragMove	(68.5, 200.8, -5.0)	11:06:32.221
Kid1	DragMove	(66.6, 194.9, -5.0)	11:06:32.237
Kid1	DragMove	(66.6, 188.5, -5.0)	11:06:32.277
Kid1	DragMove	(66.6, 184.6, -5.0)	11:06:32.301
Kid1	DragMove	(66.6, 183.3, -5.0)	11:06:32.353
Kid1	DragMove	(64.6, 183.3, -5.0)	11:06:32.389
Kid1	DragMove	(58.8, 183.3, -5.0)	11:06:32.429
Kid1	DragMove	(47.1, 187.2, -5.0)	11:06:32.453
Kid1	DragMove	(39.4, 189.1, -5.0)	11:06:32.478
Kid1	DragMove	(27.7, 191.1, -5.0)	11:06:32.485
Kid1	DragMove	(19.9, 193.0, -5.0)	11:06:32.506
Kid1	DragMove	(10.2, 196.9, -5.0)	11:06:32.522
Kid1	DragMove	(4.4, 198.8, -5.0)	11:06:32.539
Kid1	DragMove	(-3.4, 202.7, -5.0)	11:06:32.553
Kid1	DragMove	(-18.9, 204.6, -5.0)	11:06:32.590
Kid1	DragMove	(-26.7, 204.6, -5.0)	11:06:32.607
Kid1	DragMove	(-34.5, 204.6, -5.0)	11:06:32.623
Kid1	DragMove	(-40.3, 202.7, -5.0)	11:06:32.636
Kid1	DragMove	(-46.1, 198.8, -5.0)	11:06:32.652
Kid1	DragMove	(-50.0, 191.1, -5.0)	11:06:32.669
Kid1	DragMove	(-52.0, 187.2, -5.0)	11:06:32.689
Kid1	DragMove	(-55.8, 179.4, -5.0)	11:06:32.704
Kid1	DragMove	(-57.8, 169.7, -5.0)	11:06:32.745
Kid1	DragMove	(-57.8, 161.9, -5.0)	11:06:32.768
Kid1	DragMove	(-57.8, 155.4, -5.0)	11:06:32.805
Kid1	DragMove	(-59.7, 155.4, -5.0)	11:06:33.136
Kid1	DragMove	(-65.5, 161.3, -5.0)	11:06:33.153
Kid1	DragMove	(-73.3, 165.1, -5.0)	11:06:33.173
Kid1	DragMove	(-91.5, 173.6, -5.0)	11:06:33.213
Kid1	DragMove	(-108.9, 177.4, -5.0)	11:06:33.237
Kid1	DragMove	(-118.7, 177.4, -5.0)	11:06:33.262
Kid1	DragMove	(-124.5, 177.4, -5.0)	11:06:33.273
Kid1	DragMove	(-132.3, 177.4, -5.0)	11:06:33.290
Kid1	DragMove	(-138.1, 177.4, -5.0)	11:06:33.304
Kid1	DragMove	(-143.9, 177.4, -5.0)	11:06:33.321
Kid1	DragMove	(-147.8, 177.4, -5.0)	11:06:33.337
Kid1	DragMove	(-153.6, 177.4, -5.0)	11:06:33.377
Kid1	DragMove	(-158.2, 172.3, -5.0)	11:06:33.404
Kid1	DragMove	(-162.0, 166.4, -5.0)	11:06:33.420
Kid1	DragMove	(-165.9, 158.7, -5.0)	11:06:33.437
Kid1	DragMove	(-169.8, 152.8, -5.0)	11:06:33.458
Kid1	DragMove	(-171.8, 145.1, -5.0)	11:06:33.474
Kid1	DragMove	(-175.6, 137.3, -5.0)	11:06:33.489
Kid1	DragMove	(-177.6, 123.7, -5.0)	11:06:33.530
Kid1	DragMove	(-179.5, 119.8, -5.0)	11:06:33.536
Kid1	DragMove	(-179.5, 115.9, -5.0)	11:06:33.558
Kid1	DragMove	(-179.5, 114.6, -5.0)	11:06:33.574
Kid1	DragMove	(-183.3, 114.6, -5.0)	11:06:33.681
Kid1	DragMove	(-193.0, 122.4, -5.0)	11:06:33.705
Kid1	DragMove	(-198.9, 128.2, -5.0)	11:06:33.730
Kid1	DragMove	(-204.7, 134.1, -5.0)	11:06:33.741
Kid1	DragMove	(-209.9, 139.2, -5.0)	11:06:33.758
Kid1	DragMove	(-217.7, 145.1, -5.0)	11:06:33.774
Kid1	DragMove	(-223.5, 149.0, -5.0)	11:06:33.791
Kid1	DragMove	(-231.2, 154.8, -5.0)	11:06:33.805
Kid1	DragMove	(-244.8, 160.6, -5.0)	11:06:33.845
Kid1	DragMove	(-258.5, 164.5, -5.0)	11:06:33.873
Kid1	DragMove	(-270.1, 164.5, -5.0)	11:06:33.905
Kid1	DragMove	(-274.0, 164.5, -5.0)	11:06:33.925
Kid1	DragMove	(-277.9, 164.5, -5.0)	11:06:33.942
Kid1	DragMove	(-279.2, 161.9, -5.0)	11:06:33.957
Kid1	DragMove	(-283.1, 150.3, -5.0)	11:06:33.998
Kid1	DragMove	(-286.3, 143.8, -5.0)	11:06:34.21
Kid1	DragMove	(-287.6, 142.5, -5.0)	11:06:34.72
Kid1	DragMove	(-288.9, 142.5, -5.0)	11:06:34.105
Kid1	DragMove	(-290.2, 142.5, -5.0)	11:06:34.126
Kid1	DragMove	(-294.1, 142.5, -5.0)	11:06:34.161
Kid1	DragMove	(-298.6, 147.0, -5.0)	11:06:34.189
Kid1	DragMove	(-300.5, 148.9, -5.0)	11:06:34.208
Kid1	DragMove	(-304.3, 152.8, -5.0)	11:06:34.225
Kid1	DragMove	(-308.2, 156.6, -5.0)	11:06:34.242
Kid1	DragMove	(-310.2, 162.5, -5.0)	11:06:34.259
Kid1	DragMove	(-312.1, 166.4, -5.0)	11:06:34.272
Kid1	DragMove	(-316.0, 170.2, -5.0)	11:06:34.289
Kid1	DragMove	(-317.9, 178.0, -5.0)	11:06:34.329
Kid1	DragMove	(-317.9, 181.7, -5.0)	11:06:34.410
Kid1	DragMove	(-312.8, 181.7, -5.0)	11:06:34.481
Kid1	DragMove	(-308.9, 181.7, -5.0)	11:06:34.488
Kid1	DragMove	(-305.0, 181.7, -5.0)	11:06:34.510
Kid1	DragMove	(-301.1, 181.7, -5.0)	11:06:34.526
Kid1	DragMove	(-297.2, 181.7, -5.0)	11:06:34.543
Kid1	DragMove	(-295.3, 181.7, -5.0)	11:06:34.556
Kid1	DragMove	(-293.3, 181.7, -5.0)	11:06:34.573
Kid1	DragMove	(-292.0, 181.7, -5.0)	11:06:34.610
Kid1	DragMove	(-290.7, 181.7, -5.0)	11:06:34.740
Kid1	DragEnd	(-290.7, 181.7, -5.0)	11:06:34.841
Dog	FingerDown	(387.1, 28.2, -5.0)	11:06:35.563
