Object	Action	Position	Time
Kid2	FingerDown	(-354.4, 272.1, -5.0)	19:23:18.483
Kid2	DragBegin	(-354.4, 272.1, -5.0)	19:23:18.695
Kid2	DragMove	(-348.6, 278.5, -5.0)	19:23:18.710
Kid2	DragMove	(-348.6, 274.4, -5.0)	19:23:18.726
Kid2	DragMove	(-348.6, 266.3, -5.0)	19:23:18.770
Kid2	DragMove	(-348.6, 264.3, -5.0)	19:23:18.794
Kid2	DragMove	(-348.6, 262.3, -5.0)	19:23:18.814
Kid2	DragMove	(-348.6, 256.4, -5.0)	19:23:18.826
Kid2	DragMove	(-348.6, 254.5, -5.0)	19:23:18.842
Kid2	DragMove	(-348.6, 250.4, -5.0)	19:23:18.858
Kid2	DragMove	(-348.6, 246.3, -5.0)	19:23:18.878
Kid2	DragMove	(-348.6, 243.6, -5.0)	19:23:18.894
Kid2	DragMove	(-348.6, 241.6, -5.0)	19:23:18.911
Kid2	DragMove	(-348.6, 240.3, -5.0)	19:23:18.925
Kid2	DragMove	(-348.6, 238.9, -5.0)	19:23:18.958
Kid2	DragMove	(-348.6, 235.0, -5.0)	19:23:18.994
Kid2	DragMove	(-348.6, 233.7, -5.0)	19:23:19.26
Kid2	DragMove	(-348.6, 232.3, -5.0)	19:23:19.86
Kid2	DragMove	(-348.6, 236.2, -5.0)	19:23:19.178
Kid2	DragMove	(-348.6, 241.6, -5.0)	19:23:19.194
Kid2	DragMove	(-352.7, 253.9, -5.0)	19:23:19.238
Kid2	DragMove	(-352.7, 255.9, -5.0)	19:23:19.258
Kid2	DragMove	(-352.7, 257.3, -5.0)	19:23:19.279
Kid2	DragMove	(-352.7, 258.6, -5.0)	19:23:19.310
Kid2	DragMove	(-354.0, 258.6, -5.0)	19:23:19.415
Kid2	DragEnd	(-354.0, 258.6, -5.0)	19:23:19.462
Alligator	FingerDown	(-245.5, -105.0, -4.0)	19:23:20.147
Alligator	DragBegin	(-245.5, -105.0, -4.0)	19:23:20.463
Alligator	DragMove	(-268.6, -113.5, -4.0)	19:23:20.505
Alligator	DragMove	(-262.4, -107.4, -4.0)	19:23:20.535
Alligator	DragMove	(-258.4, -101.3, -4.0)	19:23:20.545
Alligator	DragMove	(-254.3, -97.2, -4.0)	19:23:20.562
Alligator	DragMove	(-252.9, -93.1, -4.0)	19:23:20.578
Alligator	DragMove	(-250.9, -91.1, -4.0)	19:23:20.598
Alligator	DragMove	(-250.9, -88.4, -4.0)	19:23:20.614
Alligator	DragMove	(-250.9, -86.3, -4.0)	19:23:20.631
Alligator	DragMove	(-250.9, -84.4, -4.0)	19:23:20.646
Alligator	DragMove	(-252.9, -78.2, -4.0)	19:23:20.662
Alligator	DragMove	(-263.1, -68.1, -4.0)	19:23:20.694
Alligator	DragMove	(-271.3, -61.9, -4.0)	19:23:20.719
Alligator	DragMove	(-277.4, -57.9, -4.0)	19:23:20.730
Alligator	DragMove	(-285.5, -53.8, -4.0)	19:23:20.747
Alligator	DragMove	(-293.7, -49.7, -4.0)	19:23:20.761
Alligator	DragMove	(-303.2, -49.7, -4.0)	19:23:20.786
Alligator	DragMove	(-325.6, -49.7, -4.0)	19:23:20.826
Alligator	DragMove	(-331.8, -49.7, -4.0)	19:23:20.851
Alligator	DragMove	(-333.8, -51.7, -4.0)	19:23:20.861
Alligator	DragMove	(-337.9, -53.8, -4.0)	19:23:20.878
Alligator	DragMove	(-337.9, -57.9, -4.0)	19:23:20.897
Alligator	DragMove	(-339.9, -59.9, -4.0)	19:23:20.914
Alligator	DragMove	(-339.9, -61.9, -4.0)	19:23:20.931
Alligator	DragMove	(-339.9, -63.3, -4.0)	19:23:20.946
Alligator	DragMove	(-339.9, -59.2, -4.0)	19:23:21.9
Alligator	DragMove	(-339.9, -57.3, -4.0)	19:23:21.31
Alligator	DragMove	(-341.9, -53.2, -4.0)	19:23:21.45
Alligator	DragMove	(-344.0, -49.1, -4.0)	19:23:21.62
Alligator	DragMove	(-348.1, -41.0, -4.0)	19:23:21.82
Alligator	DragMove	(-350.1, -34.8, -4.0)	19:23:21.99
Alligator	DragMove	(-362.3, -13.8, -4.0)	19:23:21.142
Alligator	DragMove	(-364.4, -9.7, -4.0)	19:23:21.166
Alligator	DragMove	(-368.5, -3.6, -4.0)	19:23:21.183
Alligator	DragMove	(-370.5, -1.5, -4.0)	19:23:21.198
Alligator	DragMove	(-372.5, 0.5, -4.0)	19:23:21.215
Alligator	DragMove	(-374.6, 2.5, -4.0)	19:23:21.230
Alligator	DragMove	(-375.9, 2.5, -4.0)	19:23:21.294
Alligator	DragMove	(-375.9, 4.5, -4.0)	19:23:21.514
Alligator	DragMove	(-375.9, 12.6, -4.0)	19:23:21.530
Alligator	DragMove	(-378.0, 24.9, -4.0)	19:23:21.550
Alligator	DragMove	(-380.0, 35.1, -4.0)	19:23:21.566
Alligator	DragMove	(-382.0, 45.3, -4.0)	19:23:21.582
Alligator	DragMove	(-382.0, 53.4, -4.0)	19:23:21.598
Alligator	DragMove	(-387.9, 67.1, -4.0)	19:23:21.630
Alligator	DragMove	(-389.3, 72.5, -4.0)	19:23:21.650
Alligator	DragMove	(-391.3, 76.6, -4.0)	19:23:21.665
Alligator	DragMove	(-393.3, 82.7, -4.0)	19:23:21.682
Alligator	DragMove	(-395.4, 88.8, -4.0)	19:23:21.698
Alligator	DragMove	(-397.4, 92.9, -4.0)	19:23:21.715
