Object	Action	Position	Time
Kid2	FingerDown	(119.3, -35.3, -5.0)	19:35:35.972
Kid2	DragBegin	(119.3, -35.3, -5.0)	19:35:36.320
Kid2	DragMove	(135.2, -40.5, -5.0)	19:35:36.335
Kid2	DragMove	(137.2, -44.6, -5.0)	19:35:36.352
Kid2	DragMove	(141.3, -50.7, -5.0)	19:35:36.371
Kid2	DragMove	(147.4, -65.0, -5.0)	19:35:36.415
Kid2	DragMove	(149.5, -71.1, -5.0)	19:35:36.440
Kid2	DragMove	(150.8, -75.2, -5.0)	19:35:36.455
Kid2	DragMove	(152.9, -79.3, -5.0)	19:35:36.472
Kid2	DragMove	(154.9, -85.4, -5.0)	19:35:36.498
Kid2	DragMove	(154.9, -87.4, -5.0)	19:35:36.518
Kid2	DragMove	(156.2, -87.4, -5.0)	19:35:36.639
Kid2	DragMove	(158.3, -85.4, -5.0)	19:35:36.656
Kid2	DragMove	(160.3, -81.3, -5.0)	19:35:36.671
Kid2	DragMove	(165.8, -78.6, -5.0)	19:35:36.687
Kid2	DragMove	(169.8, -76.6, -5.0)	19:35:36.703
Kid2	DragMove	(182.1, -78.6, -5.0)	19:35:36.747
Kid2	DragMove	(184.1, -84.7, -5.0)	19:35:36.771
Kid2	DragMove	(188.2, -92.9, -5.0)	19:35:36.787
Kid2	DragMove	(190.2, -96.9, -5.0)	19:35:36.803
Kid2	DragMove	(190.2, -101.0, -5.0)	19:35:36.820
Kid2	DragMove	(192.3, -105.1, -5.0)	19:35:36.839
Kid2	DragMove	(194.3, -107.1, -5.0)	19:35:36.855
Kid2	DragMove	(198.3, -109.1, -5.0)	19:35:36.899
Kid2	DragMove	(199.7, -109.1, -5.0)	19:35:36.923
Kid2	DragMove	(201.7, -109.1, -5.0)	19:35:36.939
Kid2	DragMove	(207.8, -109.1, -5.0)	19:35:36.955
Kid2	DragMove	(211.9, -107.0, -5.0)	19:35:36.972
Kid2	DragMove	(218.0, -105.0, -5.0)	19:35:36.987
Kid2	DragMove	(224.1, -103.0, -5.0)	19:35:37.3
Kid2	DragMove	(230.2, -100.9, -5.0)	19:35:37.23
Kid2	DragMove	(244.5, -95.5, -5.0)	19:35:37.67
Kid2	DragMove	(248.6, -93.5, -5.0)	19:35:37.92
Kid2	DragMove	(250.6, -93.5, -5.0)	19:35:37.107
Kid2	DragMove	(254.7, -93.5, -5.0)	19:35:37.123
Kid2	DragMove	(258.8, -93.5, -5.0)	19:35:37.139
Kid2	DragMove	(260.8, -97.5, -5.0)	19:35:37.155
Kid2	DragMove	(263.5, -101.6, -5.0)	19:35:37.170
Kid2	DragMove	(265.5, -101.6, -5.0)	19:35:37.187
Kid2	DragMove	(269.6, -111.8, -5.0)	19:35:37.231
Kid2	DragMove	(273.5, -111.8, -5.0)	19:35:37.308
Kid2	DragMove	(275.5, -109.8, -5.0)	19:35:37.323
Kid2	DragMove	(277.5, -107.8, -5.0)	19:35:37.340
Kid2	DragMove	(297.8, -101.7, -5.0)	19:35:37.383
Kid2	DragMove	(308.0, -101.7, -5.0)	19:35:37.407
Kid2	DragMove	(318.2, -101.7, -5.0)	19:35:37.423
Kid2	DragMove	(324.3, -101.7, -5.0)	19:35:37.439
Kid2	DragMove	(331.1, -101.7, -5.0)	19:35:37.454
Kid2	DragMove	(335.2, -103.7, -5.0)	19:35:37.471
Kid2	DragMove	(339.1, -103.7, -5.0)	19:35:37.940
Kid2	DragMove	(343.0, -101.8, -5.0)	19:35:37.955
Kid2	DragMove	(351.2, -99.7, -5.0)	19:35:37.975
Kid2	DragMove	(378.4, -96.4, -5.0)	19:35:38.19
Kid2	DragMove	(386.5, -96.4, -5.0)	19:35:38.47
Kid2	DragMove	(390.6, -98.4, -5.0)	19:35:38.64
Kid2	DragMove	(396.7, -104.5, -5.0)	19:35:38.75
Kid2	DragMove	(400.8, -110.6, -5.0)	19:35:38.91
Kid2	DragMove	(402.8, -114.7, -5.0)	19:35:38.107
Kid2	DragMove	(404.2, -117.4, -5.0)	19:35:38.123
Kid2	DragMove	(406.1, -117.4, -5.0)	19:35:38.139
Kid2	DragMove	(407.5, -118.8, -5.0)	19:35:38.183
Kid2	DragMove	(408.9, -118.8, -5.0)	19:35:38.238
Kid2	DragMove	(410.9, -118.8, -5.0)	19:35:38.259
Kid2	DragMove	(412.9, -118.8, -5.0)	19:35:38.276
Kid2	DragMove	(417.0, -118.8, -5.0)	19:35:38.291
Kid2	DragMove	(429.2, -116.7, -5.0)	19:35:38.335
Kid2	DragMove	(433.1, -116.7, -5.0)	19:35:38.358
Kid2	DragMove	(437.2, -116.7, -5.0)	19:35:38.379
Kid2	DragMove	(439.2, -116.7, -5.0)	19:35:38.391
Kid2	DragMove	(441.9, -116.7, -5.0)	19:35:38.407
Kid2	DragMove	(443.9, -118.8, -5.0)	19:35:38.423
Kid2	DragMove	(448.0, -120.8, -5.0)	19:35:38.440
Kid2	DragMove	(450.1, -122.9, -5.0)	19:35:38.459
Kid2	DragMove	(451.4, -122.9, -5.0)	19:35:38.475
Kid2	DragMove	(451.4, -124.8, -5.0)	19:35:38.491
Kid2	DragEnd	(451.4, -124.8, -5.0)	19:35:38.667
Kid	FingerDown	(-53.0, 120.7, -4.0)	19:35:39.712
Kid	DragBegin	(-53.0, 120.7, -4.0)	19:35:39.880
Kid	DragMove	(5.6, 39.0, -4.0)	19:35:39.923
Kid	DragMove	(11.8, 36.9, -4.0)	19:35:39.951
Kid	DragMove	(15.8, 34.9, -4.0)	19:35:39.958
Kid	DragMove	(18.5, 33.5, -4.0)	19:35:39.975
Kid	DragMove	(18.5, 31.6, -4.0)	19:35:39.995
Kid	DragMove	(20.6, 29.5, -4.0)	19:35:40.11
Kid	DragMove	(22.6, 27.5, -4.0)	19:35:40.28
Kid	DragMove	(24.7, 23.4, -4.0)	19:35:40.55
Kid	DragMove	(30.1, 18.7, -4.0)	19:35:40.87
