Object	Action	Position	Time
Kid2	FingerDown	(-147.4, 23.0, -5.0)	16:49:54.971
Kid2	DragBegin	(-147.4, 23.0, -5.0)	16:49:55.744
Kid2	DragMove	(-130.4, 32.4, -5.0)	16:49:55.779
Kid2	DragMove	(-128.4, 32.4, -5.0)	16:49:55.794
Kid2	DragMove	(-125.7, 32.4, -5.0)	16:49:55.811
Kid2	DragMove	(-123.6, 32.4, -5.0)	16:49:55.826
Kid2	DragMove	(-121.6, 32.4, -5.0)	16:49:55.843
Kid2	DragMove	(-119.6, 34.5, -5.0)	16:49:55.863
Kid2	DragMove	(-117.5, 34.5, -5.0)	16:49:55.879
Kid2	DragMove	(-115.5, 34.5, -5.0)	16:49:55.895
Kid2	DragMove	(-106.6, 36.5, -5.0)	16:49:55.938
Kid2	DragMove	(-104.6, 36.5, -5.0)	16:49:55.963
Kid2	DragMove	(-102.7, 36.5, -5.0)	16:49:55.978
Kid2	DragMove	(-100.6, 36.5, -5.0)	16:49:55.995
Kid2	DragMove	(-97.9, 36.5, -5.0)	16:49:56.10
Kid2	DragMove	(-95.9, 36.5, -5.0)	16:49:56.27
Kid2	DragMove	(-93.8, 34.5, -5.0)	16:49:56.42
Kid2	DragMove	(-91.8, 34.5, -5.0)	16:49:56.62
Kid2	DragMove	(-90.4, 33.1, -5.0)	16:49:56.82
Kid2	DragMove	(-90.4, 31.1, -5.0)	16:49:56.99
Kid2	DragMove	(-88.4, 29.1, -5.0)	16:49:56.110
Kid2	DragMove	(-87.0, 27.7, -5.0)	16:49:56.142
Kid2	DragMove	(-85.7, 27.7, -5.0)	16:49:56.210
Kid2	DragMove	(-80.3, 29.7, -5.0)	16:49:56.271
Kid2	DragMove	(-76.2, 31.7, -5.0)	16:49:56.295
Kid2	DragMove	(-74.2, 35.8, -5.0)	16:49:56.315
Kid2	DragMove	(-70.1, 39.9, -5.0)	16:49:56.327
Kid2	DragMove	(-66.0, 41.9, -5.0)	16:49:56.343
Kid2	DragMove	(-64.0, 44.0, -5.0)	16:49:56.363
Kid2	DragMove	(-59.9, 44.0, -5.0)	16:49:56.379
Kid2	DragMove	(-52.0, 44.0, -5.0)	16:49:56.422
Kid2	DragMove	(-50.0, 44.0, -5.0)	16:49:56.450
Kid2	DragMove	(-48.0, 44.0, -5.0)	16:49:56.468
Kid2	DragMove	(-45.2, 44.0, -5.0)	16:49:56.478
Kid2	DragMove	(-43.2, 44.0, -5.0)	16:49:56.495
Kid2	DragMove	(-41.8, 44.0, -5.0)	16:49:56.527
Kid2	DragMove	(-39.8, 41.9, -5.0)	16:49:56.547
Kid2	DragMove	(-38.4, 41.9, -5.0)	16:49:56.563
Kid2	DragMove	(-38.4, 39.9, -5.0)	16:49:56.595
Kid2	DragMove	(-34.5, 39.9, -5.0)	16:49:56.627
Kid2	DragMove	(-33.2, 39.9, -5.0)	16:49:56.663
Kid2	DragMove	(-31.1, 39.9, -5.0)	16:49:56.678
Kid2	DragMove	(-29.1, 39.9, -5.0)	16:49:56.695
Kid2	DragMove	(-23.0, 41.9, -5.0)	16:49:56.710
Kid2	DragMove	(-4.6, 50.1, -5.0)	16:49:56.759
Kid2	DragMove	(-0.6, 52.1, -5.0)	16:49:56.783
Kid2	DragMove	(5.6, 52.1, -5.0)	16:49:56.794
Kid2	DragMove	(9.6, 52.1, -5.0)	16:49:56.815
Kid2	DragMove	(12.4, 52.1, -5.0)	16:49:56.830
Kid2	DragMove	(14.3, 52.1, -5.0)	16:49:56.847
Kid2	DragMove	(16.3, 52.1, -5.0)	16:49:56.862
Kid2	DragMove	(20.4, 50.1, -5.0)	16:49:56.906
Kid2	DragMove	(21.8, 48.7, -5.0)	16:49:56.935
Kid2	DragMove	(23.7, 48.7, -5.0)	16:49:56.946
Kid2	DragMove	(23.7, 47.4, -5.0)	16:49:56.978
Kid2	DragMove	(27.6, 47.4, -5.0)	16:49:57.14
Kid2	DragMove	(27.6, 45.3, -5.0)	16:49:57.31
Kid2	DragMove	(31.6, 45.3, -5.0)	16:49:57.63
Kid2	DragMove	(33.5, 43.4, -5.0)	16:49:57.78
Kid2	DragMove	(34.9, 43.4, -5.0)	16:49:57.95
Kid2	DragMove	(36.9, 41.3, -5.0)	16:49:57.115
Kid2	DragMove	(38.9, 41.3, -5.0)	16:49:57.131
Kid2	DragMove	(40.9, 39.4, -5.0)	16:49:57.146
Kid2	DragMove	(42.9, 39.4, -5.0)	16:49:57.163
Kid2	DragMove	(45.0, 37.3, -5.0)	16:49:57.178
Kid2	DragMove	(50.2, 32.1, -5.0)	16:49:57.223
Kid2	DragMove	(50.2, 30.7, -5.0)	16:49:57.262
Kid2	DragMove	(54.1, 30.7, -5.0)	16:49:58.131
Kid2	DragMove	(72.5, 30.7, -5.0)	16:49:58.175
Kid2	DragMove	(78.6, 30.7, -5.0)	16:49:58.195
Kid2	DragMove	(82.7, 30.7, -5.0)	16:49:58.215
Kid2	DragMove	(85.4, 30.7, -5.0)	16:49:58.230
Kid2	DragMove	(87.4, 30.7, -5.0)	16:49:58.247
Kid2	DragMove	(89.4, 28.7, -5.0)	16:49:58.266
Kid2	DragMove	(91.4, 26.6, -5.0)	16:49:58.283
Kid2	DragMove	(99.6, 22.6, -5.0)	16:49:58.326
Kid2	DragMove	(105.4, 16.7, -5.0)	16:49:58.366
Kid2	DragMove	(113.3, 12.8, -5.0)	16:49:58.383
Kid2	DragMove	(113.3, 10.8, -5.0)	16:49:58.398
Kid2	DragMove	(117.3, 8.8, -5.0)	16:49:58.415
Kid2	DragMove	(121.4, 4.7, -5.0)	16:49:58.432
Kid2	DragMove	(123.5, 2.7, -5.0)	16:49:58.451
Kid2	DragMove	(127.5, -1.4, -5.0)	16:49:58.468
Kid2	DragMove	(129.6, -3.4, -5.0)	16:49:58.482
Kid2	DragMove	(133.6, -5.5, -5.0)	16:49:58.499
Kid2	DragMove	(135.7, -7.5, -5.0)	16:49:58.514
Kid2	DragMove	(139.8, -10.2, -5.0)	16:49:58.534
Kid2	DragMove	(141.8, -12.3, -5.0)	16:49:58.551
Kid2	DragMove	(145.9, -16.3, -5.0)	16:49:58.568
Kid2	DragMove	(147.9, -18.4, -5.0)	16:49:58.582
Kid2	DragMove	(150.0, -22.4, -5.0)	16:49:58.599
Kid2	DragMove	(152.0, -26.5, -5.0)	16:49:58.614
Kid2	DragMove	(158.1, -40.8, -5.0)	16:49:58.659
Kid2	DragMove	(160.1, -46.9, -5.0)	16:49:58.688
Kid2	DragMove	(162.2, -53.0, -5.0)	16:49:58.698
Kid2	DragMove	(164.2, -59.1, -5.0)	16:49:58.715
Kid2	DragMove	(166.9, -64.6, -5.0)	16:49:58.734
Kid2	DragMove	(171.0, -68.7, -5.0)	16:49:58.751
Kid2	DragMove	(173.1, -72.7, -5.0)	16:49:58.767
