Object	Action	Position	Time
Alien1	FingerDown	(175.0, 203.5, -3.0)	14:28:10.561
Alien1	DragBegin	(175.0, 203.5, -3.0)	14:28:10.960
Alien1	DragMove	(159.5, 174.3, -3.0)	14:28:10.976
Alien1	DragMove	(155.6, 166.5, -3.0)	14:28:10.992
Alien1	DragMove	(153.0, 160.1, -3.0)	14:28:11.9
Alien1	DragMove	(151.1, 156.2, -3.0)	14:28:11.24
Alien1	DragMove	(151.1, 152.3, -3.0)	14:28:11.44
Alien1	DragMove	(151.1, 150.4, -3.0)	14:28:11.60
Alien1	DragMove	(151.1, 144.6, -3.0)	14:28:11.89
Alien1	DragMove	(149.1, 140.7, -3.0)	14:28:11.119
Alien1	DragMove	(147.8, 136.8, -3.0)	14:28:11.144
Alien1	DragMove	(146.0, 135.0, -3.0)	14:28:11.164
Alien1	DragMove	(144.0, 129.2, -3.0)	14:28:11.175
Alien1	DragMove	(142.1, 125.3, -3.0)	14:28:11.192
Alien1	DragMove	(140.8, 120.1, -3.0)	14:28:11.207
Alien1	DragMove	(138.9, 116.2, -3.0)	14:28:11.224
Alien1	DragMove	(138.9, 114.3, -3.0)	14:28:11.244
Alien1	DragMove	(138.9, 109.1, -3.0)	14:28:11.290
Alien1	DragMove	(140.1, 109.1, -3.0)	14:28:11.343
Alien1	DragMove	(143.9, 109.1, -3.0)	14:28:11.360
Alien1	DragMove	(147.8, 109.1, -3.0)	14:28:11.376
Alien1	DragMove	(152.9, 109.1, -3.0)	14:28:11.391
Alien1	DragMove	(156.8, 109.1, -3.0)	14:28:11.408
Alien1	DragMove	(163.3, 109.1, -3.0)	14:28:11.456
Alien1	DragMove	(165.2, 109.1, -3.0)	14:28:11.481
Alien1	DragMove	(167.2, 109.1, -3.0)	14:28:11.491
Alien1	DragMove	(169.1, 109.1, -3.0)	14:28:11.512
Alien1	DragMove	(171.1, 109.1, -3.0)	14:28:11.528
Alien1	DragMove	(173.0, 109.1, -3.0)	14:28:11.544
Alien1	DragMove	(175.6, 109.1, -3.0)	14:28:11.561
Alien1	DragMove	(183.3, 109.1, -3.0)	14:28:11.603
Alien1	DragMove	(185.2, 111.0, -3.0)	14:28:11.633
Alien1	DragMove	(186.5, 111.0, -3.0)	14:28:11.644
Alien1	DragMove	(187.8, 111.0, -3.0)	14:28:11.675
Alien1	DragMove	(187.8, 112.3, -3.0)	14:28:12.72
Alien1	DragMove	(187.8, 116.2, -3.0)	14:28:12.96
Alien1	DragMove	(187.8, 124.0, -3.0)	14:28:12.112
Alien1	DragMove	(187.8, 135.6, -3.0)	14:28:12.128
Alien1	DragMove	(187.8, 151.2, -3.0)	14:28:12.144
Alien1	DragMove	(187.8, 162.8, -3.0)	14:28:12.160
Alien1	DragMove	(187.8, 174.5, -3.0)	14:28:12.175
Alien1	DragMove	(187.8, 182.3, -3.0)	14:28:12.192
Alien1	DragMove	(187.8, 186.1, -3.0)	14:28:12.240
Alien1	DragMove	(187.8, 182.3, -3.0)	14:28:12.268
Alien1	DragMove	(187.8, 170.6, -3.0)	14:28:12.275
Alien1	DragMove	(187.8, 155.1, -3.0)	14:28:12.296
Alien1	DragMove	(187.8, 140.8, -3.0)	14:28:12.312
Alien1	DragMove	(189.8, 129.2, -3.0)	14:28:12.327
Alien1	DragMove	(193.7, 121.4, -3.0)	14:28:12.344
Alien1	DragMove	(196.8, 117.5, -3.0)	14:28:12.388
Alien1	DragMove	(196.8, 119.4, -3.0)	14:28:12.416
Alien1	DragMove	(194.9, 123.2, -3.0)	14:28:12.428
Alien1	DragMove	(189.1, 134.8, -3.0)	14:28:12.444
Alien1	DragMove	(185.2, 150.4, -3.0)	14:28:12.460
Alien1	DragMove	(183.3, 165.9, -3.0)	14:28:12.480
Alien1	DragMove	(182.0, 175.0, -3.0)	14:28:12.496
Alien1	DragMove	(182.0, 186.6, -3.0)	14:28:12.539
Alien1	DragMove	(182.0, 184.8, -3.0)	14:28:12.628
Alien1	DragMove	(182.0, 178.9, -3.0)	14:28:12.643
Alien1	DragMove	(182.0, 171.2, -3.0)	14:28:12.664
Alien1	DragMove	(182.0, 161.5, -3.0)	14:28:12.679
Alien1	DragMove	(182.0, 155.6, -3.0)	14:28:12.696
Alien1	DragMove	(182.0, 160.8, -3.0)	14:28:13.191
Alien1	DragMove	(182.0, 164.7, -3.0)	14:28:13.211
Alien1	DragMove	(182.0, 166.6, -3.0)	14:28:13.231
Alien1	DragMove	(182.0, 168.6, -3.0)	14:28:13.248
Alien1	DragMove	(180.1, 170.5, -3.0)	14:28:13.264
Alien1	DragMove	(178.1, 172.5, -3.0)	14:28:13.280
Alien1	DragMove	(176.8, 176.3, -3.0)	14:28:13.295
Alien1	DragMove	(175.5, 181.5, -3.0)	14:28:13.340
Alien1	DragMove	(173.6, 183.5, -3.0)	14:28:13.359
Alien1	DragMove	(173.6, 187.4, -3.0)	14:28:13.384
Alien1	DragMove	(173.6, 192.9, -3.0)	14:28:13.412
Alien1	DragMove	(172.3, 196.8, -3.0)	14:28:13.428
Alien1	DragMove	(172.3, 200.7, -3.0)	14:28:13.448
