Object	Action	Position	Time
Penguin2	FingerDown	(296.8, -56.8, -4.0)	15:35:47.888
Penguin2	DragBegin	(296.8, -56.8, -4.0)	15:35:48.263
Penguin2	DragMove	(271.0, -88.7, -4.0)	15:35:48.283
Penguin2	DragMove	(268.9, -92.9, -4.0)	15:35:48.309
Penguin2	DragMove	(266.8, -97.1, -4.0)	15:35:48.325
Penguin2	DragMove	(262.6, -101.3, -4.0)	15:35:48.342
Penguin2	DragMove	(260.5, -105.4, -4.0)	15:35:48.355
Penguin2	DragMove	(252.2, -120.1, -4.0)	15:35:48.415
Penguin2	DragMove	(250.1, -122.2, -4.0)	15:35:48.449
Penguin2	DragMove	(248.0, -126.4, -4.0)	15:35:48.465
Penguin2	DragMove	(243.8, -130.6, -4.0)	15:35:48.482
Penguin2	DragMove	(242.4, -133.3, -4.0)	15:35:48.498
Penguin2	DragMove	(240.3, -137.5, -4.0)	15:35:48.503
Penguin2	DragMove	(238.2, -139.6, -4.0)	15:35:48.519
Penguin2	DragMove	(231.9, -150.1, -4.0)	15:35:48.579
Penguin2	DragMove	(227.8, -154.3, -4.0)	15:35:48.583
Penguin2	DragMove	(223.6, -158.5, -4.0)	15:35:48.617
Penguin2	DragMove	(217.3, -162.7, -4.0)	15:35:48.633
Penguin2	DragMove	(211.0, -166.8, -4.0)	15:35:48.650
Penguin2	DragMove	(202.6, -171.0, -4.0)	15:35:48.666
Penguin2	DragMove	(196.4, -175.2, -4.0)	15:35:48.683
Penguin2	DragMove	(162.9, -186.4, -4.0)	15:35:48.731
Penguin2	DragMove	(156.6, -188.5, -4.0)	15:35:48.751
Penguin2	DragMove	(148.2, -190.6, -4.0)	15:35:48.776
Penguin2	DragMove	(144.0, -192.6, -4.0)	15:35:48.793
Penguin2	DragMove	(139.9, -194.7, -4.0)	15:35:48.809
Penguin2	DragMove	(135.7, -194.7, -4.0)	15:35:48.826
Penguin2	DragMove	(123.1, -194.7, -4.0)	15:35:48.879
Penguin2	DragMove	(116.8, -194.7, -4.0)	15:35:48.883
Penguin2	DragMove	(112.6, -194.7, -4.0)	15:35:48.917
Penguin2	DragMove	(109.9, -194.7, -4.0)	15:35:48.934
Penguin2	DragMove	(105.7, -194.7, -4.0)	15:35:48.951
Penguin2	DragMove	(103.6, -194.7, -4.0)	15:35:48.967
Penguin2	DragMove	(99.4, -194.7, -4.0)	15:35:48.971
Penguin2	DragMove	(95.2, -194.7, -4.0)	15:35:48.988
Penguin2	DragMove	(82.7, -194.7, -4.0)	15:35:49.49
Penguin2	DragMove	(80.6, -194.7, -4.0)	15:35:49.71
Penguin2	DragMove	(76.5, -194.7, -4.0)	15:35:49.91
Penguin2	DragMove	(72.3, -194.7, -4.0)	15:35:49.107
Penguin2	DragMove	(68.1, -194.7, -4.0)	15:35:49.124
Penguin2	DragMove	(66.0, -194.7, -4.0)	15:35:49.141
Penguin2	DragMove	(55.5, -190.6, -4.0)	15:35:49.197
Penguin2	DragMove	(53.4, -188.5, -4.0)	15:35:49.199
Penguin2	DragMove	(49.2, -188.5, -4.0)	15:35:49.233
Penguin2	DragMove	(47.2, -186.4, -4.0)	15:35:49.239
Penguin2	DragMove	(45.8, -185.0, -4.0)	15:35:49.256
Penguin2	DragMove	(43.8, -185.0, -4.0)	15:35:49.273
Penguin2	DragMove	(41.8, -183.0, -4.0)	15:35:49.307
Penguin2	DragMove	(34.9, -178.8, -4.0)	15:35:49.372
Penguin2	DragMove	(32.9, -178.8, -4.0)	15:35:49.395
Penguin2	DragMove	(32.9, -176.8, -4.0)	15:35:49.412
