Object	Action	Position	Time
Seal	FingerDown	(410.4, 260.9, -4.0)	15:54:35.387
Seal	DragBegin	(410.4, 260.9, -4.0)	15:54:36.661
Seal	DragMove	(447.9, 227.6, -4.0)	15:54:36.677
Seal	DragMove	(445.8, 225.5, -4.0)	15:54:36.694
Seal	DragMove	(439.5, 212.9, -4.0)	15:54:36.738
Seal	DragMove	(437.4, 208.7, -4.0)	15:54:36.759
Seal	DragMove	(434.7, 203.1, -4.0)	15:54:36.777
Seal	DragMove	(432.6, 194.8, -4.0)	15:54:36.794
Seal	DragMove	(430.5, 190.6, -4.0)	15:54:36.806
Seal	DragMove	(428.4, 184.3, -4.0)	15:54:36.823
Seal	DragMove	(424.2, 180.1, -4.0)	15:54:36.844
Seal	DragMove	(420.0, 169.6, -4.0)	15:54:36.879
Seal	DragMove	(415.8, 157.1, -4.0)	15:54:36.906
Seal	DragMove	(411.6, 150.8, -4.0)	15:54:36.923
Seal	DragMove	(407.4, 142.4, -4.0)	15:54:36.944
Seal	DragMove	(405.4, 136.2, -4.0)	15:54:36.961
Seal	DragMove	(399.8, 129.2, -4.0)	15:54:36.978
Seal	DragMove	(397.7, 122.9, -4.0)	15:54:36.995
Seal	DragMove	(393.5, 114.5, -4.0)	15:54:37.11
Seal	DragMove	(383.0, 97.8, -4.0)	15:54:37.54
Seal	DragMove	(376.7, 87.3, -4.0)	15:54:37.72
Seal	DragMove	(370.5, 76.9, -4.0)	15:54:37.88
Seal	DragMove	(366.3, 64.3, -4.0)	15:54:37.105
Seal	DragMove	(355.8, 45.5, -4.0)	15:54:37.126
Seal	DragMove	(347.4, 32.9, -4.0)	15:54:37.144
Seal	DragMove	(341.2, 20.4, -4.0)	15:54:37.162
Seal	DragMove	(316.1, -16.6, -4.0)	15:54:37.208
Seal	DragMove	(309.8, -29.2, -4.0)	15:54:37.224
Seal	DragMove	(301.4, -41.7, -4.0)	15:54:37.245
Seal	DragMove	(293.0, -54.3, -4.0)	15:54:37.262
Seal	DragMove	(288.8, -60.6, -4.0)	15:54:37.279
Seal	DragMove	(282.6, -71.0, -4.0)	15:54:37.295
Seal	DragMove	(276.3, -79.4, -4.0)	15:54:37.307
Seal	DragMove	(267.9, -89.9, -4.0)	15:54:37.327
Seal	DragMove	(248.4, -111.5, -4.0)	15:54:37.372
Seal	DragMove	(242.1, -119.9, -4.0)	15:54:37.394
Seal	DragMove	(233.7, -128.3, -4.0)	15:54:37.412
Seal	DragMove	(227.5, -134.5, -4.0)	15:54:37.429
Seal	DragMove	(219.1, -142.9, -4.0)	15:54:37.446
Seal	DragMove	(210.7, -149.2, -4.0)	15:54:37.462
Seal	DragMove	(202.3, -155.5, -4.0)	15:54:37.479
Seal	DragMove	(196.1, -159.6, -4.0)	15:54:37.495
Seal	DragMove	(173.0, -174.3, -4.0)	15:54:37.539
Seal	DragMove	(164.7, -178.5, -4.0)	15:54:37.573
Seal	DragMove	(158.4, -180.6, -4.0)	15:54:37.589
Seal	DragMove	(143.7, -184.8, -4.0)	15:54:37.610
Seal	DragMove	(137.5, -188.9, -4.0)	15:54:37.629
Seal	DragMove	(133.3, -188.9, -4.0)	15:54:37.646
Seal	DragMove	(122.8, -193.1, -4.0)	15:54:37.682
Seal	DragMove	(118.6, -193.1, -4.0)	15:54:37.700
Seal	DragMove	(112.3, -195.2, -4.0)	15:54:37.715
Seal	DragMove	(106.1, -195.2, -4.0)	15:54:37.732
Seal	DragMove	(99.1, -198.0, -4.0)	15:54:37.746
Seal	DragMove	(94.9, -198.0, -4.0)	15:54:37.763
Seal	DragMove	(88.6, -200.1, -4.0)	15:54:37.779
Seal	DragMove	(84.4, -202.2, -4.0)	15:54:37.796
Seal	DragMove	(74.0, -204.3, -4.0)	15:54:37.832
Seal	DragMove	(63.5, -206.4, -4.0)	15:54:37.858
Seal	DragMove	(59.3, -208.5, -4.0)	15:54:37.875
Seal	DragMove	(53.0, -208.5, -4.0)	15:54:37.896
Seal	DragMove	(48.9, -210.6, -4.0)	15:54:37.913
Seal	DragMove	(43.3, -210.6, -4.0)	15:54:37.929
Seal	DragMove	(37.0, -210.6, -4.0)	15:54:37.946
Seal	DragMove	(32.8, -210.6, -4.0)	15:54:37.963
Seal	DragMove	(22.3, -212.7, -4.0)	15:54:38.6
Seal	DragMove	(18.2, -212.7, -4.0)	15:54:38.24
Seal	DragMove	(14.0, -212.7, -4.0)	15:54:38.40
Seal	DragMove	(11.9, -212.7, -4.0)	15:54:38.56
Seal	DragMove	(5.6, -212.7, -4.0)	15:54:38.75
Seal	DragMove	(3.5, -212.7, -4.0)	15:54:38.96
Seal	DragMove	(0.7, -212.7, -4.0)	15:54:38.114
Seal	DragMove	(-4.2, -212.7, -4.0)	15:54:38.159
Seal	DragMove	(-5.6, -212.7, -4.0)	15:54:38.176
Seal	DragMove	(-7.6, -212.7, -4.0)	15:54:38.247
Seal	DragMove	(-10.4, -212.7, -4.0)	15:54:38.443
Seal	DragMove	(-22.9, -212.7, -4.0)	15:54:38.490
Seal	DragMove	(-28.5, -212.7, -4.0)	15:54:38.507
Seal	DragMove	(-32.7, -212.7, -4.0)	15:54:38.524
Seal	DragMove	(-35.5, -212.7, -4.0)	15:54:38.541
Seal	DragMove	(-36.9, -212.7, -4.0)	15:54:38.562
Seal	DragMove	(-38.3, -212.7, -4.0)	15:54:38.668
Seal	DragMove	(-40.4, -212.7, -4.0)	15:54:38.684
Seal	DragMove	(-43.2, -212.7, -4.0)	15:54:38.701
Seal	DragMove	(-45.2, -212.7, -4.0)	15:54:38.710
Seal	DragMove	(-49.4, -212.7, -4.0)	15:54:38.727
Seal	DragMove	(-50.8, -212.7, -4.0)	15:54:38.743
Seal	DragMove	(-52.9, -212.7, -4.0)	15:54:38.764
Seal	DragMove	(-54.3, -212.7, -4.0)	15:54:38.804
Seal	DragMove	(-55.7, -212.7, -4.0)	15:54:38.837
Seal	DragEnd	(-55.7, -212.7, -4.0)	15:54:39.25
Hat	FingerDown	(454.9, 317.0, -6.0)	15:54:39.948
Hat	DragBegin	(454.9, 317.0, -6.0)	15:54:40.574
Hat	DragMove	(452.2, 306.7, -6.0)	15:54:40.591
Hat	DragMove	(452.2, 304.7, -6.0)	15:54:40.607
Hat	DragMove	(450.1, 298.4, -6.0)	15:54:40.624
Hat	DragMove	(445.9, 294.3, -6.0)	15:54:40.630
Hat	DragMove	(443.1, 288.7, -6.0)	15:54:40.647
Hat	DragMove	(438.9, 280.3, -6.0)	15:54:40.668
Hat	DragMove	(436.8, 269.8, -6.0)	15:54:40.711
Hat	DragMove	(434.7, 265.7, -6.0)	15:54:40.728
Hat	DragMove	(432.6, 261.5, -6.0)	15:54:40.745
Hat	DragMove	(430.6, 257.3, -6.0)	15:54:40.761
Hat	DragMove	(428.5, 244.7, -6.0)	15:54:40.783
Hat	DragMove	(426.4, 240.5, -6.0)	15:54:40.800
Hat	DragMove	(424.3, 234.3, -6.0)	15:54:40.816
Hat	DragMove	(420.1, 230.1, -6.0)	15:54:40.833
Hat	DragMove	(416.6, 218.2, -6.0)	15:54:40.878
Hat	DragMove	(414.5, 211.9, -6.0)	15:54:40.886
Hat	DragMove	(412.4, 205.7, -6.0)	15:54:40.904
Hat	DragMove	(408.2, 199.4, -6.0)	15:54:40.920
Hat	DragMove	(406.1, 193.1, -6.0)	15:54:40.930
Hat	DragMove	(404.0, 184.7, -6.0)	15:54:40.952
Hat	DragMove	(399.9, 176.4, -6.0)	15:54:40.969
Hat	DragMove	(397.8, 170.1, -6.0)	15:54:40.986
Hat	DragMove	(388.7, 145.0, -6.0)	15:54:41.30
Hat	DragMove	(386.6, 134.5, -6.0)	15:54:41.50
Hat	DragMove	(384.5, 126.1, -6.0)	15:54:41.69
Hat	DragMove	(380.3, 115.7, -6.0)	15:54:41.86
Hat	DragMove	(378.2, 109.4, -6.0)	15:54:41.103
Hat	DragMove	(374.0, 96.8, -6.0)	15:54:41.119
Hat	DragMove	(369.9, 86.4, -6.0)	15:54:41.136
Hat	DragMove	(365.7, 73.8, -6.0)	15:54:41.152
Hat	DragMove	(353.1, 52.9, -6.0)	15:54:41.195
Hat	DragMove	(346.8, 44.5, -6.0)	15:54:41.212
Hat	DragMove	(338.5, 29.9, -6.0)	15:54:41.229
Hat	DragMove	(330.1, 18.7, -6.0)	15:54:41.244
Hat	DragMove	(323.8, 8.2, -6.0)	15:54:41.262
Hat	DragMove	(315.4, -4.3, -6.0)	15:54:41.278
Hat	DragMove	(305.0, -19.0, -6.0)	15:54:41.295
Hat	DragMove	(296.6, -29.4, -6.0)	15:54:41.307
Hat	DragMove	(277.8, -52.5, -6.0)	15:54:41.338
Hat	DragMove	(269.4, -62.9, -6.0)	15:54:41.356
Hat	DragMove	(258.9, -73.4, -6.0)	15:54:41.371
Hat	DragMove	(248.5, -81.8, -6.0)	15:54:41.389
Hat	DragMove	(240.1, -88.1, -6.0)	15:54:41.405
Hat	DragMove	(231.7, -97.8, -6.0)	15:54:41.414
Hat	DragMove	(223.4, -106.2, -6.0)	15:54:41.436
Hat	DragMove	(215.0, -112.5, -6.0)	15:54:41.453
Hat	DragMove	(206.6, -120.8, -6.0)	15:54:41.470
Hat	DragMove	(192.0, -129.2, -6.0)	15:54:41.512
Hat	DragMove	(183.6, -133.4, -6.0)	15:54:41.530
Hat	DragMove	(175.2, -137.6, -6.0)	15:54:41.539
Hat	DragMove	(162.7, -141.8, -6.0)	15:54:41.555
Hat	DragMove	(156.4, -143.9, -6.0)	15:54:41.572
Hat	DragMove	(143.8, -148.1, -6.0)	15:54:41.589
Hat	DragMove	(133.4, -150.1, -6.0)	15:54:41.605
Hat	DragMove	(123.6, -151.5, -6.0)	15:54:41.622
Hat	DragMove	(94.3, -157.8, -6.0)	15:54:41.666
