Object	Action	Position	Time
Squirrel	FingerDown	(-215.6, -190.1, -4.0)	17:29:27.941
Squirrel	DragBegin	(-215.6, -190.1, -4.0)	17:29:28.675
Squirrel	DragMove	(-216.4, -176.1, -4.0)	17:29:28.690
Squirrel	DragMove	(-214.4, -170.3, -4.0)	17:29:28.707
Squirrel	DragMove	(-210.5, -164.5, -4.0)	17:29:28.724
Squirrel	DragMove	(-206.7, -158.7, -4.0)	17:29:28.741
Squirrel	DragMove	(-202.8, -156.1, -4.0)	17:29:28.758
Squirrel	DragMove	(-199.0, -154.2, -4.0)	17:29:28.774
Squirrel	DragMove	(-195.2, -152.9, -4.0)	17:29:28.791
Squirrel	DragMove	(-191.3, -152.9, -4.0)	17:29:28.808
Squirrel	DragMove	(-185.4, -152.9, -4.0)	17:29:28.826
Squirrel	DragMove	(-177.7, -152.9, -4.0)	17:29:28.857
Squirrel	DragMove	(-171.8, -154.9, -4.0)	17:29:28.874
Squirrel	DragMove	(-169.9, -158.7, -4.0)	17:29:28.891
Squirrel	DragMove	(-166.0, -161.3, -4.0)	17:29:28.907
Squirrel	DragMove	(-164.2, -161.3, -4.0)	17:29:28.926
Squirrel	DragMove	(-160.3, -163.3, -4.0)	17:29:28.957
Squirrel	DragMove	(-159.0, -164.6, -4.0)	17:29:28.974
Squirrel	DragMove	(-157.7, -164.6, -4.0)	17:29:29.7
Squirrel	DragMove	(-156.4, -164.6, -4.0)	17:29:29.42
Squirrel	DragMove	(-154.4, -160.7, -4.0)	17:29:29.59
Squirrel	DragMove	(-152.5, -158.7, -4.0)	17:29:29.75
Squirrel	DragMove	(-148.6, -154.9, -4.0)	17:29:29.92
Squirrel	DragMove	(-137.0, -151.0, -4.0)	17:29:29.125
Squirrel	DragMove	(-131.1, -149.0, -4.0)	17:29:29.142
Squirrel	DragMove	(-123.4, -146.4, -4.0)	17:29:29.159
Squirrel	DragMove	(-117.5, -146.4, -4.0)	17:29:29.175
Squirrel	DragMove	(-109.8, -144.5, -4.0)	17:29:29.192
Squirrel	DragMove	(-105.9, -144.5, -4.0)	17:29:29.209
Squirrel	DragMove	(-98.1, -144.5, -4.0)	17:29:29.226
Squirrel	DragMove	(-94.2, -144.5, -4.0)	17:29:29.243
Squirrel	DragMove	(-84.5, -148.4, -4.0)	17:29:29.273
Squirrel	DragMove	(-80.6, -150.3, -4.0)	17:29:29.289
Squirrel	DragMove	(-78.7, -152.3, -4.0)	17:29:29.309
Squirrel	DragMove	(-76.7, -152.3, -4.0)	17:29:29.326
Squirrel	DragMove	(-74.8, -152.3, -4.0)	17:29:29.343
Squirrel	DragMove	(-73.5, -152.3, -4.0)	17:29:29.359
Squirrel	DragMove	(-71.6, -152.3, -4.0)	17:29:29.409
Squirrel	DragMove	(-69.7, -149.0, -4.0)	17:29:29.441
Squirrel	DragMove	(-67.8, -149.0, -4.0)	17:29:29.458
Squirrel	DragMove	(-65.8, -147.1, -4.0)	17:29:29.474
Squirrel	DragMove	(-61.9, -145.1, -4.0)	17:29:29.493
Squirrel	DragMove	(-56.1, -143.2, -4.0)	17:29:29.510
Squirrel	DragMove	(-50.3, -143.2, -4.0)	17:29:29.527
Squirrel	DragMove	(-42.5, -141.2, -4.0)	17:29:29.543
Squirrel	DragMove	(-36.7, -141.2, -4.0)	17:29:29.560
Squirrel	DragMove	(-30.8, -141.2, -4.0)	17:29:29.577
Squirrel	DragMove	(-19.8, -141.2, -4.0)	17:29:29.609
Squirrel	DragMove	(-15.9, -145.1, -4.0)	17:29:29.626
Squirrel	DragMove	(-14.0, -145.1, -4.0)	17:29:29.643
Squirrel	DragMove	(-12.1, -147.1, -4.0)	17:29:29.659
Squirrel	DragMove	(-10.8, -147.1, -4.0)	17:29:29.676
Squirrel	DragMove	(-8.2, -147.1, -4.0)	17:29:30.28
Squirrel	DragMove	(1.5, -145.1, -4.0)	17:29:30.44
Squirrel	DragMove	(34.6, -135.4, -4.0)	17:29:30.77
Squirrel	DragMove	(54.0, -133.5, -4.0)	17:29:30.94
Squirrel	DragMove	(65.6, -133.5, -4.0)	17:29:30.110
Squirrel	DragMove	(83.1, -133.5, -4.0)	17:29:30.127
Squirrel	DragMove	(92.2, -133.5, -4.0)	17:29:30.144
Squirrel	DragMove	(95.9, -135.3, -4.0)	17:29:30.160
Squirrel	DragMove	(102.4, -137.9, -4.0)	17:29:30.177
Squirrel	DragMove	(106.3, -139.2, -4.0)	17:29:30.194
Squirrel	DragMove	(108.2, -139.2, -4.0)	17:29:30.211
Squirrel	DragMove	(110.2, -139.2, -4.0)	17:29:30.227
Squirrel	DragMove	(106.4, -139.2, -4.0)	17:29:30.545
Squirrel	DragMove	(104.6, -139.2, -4.0)	17:29:30.562
Squirrel	DragMove	(98.8, -139.2, -4.0)	17:29:30.578
Squirrel	DragMove	(91.0, -139.2, -4.0)	17:29:30.595
